factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_median,long_short_spread_t_stat,long_short_win_rate,top_bucket_top1pct_abs_share,bottom_bucket_top1pct_abs_share,bucket_tail_diagnosis,after_funding_top_bucket_mean_return,after_funding_bottom_bucket_mean_return,after_funding_long_short_spread_mean,after_funding_long_short_spread_median,after_funding_long_short_spread_t_stat,after_funding_long_short_win_rate,after_funding_coverage_rate,after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
mom_20h,momentum,positive,1h,LONG_SHORT,Long-Short,0.00010512,,,17787,COMPUTED,7.893e-05,-2.619e-05,0.00010512,5.495e-05,2.5345,0.5059,0.063693,0.07109,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00010178,-1.576e-05,0.00011755,5.891e-05,2.8328,0.5065,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00023932,1.06293408,0.00082901,-0.00036342,0.68,25,per_bar_mean_x_bars_per_year
mom_20h,momentum,positive,4h,LONG_SHORT,Long-Short,0.00050112,,,17784,COMPUTED,0.00033389,-0.00016723,0.00050112,0.00025619,6.0594,0.5127,0.060253,0.068398,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00042312,-0.00012461,0.00054773,0.00029762,6.6169,0.5135,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00093572,1.23704354,0.00324141,-0.00076647,0.72,25,per_bar_mean_x_bars_per_year
mom_20h,momentum,positive,24h,LONG_SHORT,Long-Short,0.00120389,,,17764,COMPUTED,0.00101178,-0.00019211,0.00120389,0.00054038,5.8154,0.5092,0.054504,0.052647,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00148586,4.44e-05,0.00144146,0.00080458,6.9381,0.512,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00455298,0.59968362,0.01577197,-0.00541303,0.6,25,per_bar_mean_x_bars_per_year
mom_20h,momentum,positive,72h,LONG_SHORT,Long-Short,0.00467554,,,17716,COMPUTED,0.00359206,-0.00108348,0.00467554,0.00211057,12.3257,0.5209,0.054154,0.047243,DIRECTIONALLY_CLEAN_THIN_EDGE,0.00472008,-0.00043871,0.00515879,0.00243055,13.4941,0.5249,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.01034567,0.58527232,0.03583845,-0.01834442,0.64,25,per_bar_mean_x_bars_per_year
reversal_5h,momentum,positive,1h,LONG_SHORT,Long-Short,1.756e-05,,,17802,COMPUTED,4.368e-05,2.612e-05,1.756e-05,0.0001253,0.4275,0.5128,0.069507,0.065269,DIRECTIONALLY_CLEAN_THIN_EDGE,5.423e-05,4.635e-05,7.88e-06,0.00011753,0.1917,0.5121,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.00025094,0.1441506,0.0008693,-0.00091185,0.48,25,per_bar_mean_x_bars_per_year
reversal_5h,momentum,positive,4h,LONG_SHORT,Long-Short,-0.00010436,,,17799,COMPUTED,6.873e-05,0.00017308,-0.00010436,3.423e-05,-1.2811,0.5011,0.067125,0.06135,MEAN_SPREAD_OUTLIER_DOMINATED,0.00011536,0.00024789,-0.00013252,-1.99e-05,-1.6253,0.4994,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00072728,-0.24328896,0.00251937,-0.0045867,0.4,25,per_bar_mean_x_bars_per_year
reversal_5h,momentum,positive,24h,LONG_SHORT,Long-Short,-0.00103933,,,17779,COMPUTED,-1.021e-05,0.00102912,-0.00103933,-0.00054619,-5.2032,0.4894,0.053205,0.05505,ROBUST_SPREAD_NEGATIVE,0.00027209,0.00139685,-0.00112476,-0.00060458,-5.6095,0.4887,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00247592,-0.46004438,0.00857684,-0.03023778,0.28,25,per_bar_mean_x_bars_per_year
reversal_5h,momentum,positive,72h,LONG_SHORT,Long-Short,-0.00285183,,,17731,COMPUTED,0.00011249,0.00296432,-0.00285183,-0.0016023,-7.7165,0.4816,0.048414,0.053364,ROBUST_SPREAD_NEGATIVE,0.00083702,0.00388062,-0.0030436,-0.00181595,-8.1739,0.4802,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00603642,-0.3553772,0.02091076,-0.07001558,0.4,25,per_bar_mean_x_bars_per_year
volatility_20h,volatility,negative,1h,LONG_SHORT,Long-Short,-5.797e-05,,,17787,COMPUTED,-8.88e-06,4.909e-05,-5.797e-05,-4.55e-06,-1.2143,0.4994,0.075077,0.064643,ROBUST_SPREAD_NEGATIVE,-1.13e-05,8.259e-05,-9.389e-05,-4.468e-05,-1.9659,0.4965,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00028628,-0.58604862,0.00099169,-0.00314735,0.44,25,per_bar_mean_x_bars_per_year
volatility_20h,volatility,negative,4h,LONG_SHORT,Long-Short,-0.00024449,,,17784,COMPUTED,-4.703e-05,0.00019746,-0.00024449,4.125e-05,-2.5781,0.502,0.072966,0.06123,MEAN_SPREAD_OUTLIER_DOMINATED,-5.609e-05,0.00032729,-0.00038339,-8.186e-05,-4.0407,0.4969,1.0,ROBUST_SPREAD_NEGATIVE,False,0.00106634,-0.59359348,0.00369391,-0.0117751,0.44,25,per_bar_mean_x_bars_per_year
