factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
mom_72h,momentum,positive,1h,LONG_SHORT,Long-Short,2.468e-05,,,17735,COMPUTED,1.76e-05,-7.08e-06,2.468e-05,0.5999,0.5037
mom_72h,momentum,positive,4h,LONG_SHORT,Long-Short,7.996e-05,,,17732,COMPUTED,8.06e-05,6.4e-07,7.996e-05,0.9723,0.5007
mom_72h,momentum,positive,24h,LONG_SHORT,Long-Short,0.00123869,,,17712,COMPUTED,0.00109595,-0.00014275,0.00123869,6.0289,0.5062
mom_72h,momentum,positive,72h,LONG_SHORT,Long-Short,0.00583264,,,17664,COMPUTED,0.00419454,-0.0016381,0.00583264,15.1476,0.5259
mom_120h,momentum,positive,1h,LONG_SHORT,Long-Short,7.25e-05,,,17687,COMPUTED,4.828e-05,-2.423e-05,7.25e-05,1.7405,0.5082
mom_120h,momentum,positive,4h,LONG_SHORT,Long-Short,0.00030393,,,17684,COMPUTED,0.00019247,-0.00011146,0.00030393,3.613,0.5092
mom_120h,momentum,positive,24h,LONG_SHORT,Long-Short,0.00167104,,,17664,COMPUTED,0.00122616,-0.00044489,0.00167104,7.9725,0.5192
mom_120h,momentum,positive,72h,LONG_SHORT,Long-Short,0.00613979,,,17616,COMPUTED,0.0040785,-0.00206129,0.00613979,15.8458,0.5391
rev_1h,reversal,positive,1h,LONG_SHORT,Long-Short,0.0001152,,,17806,COMPUTED,9.344e-05,-2.176e-05,0.0001152,2.8464,0.5253
rev_1h,reversal,positive,4h,LONG_SHORT,Long-Short,5.674e-05,,,17803,COMPUTED,0.00015253,9.579e-05,5.674e-05,0.7266,0.5133
rev_1h,reversal,positive,24h,LONG_SHORT,Long-Short,-0.00024585,,,17783,COMPUTED,0.000439,0.00068485,-0.00024585,-1.2917,0.5036
rev_1h,reversal,positive,72h,LONG_SHORT,Long-Short,-0.0013287,,,17735,COMPUTED,0.00086232,0.00219102,-0.0013287,-3.7037,0.4952
rev_72h,reversal,positive,1h,LONG_SHORT,Long-Short,-2.279e-05,,,17735,COMPUTED,-3.86e-06,1.893e-05,-2.279e-05,-0.5568,0.4965
rev_72h,reversal,positive,4h,LONG_SHORT,Long-Short,-7.831e-05,,,17732,COMPUTED,2.84e-06,8.115e-05,-7.831e-05,-0.9558,0.4992
rev_72h,reversal,positive,24h,LONG_SHORT,Long-Short,-0.0012007,,,17712,COMPUTED,-0.00012586,0.00107484,-0.0012007,-5.8607,0.4936
rev_72h,reversal,positive,72h,LONG_SHORT,Long-Short,-0.00569324,,,17664,COMPUTED,-0.00160347,0.00408977,-0.00569324,-14.8845,0.4745
vol_ratio_20_80,volatility,conditional,1h,LONG_SHORT,Long-Short,4.2e-07,,,17727,DIRECTION_UNKNOWN,-4.17e-06,-4.59e-06,4.2e-07,0.0126,0.4975
vol_ratio_20_80,volatility,conditional,4h,LONG_SHORT,Long-Short,2.972e-05,,,17724,DIRECTION_UNKNOWN,3.54e-06,-2.618e-05,2.972e-05,0.4472,0.5005
vol_ratio_20_80,volatility,conditional,24h,LONG_SHORT,Long-Short,-3.084e-05,,,17704,DIRECTION_UNKNOWN,-1.172e-05,1.913e-05,-3.084e-05,-0.1861,0.5026
vol_ratio_20_80,volatility,conditional,72h,LONG_SHORT,Long-Short,0.00023068,,,17656,DIRECTION_UNKNOWN,0.0006172,0.00038652,0.00023068,0.6979,0.4947
realized_skew_20h,realized_shape,conditional,1h,LONG_SHORT,Long-Short,7.026e-05,,,17787,DIRECTION_UNKNOWN,3.463e-05,-3.563e-05,7.026e-05,2.2414,0.4994
realized_skew_20h,realized_shape,conditional,4h,LONG_SHORT,Long-Short,0.00015486,,,17784,DIRECTION_UNKNOWN,9.734e-05,-5.753e-05,0.00015486,2.4777,0.5004
realized_skew_20h,realized_shape,conditional,24h,LONG_SHORT,Long-Short,3.949e-05,,,17764,DIRECTION_UNKNOWN,0.00021719,0.0001777,3.949e-05,0.2368,0.4834
realized_skew_20h,realized_shape,conditional,72h,LONG_SHORT,Long-Short,-7.061e-05,,,17716,DIRECTION_UNKNOWN,0.00023705,0.00030766,-7.061e-05,-0.2284,0.4831
realized_kurt_20h,realized_shape,conditional,1h,LONG_SHORT,Long-Short,-2.198e-05,,,17787,DIRECTION_UNKNOWN,-1.748e-05,4.49e-06,-2.198e-05,-0.7535,0.4941
realized_kurt_20h,realized_shape,conditional,4h,LONG_SHORT,Long-Short,-6.427e-05,,,17784,DIRECTION_UNKNOWN,-6.638e-05,-2.11e-06,-6.427e-05,-1.1058,0.4917
realized_kurt_20h,realized_shape,conditional,24h,LONG_SHORT,Long-Short,-0.00020293,,,17764,DIRECTION_UNKNOWN,-8.301e-05,0.00011992,-0.00020293,-1.3679,0.494
realized_kurt_20h,realized_shape,conditional,72h,LONG_SHORT,Long-Short,-0.00136871,,,17716,DIRECTION_UNKNOWN,-0.00055983,0.00080888,-0.00136871,-4.7307,0.4872
amihud_illiquidity_20h,liquidity,negative,1h,LONG_SHORT,Long-Short,-9.784e-05,,,17767,COMPUTED,-5.492e-05,4.291e-05,-9.784e-05,-3.555,0.4935
amihud_illiquidity_20h,liquidity,negative,4h,LONG_SHORT,Long-Short,-0.00041365,,,17764,COMPUTED,-0.00023479,0.00017886,-0.00041365,-7.4693,0.4766
amihud_illiquidity_20h,liquidity,negative,24h,LONG_SHORT,Long-Short,-0.00231541,,,17744,COMPUTED,-0.00112251,0.00119291,-0.00231541,-16.492,0.4489
amihud_illiquidity_20h,liquidity,negative,72h,LONG_SHORT,Long-Short,-0.0081204,,,17696,COMPUTED,-0.00362795,0.00449246,-0.0081204,-31.5402,0.4045
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,1h,LONG_SHORT,Long-Short,3.458e-05,,,17728,DIRECTION_UNKNOWN,2.225e-05,-1.233e-05,3.458e-05,1.0599,0.5009
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,4h,LONG_SHORT,Long-Short,7.592e-05,,,17725,DIRECTION_UNKNOWN,6.62e-05,-9.72e-06,7.592e-05,1.1562,0.4996
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,24h,LONG_SHORT,Long-Short,0.00042809,,,17705,DIRECTION_UNKNOWN,0.00041984,-8.25e-06,0.00042809,2.5973,0.5047
qvol_ma_ratio_20_80,quote_volume_liquidity,conditional,72h,LONG_SHORT,Long-Short,0.00131796,,,17657,DIRECTION_UNKNOWN,0.00130633,-1.163e-05,0.00131796,4.0102,0.4988
price_volume_corr_20h,volume_price,conditional,1h,LONG_SHORT,Long-Short,4.567e-05,,,17767,DIRECTION_UNKNOWN,1.784e-05,-2.783e-05,4.567e-05,1.4527,0.4976
price_volume_corr_20h,volume_price,conditional,4h,LONG_SHORT,Long-Short,0.0001859,,,17764,DIRECTION_UNKNOWN,5.341e-05,-0.00013249,0.0001859,2.9172,0.4963
price_volume_corr_20h,volume_price,conditional,24h,LONG_SHORT,Long-Short,0.00088063,,,17744,DIRECTION_UNKNOWN,0.00044937,-0.00043126,0.00088063,5.5623,0.5036
price_volume_corr_20h,volume_price,conditional,72h,LONG_SHORT,Long-Short,0.00277108,,,17696,DIRECTION_UNKNOWN,0.00142631,-0.00134477,0.00277108,8.9406,0.503
trend_efficiency_24h,trend_quality,positive,1h,LONG_SHORT,Long-Short,1.646e-05,,,17783,COMPUTED,1.726e-05,8e-07,1.646e-05,0.5136,0.4999
trend_efficiency_24h,trend_quality,positive,4h,LONG_SHORT,Long-Short,0.00019188,,,17780,COMPUTED,8.31e-05,-0.00010878,0.00019188,3.0151,0.5059
trend_efficiency_24h,trend_quality,positive,24h,LONG_SHORT,Long-Short,0.00105367,,,17760,COMPUTED,0.00049745,-0.00055622,0.00105367,6.5118,0.5132
trend_efficiency_24h,trend_quality,positive,72h,LONG_SHORT,Long-Short,0.00237514,,,17712,COMPUTED,0.00122414,-0.00115101,0.00237514,7.5599,0.5156
price_pos_120h,price_position,conditional,1h,LONG_SHORT,Long-Short,8.113e-05,,,17688,DIRECTION_UNKNOWN,4.729e-05,-3.384e-05,8.113e-05,2.2897,0.5034
price_pos_120h,price_position,conditional,4h,LONG_SHORT,Long-Short,0.00034516,,,17685,DIRECTION_UNKNOWN,0.00015707,-0.0001881,0.00034516,4.7353,0.509
