factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
rev_3h,reversal,positive,1h,LONG_SHORT,Long-Short,2.956e-05,,,17804,COMPUTED,4.108e-05,1.152e-05,2.956e-05,0.7156,0.5152
rev_3h,reversal,positive,4h,LONG_SHORT,Long-Short,-6.245e-05,,,17801,COMPUTED,6.527e-05,0.00012773,-6.245e-05,-0.7788,0.5049
rev_3h,reversal,positive,24h,LONG_SHORT,Long-Short,-0.00079387,,,17781,COMPUTED,0.0001679,0.00096177,-0.00079387,-4.0589,0.491
rev_3h,reversal,positive,72h,LONG_SHORT,Long-Short,-0.002109,,,17733,COMPUTED,0.00057565,0.00268465,-0.002109,-5.7791,0.4913
rev_1h,reversal,positive,1h,LONG_SHORT,Long-Short,0.0001152,,,17806,COMPUTED,9.344e-05,-2.176e-05,0.0001152,2.8464,0.5253
rev_1h,reversal,positive,4h,LONG_SHORT,Long-Short,5.674e-05,,,17803,COMPUTED,0.00015253,9.579e-05,5.674e-05,0.7266,0.5133
rev_1h,reversal,positive,24h,LONG_SHORT,Long-Short,-0.00024585,,,17783,COMPUTED,0.000439,0.00068485,-0.00024585,-1.2917,0.5036
rev_1h,reversal,positive,72h,LONG_SHORT,Long-Short,-0.0013287,,,17735,COMPUTED,0.00086232,0.00219102,-0.0013287,-3.7037,0.4952
price_volume_corr_20h,volume_price,conditional,1h,LONG_SHORT,Long-Short,4.567e-05,,,17767,DIRECTION_UNKNOWN,1.784e-05,-2.783e-05,4.567e-05,1.4527,0.4976
price_volume_corr_20h,volume_price,conditional,4h,LONG_SHORT,Long-Short,0.0001859,,,17764,DIRECTION_UNKNOWN,5.341e-05,-0.00013249,0.0001859,2.9172,0.4963
price_volume_corr_20h,volume_price,conditional,24h,LONG_SHORT,Long-Short,0.00088063,,,17744,DIRECTION_UNKNOWN,0.00044937,-0.00043126,0.00088063,5.5623,0.5036
price_volume_corr_20h,volume_price,conditional,72h,LONG_SHORT,Long-Short,0.00277108,,,17696,DIRECTION_UNKNOWN,0.00142631,-0.00134477,0.00277108,8.9406,0.503
