factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha23,wq101,conditional,1h,LONG_SHORT,Long-Short,-3.062e-05,,,17788,DIRECTION_UNKNOWN,-2.786e-05,2.77e-06,-3.062e-05,-1.0853,0.497,0.00015692,-0.28956773,0.00054358,-0.00118137,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha23,wq101,conditional,4h,LONG_SHORT,Long-Short,-8.751e-05,,,17785,DIRECTION_UNKNOWN,-6.255e-05,2.497e-05,-8.751e-05,-1.5707,0.5026,0.00045749,-0.21109426,0.00158478,-0.00292469,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha23,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00063079,,,17765,DIRECTION_UNKNOWN,-0.00024672,0.00038407,-0.00063079,-4.4375,0.486,0.00141341,-0.27920572,0.00489621,-0.01967742,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha23,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00161063,,,17717,DIRECTION_UNKNOWN,-0.00057872,0.00103191,-0.00161063,-5.5781,0.485,0.00319526,-0.22201504,0.0110687,-0.04272288,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,1h,LONG_SHORT,Long-Short,-9.17e-06,,,17608,DIRECTION_UNKNOWN,5.37e-06,1.455e-05,-9.17e-06,-0.3241,0.4936,0.00014753,-0.13928578,0.00051105,-0.00084206,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,4h,LONG_SHORT,Long-Short,-4.804e-05,,,17605,DIRECTION_UNKNOWN,-9.63e-06,3.841e-05,-4.804e-05,-0.8343,0.491,0.00046322,-0.15402431,0.00160463,-0.00241778,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00042994,,,17585,DIRECTION_UNKNOWN,-9.075e-05,0.00033919,-0.00042994,-2.8846,0.4734,0.002962,-0.24966754,0.01026065,-0.01625663,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00139163,,,17537,DIRECTION_UNKNOWN,1.979e-05,0.00141142,-0.00139163,-4.7745,0.4544,0.00848369,-0.18551209,0.02938836,-0.05230096,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,1h,LONG_SHORT,Long-Short,-4.5e-07,,,17787,DIRECTION_UNKNOWN,5.24e-06,5.69e-06,-4.5e-07,-0.0157,0.5066,0.00018106,0.06133959,0.0006272,-0.00076134,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,4h,LONG_SHORT,Long-Short,-0.00010542,,,17784,DIRECTION_UNKNOWN,-5.846e-05,4.696e-05,-0.00010542,-1.8311,0.4999,0.00045535,-0.17448884,0.00157739,-0.00276223,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00064135,,,17764,DIRECTION_UNKNOWN,-0.0002312,0.00041015,-0.00064135,-4.2694,0.4953,0.00128893,-0.2604239,0.00446498,-0.01747644,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00148422,,,17716,DIRECTION_UNKNOWN,-0.0003374,0.00114682,-0.00148422,-5.1088,0.4879,0.00288706,-0.19273313,0.01000107,-0.03779182,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,1h,LONG_SHORT,Long-Short,5.898e-05,,,17787,DIRECTION_UNKNOWN,3.519e-05,-2.379e-05,5.898e-05,1.9704,0.5127,0.00021756,0.52217862,0.00075364,-0.00087624,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,4h,LONG_SHORT,Long-Short,1.111e-05,,,17784,DIRECTION_UNKNOWN,1.033e-05,-7.8e-07,1.111e-05,0.183,0.5157,0.00041087,0.02634998,0.00142329,-0.00276781,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00013716,,,17764,DIRECTION_UNKNOWN,4.733e-05,0.00018449,-0.00013716,-0.8884,0.5111,0.00161221,-0.09877506,0.00558486,-0.01134728,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00048789,,,17716,DIRECTION_UNKNOWN,1.691e-05,0.0005048,-0.00048789,-1.6784,0.5115,0.00342892,-0.08322961,0.01187813,-0.02853416,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,1h,LONG_SHORT,Long-Short,6.281e-05,,,17787,DIRECTION_UNKNOWN,3.66e-05,-2.621e-05,6.281e-05,2.0942,0.5149,0.00021124,0.55629419,0.00073174,-0.00080403,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,4h,LONG_SHORT,Long-Short,2.745e-05,,,17784,DIRECTION_UNKNOWN,2.097e-05,-6.48e-06,2.745e-05,0.453,0.5164,0.00041805,0.06169631,0.00144815,-0.00267109,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,24h,LONG_SHORT,Long-Short,-7.123e-05,,,17764,DIRECTION_UNKNOWN,9.055e-05,0.00016179,-7.123e-05,-0.462,0.5135,0.00163308,-0.07381432,0.00565716,-0.00996915,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00033558,,,17716,DIRECTION_UNKNOWN,9.412e-05,0.0004297,-0.00033558,-1.1564,0.5128,0.0035082,-0.06216597,0.01215275,-0.02617301,0.48,25,per_bar_mean_x_bars_per_year
