factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha32,wq101,conditional,1h,LONG_SHORT,Long-Short,1.682e-05,,,17572,DIRECTION_UNKNOWN,-5.67e-06,-2.25e-05,1.682e-05,0.5661,0.501,0.0001539,0.1997593,0.00053311,-0.00044429,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha32,wq101,conditional,4h,LONG_SHORT,Long-Short,5.435e-05,,,17569,DIRECTION_UNKNOWN,-1.309e-05,-6.744e-05,5.435e-05,0.8836,0.5011,0.00056295,0.16836327,0.00195011,-0.00151186,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha32,wq101,conditional,24h,LONG_SHORT,Long-Short,0.00024906,,,17549,DIRECTION_UNKNOWN,-0.00017922,-0.00042827,0.00024906,1.7182,0.4886,0.00341555,0.12450333,0.01183181,-0.0081968,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha32,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00013307,,,17501,DIRECTION_UNKNOWN,-0.00105369,-0.00092062,-0.00013307,-0.4606,0.4842,0.01155828,0.01589407,0.04003907,-0.03321762,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,1h,LONG_SHORT,Long-Short,0.00011366,,,17807,DIRECTION_UNKNOWN,9.202e-05,-2.164e-05,0.00011366,2.7939,0.5261,0.00027777,1.04122203,0.00096223,-0.00071857,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,4h,LONG_SHORT,Long-Short,5.257e-05,,,17804,DIRECTION_UNKNOWN,0.00014868,9.611e-05,5.257e-05,0.6715,0.5134,0.00067932,0.11956852,0.00235323,-0.00258659,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00026432,,,17784,DIRECTION_UNKNOWN,0.00042542,0.00068974,-0.00026432,-1.3866,0.5047,0.00130964,-0.13101932,0.00453674,-0.01007762,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00133431,,,17736,DIRECTION_UNKNOWN,0.00083472,0.00216903,-0.00133431,-3.7108,0.4954,0.00320031,-0.1704748,0.01108619,-0.03178034,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha37,wq101,conditional,1h,LONG_SHORT,Long-Short,2.889e-05,,,17607,DIRECTION_UNKNOWN,2.008e-05,-8.81e-06,2.889e-05,1.0071,0.5065,0.00016141,0.31312233,0.00055915,-0.00103661,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha37,wq101,conditional,4h,LONG_SHORT,Long-Short,-8.989e-05,,,17604,DIRECTION_UNKNOWN,-6.801e-05,2.188e-05,-8.989e-05,-1.5327,0.4941,0.00048814,-0.13207523,0.00169098,-0.00476189,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha37,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00059016,,,17584,DIRECTION_UNKNOWN,-0.00036324,0.00022692,-0.00059016,-3.9597,0.4927,0.00270131,-0.16816821,0.00935763,-0.01937119,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha37,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00211411,,,17536,DIRECTION_UNKNOWN,-0.00101949,0.00109462,-0.00211411,-7.2833,0.4891,0.00795625,-0.22622231,0.02756125,-0.05798443,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha38,wq101,conditional,1h,LONG_SHORT,Long-Short,7.65e-05,,,17798,DIRECTION_UNKNOWN,7.352e-05,-2.97e-06,7.65e-05,1.9587,0.5188,0.00026298,0.74776685,0.00091099,-0.00104065,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha38,wq101,conditional,4h,LONG_SHORT,Long-Short,3.723e-05,,,17795,DIRECTION_UNKNOWN,0.0001215,8.427e-05,3.723e-05,0.4985,0.5096,0.00069426,0.1127341,0.00240497,-0.00308201,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha38,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00041474,,,17775,DIRECTION_UNKNOWN,0.00017827,0.00059301,-0.00041474,-2.266,0.4967,0.00165455,-0.18832856,0.00573152,-0.01322892,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha38,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00148547,,,17727,DIRECTION_UNKNOWN,0.00023672,0.00172218,-0.00148547,-4.3186,0.494,0.00443282,-0.18936622,0.01535573,-0.03607981,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha44,wq101,conditional,1h,LONG_SHORT,Long-Short,-3.55e-06,,,17803,DIRECTION_UNKNOWN,-5.83e-06,-2.28e-06,-3.55e-06,-0.1346,0.508,0.00014874,-0.0342474,0.00051527,-0.00046252,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha44,wq101,conditional,4h,LONG_SHORT,Long-Short,-0.00013373,,,17800,DIRECTION_UNKNOWN,-0.00010979,2.395e-05,-0.00013373,-2.5535,0.5048,0.00051568,-0.30036297,0.00178635,-0.00361339,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha44,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00042484,,,17780,DIRECTION_UNKNOWN,-0.00030151,0.00012334,-0.00042484,-3.149,0.5089,0.00160636,-0.19760293,0.00556458,-0.01427436,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha44,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00190403,,,17732,DIRECTION_UNKNOWN,-0.00155361,0.00035042,-0.00190403,-7.2547,0.4955,0.0042499,-0.24415726,0.01472209,-0.05649064,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha45,wq101,conditional,1h,LONG_SHORT,Long-Short,2.043e-05,,,17783,DIRECTION_UNKNOWN,-5.69e-06,-2.612e-05,2.043e-05,0.8451,0.5081,0.00012017,0.15049724,0.00041628,-0.00042453,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha45,wq101,conditional,4h,LONG_SHORT,Long-Short,-7.365e-05,,,17780,DIRECTION_UNKNOWN,-9.216e-05,-1.85e-05,-7.365e-05,-1.4883,0.506,0.00028316,-0.15905234,0.00098091,-0.00205771,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha45,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00028224,,,17760,DIRECTION_UNKNOWN,-0.00040213,-0.00011989,-0.00028224,-2.2184,0.4953,0.00074787,-0.10425577,0.00259069,-0.0076343,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha45,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00089636,,,17712,DIRECTION_UNKNOWN,-0.001153,-0.00025664,-0.00089636,-3.5094,0.4949,0.00180496,-0.11604197,0.00625257,-0.025541,0.36,25,per_bar_mean_x_bars_per_year
