factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_rsv_30h,alpha158_rolling,conditional,1h,LONG_SHORT,Long-Short,6.834e-05,,,17778,DIRECTION_UNKNOWN,4.538e-05,-2.295e-05,6.834e-05,1.953,0.5018,0.00020272,0.66306705,0.00070225,-0.00047443,0.64,25,per_bar_mean_x_bars_per_year
q158_rsv_30h,alpha158_rolling,conditional,4h,LONG_SHORT,Long-Short,0.00030355,,,17775,DIRECTION_UNKNOWN,0.00017602,-0.00012754,0.00030355,4.2312,0.51,0.00066597,0.7427359,0.00230699,-0.0007851,0.64,25,per_bar_mean_x_bars_per_year
q158_rsv_30h,alpha158_rolling,conditional,24h,LONG_SHORT,Long-Short,0.00100705,,,17755,DIRECTION_UNKNOWN,0.00073101,-0.00027604,0.00100705,5.4921,0.5139,0.00431607,0.5089458,0.01495132,-0.00957249,0.56,25,per_bar_mean_x_bars_per_year
q158_rsv_30h,alpha158_rolling,conditional,72h,LONG_SHORT,Long-Short,0.00405625,,,17707,DIRECTION_UNKNOWN,0.00287773,-0.00117853,0.00405625,11.7299,0.5318,0.00927807,0.52214627,0.03214017,-0.01436578,0.68,25,per_bar_mean_x_bars_per_year
q158_qtlu_30h,alpha158_rolling,conditional,1h,LONG_SHORT,Long-Short,-4.609e-05,,,17778,DIRECTION_UNKNOWN,1.37e-06,4.747e-05,-4.609e-05,-1.0931,0.4988,0.00020138,-0.48276538,0.00069762,-0.00151554,0.32,25,per_bar_mean_x_bars_per_year
q158_qtlu_30h,alpha158_rolling,conditional,4h,LONG_SHORT,Long-Short,-0.00024801,,,17775,DIRECTION_UNKNOWN,-5.396e-05,0.00019405,-0.00024801,-2.9419,0.4909,0.00073838,-0.64546354,0.00255783,-0.00713531,0.32,25,per_bar_mean_x_bars_per_year
q158_qtlu_30h,alpha158_rolling,conditional,24h,LONG_SHORT,Long-Short,-0.00094402,,,17755,DIRECTION_UNKNOWN,-4.314e-05,0.00090088,-0.00094402,-4.5213,0.4864,0.00454786,-0.50175328,0.01575426,-0.03181594,0.4,25,per_bar_mean_x_bars_per_year
q158_qtlu_30h,alpha158_rolling,conditional,72h,LONG_SHORT,Long-Short,-0.00428608,,,17707,DIRECTION_UNKNOWN,-0.00086361,0.00342248,-0.00428608,-11.4463,0.4677,0.0089778,-0.54792373,0.0311,-0.10884891,0.32,25,per_bar_mean_x_bars_per_year
q158_qtld_30h,alpha158_rolling,conditional,1h,LONG_SHORT,Long-Short,-7.295e-05,,,17778,DIRECTION_UNKNOWN,-1.618e-05,5.677e-05,-7.295e-05,-1.7894,0.4995,0.00019667,-0.72663394,0.00068129,-0.00250188,0.4,25,per_bar_mean_x_bars_per_year
q158_qtld_30h,alpha158_rolling,conditional,4h,LONG_SHORT,Long-Short,-0.00038485,,,17775,DIRECTION_UNKNOWN,-0.00016915,0.0002157,-0.00038485,-4.7555,0.4947,0.00073983,-0.91991074,0.00256286,-0.01166107,0.32,25,per_bar_mean_x_bars_per_year
q158_qtld_30h,alpha158_rolling,conditional,24h,LONG_SHORT,Long-Short,-0.00137181,,,17755,DIRECTION_UNKNOWN,-0.00040058,0.00097122,-0.00137181,-6.8563,0.4965,0.00373974,-0.62097278,0.01295485,-0.0447458,0.36,25,per_bar_mean_x_bars_per_year
q158_qtld_30h,alpha158_rolling,conditional,72h,LONG_SHORT,Long-Short,-0.0048769,,,17707,DIRECTION_UNKNOWN,-0.00123446,0.00364243,-0.0048769,-12.9002,0.4842,0.01149469,-0.6015403,0.03981879,-0.1276776,0.4,25,per_bar_mean_x_bars_per_year
q158_rank_close_30h,alpha158_rolling,conditional,1h,LONG_SHORT,Long-Short,5.397e-05,,,17778,DIRECTION_UNKNOWN,3.317e-05,-2.08e-05,5.397e-05,1.535,0.4961,0.00019097,0.51483193,0.00066154,-0.00055134,0.72,25,per_bar_mean_x_bars_per_year
q158_rank_close_30h,alpha158_rolling,conditional,4h,LONG_SHORT,Long-Short,0.00029221,,,17775,DIRECTION_UNKNOWN,0.00013365,-0.00015857,0.00029221,4.1279,0.5041,0.00067733,0.69398671,0.00234635,-0.00098401,0.64,25,per_bar_mean_x_bars_per_year
q158_rank_close_30h,alpha158_rolling,conditional,24h,LONG_SHORT,Long-Short,0.00136805,,,17755,DIRECTION_UNKNOWN,0.00081287,-0.00055517,0.00136805,7.6755,0.5115,0.00392488,0.63361233,0.01359617,-0.00413179,0.56,25,per_bar_mean_x_bars_per_year
q158_rank_close_30h,alpha158_rolling,conditional,72h,LONG_SHORT,Long-Short,0.0045766,,,17707,DIRECTION_UNKNOWN,0.00289366,-0.00168294,0.0045766,13.567,0.5257,0.00867751,0.60007986,0.03005978,-0.01531895,0.68,25,per_bar_mean_x_bars_per_year
