factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
mom_72h,momentum,positive,1h,-0.01583241,-0.01583241,0.16519236,0.16519236,-0.095842,-0.095842,-0.095842,-12.7632,0.4642,0.4642,17734,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,close,72,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,1.76e-05,-7.08e-06,2.468e-05,0.5999,0.5037
mom_72h,momentum,positive,4h,-0.02518219,-0.02518219,0.16602454,0.16602454,-0.151678,-0.151678,-0.151678,-20.1976,0.4394,0.4394,17732,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,close,72,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,8.06e-05,6.4e-07,7.996e-05,0.9723,0.5007
mom_72h,momentum,positive,24h,-0.03093993,-0.03093993,0.1701416,0.1701416,-0.181848,-0.181848,-0.181848,-24.2015,0.4238,0.4238,17712,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,close,72,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,0.00109595,-0.00014275,0.00123869,6.0289,0.5062
mom_72h,momentum,positive,72h,-0.01812229,-0.01812229,0.16894803,0.16894803,-0.107265,-0.107265,-0.107265,-14.2562,0.45,0.45,17664,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,close,72,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic,0.00419454,-0.0016381,0.00583264,15.1476,0.5259
mom_120h,momentum,positive,1h,-0.01190786,-0.01190786,0.16940062,0.16940062,-0.070294,-0.070294,-0.070294,-9.3483,0.469,0.469,17686,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,close,120,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,4.828e-05,-2.423e-05,7.25e-05,1.7405,0.5082
mom_120h,momentum,positive,4h,-0.01947579,-0.01947579,0.17033067,0.17033067,-0.114341,-0.114341,-0.114341,-15.2052,0.4502,0.4502,17684,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,close,120,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,0.00019247,-0.00011146,0.00030393,3.613,0.5092
mom_120h,momentum,positive,24h,-0.02314036,-0.02314036,0.1703592,0.1703592,-0.135833,-0.135833,-0.135833,-18.053,0.4404,0.4404,17664,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,close,120,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,0.00122616,-0.00044489,0.00167104,7.9725,0.5192
mom_120h,momentum,positive,72h,-0.01561938,-0.01561938,0.16970834,0.16970834,-0.092037,-0.092037,-0.092037,-12.2156,0.4523,0.4523,17616,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,close,120,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic,0.0040785,-0.00206129,0.00613979,15.8458,0.5391
rev_1h,reversal,positive,1h,0.03650558,0.03650558,0.1587012,0.1587012,0.230027,0.230027,0.230027,30.6929,0.6071,0.6071,17804,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic,close,1,-(close / close_1h_ago - 1); very short-term reversal diagnostic,9.344e-05,-2.176e-05,0.0001152,2.8464,0.5253
rev_1h,reversal,positive,4h,0.02815733,0.02815733,0.15700982,0.15700982,0.179335,0.179335,0.179335,23.9276,0.5795,0.5795,17802,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic,close,1,-(close / close_1h_ago - 1); very short-term reversal diagnostic,0.00015253,9.579e-05,5.674e-05,0.7266,0.5133
rev_1h,reversal,positive,24h,0.01188053,0.01188053,0.15338156,0.15338156,0.077457,0.077457,0.077457,10.3289,0.5367,0.5367,17782,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic,close,1,-(close / close_1h_ago - 1); very short-term reversal diagnostic,0.000439,0.00068485,-0.00024585,-1.2917,0.5036
rev_1h,reversal,positive,72h,0.00455941,0.00455941,0.14651666,0.14651666,0.031119,0.031119,0.031119,4.144,0.5138,0.5138,17734,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic,close,1,-(close / close_1h_ago - 1); very short-term reversal diagnostic,0.00086232,0.00219102,-0.0013287,-3.7037,0.4952
rev_72h,reversal,positive,1h,0.01583241,0.01583241,0.16519236,0.16519236,0.095842,0.095842,0.095842,12.7632,0.5358,0.5358,17734,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,close,72,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,-3.86e-06,1.893e-05,-2.279e-05,-0.5568,0.4965
rev_72h,reversal,positive,4h,0.02518219,0.02518219,0.16602454,0.16602454,0.151678,0.151678,0.151678,20.1976,0.5606,0.5606,17732,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,close,72,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,2.84e-06,8.115e-05,-7.831e-05,-0.9558,0.4992
rev_72h,reversal,positive,24h,0.03093993,0.03093993,0.1701416,0.1701416,0.181848,0.181848,0.181848,24.2015,0.5762,0.5762,17712,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,close,72,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,-0.00012586,0.00107484,-0.0012007,-5.8607,0.4936
rev_72h,reversal,positive,72h,0.01812229,0.01812229,0.16894803,0.16894803,0.107265,0.107265,0.107265,14.2562,0.55,0.55,17664,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,close,72,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic,-0.00160347,0.00408977,-0.00569324,-14.8845,0.4745
vol_ratio_20_80,volatility,conditional,1h,-0.00758088,-0.00758088,0.12294913,0.12294913,-0.061659,-0.061659,-0.061659,-8.2092,0.4761,0.4761,17726,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",close,81,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",-4.17e-06,-4.59e-06,4.2e-07,0.0126,0.4975
vol_ratio_20_80,volatility,conditional,4h,-0.01148891,-0.01148891,0.12455172,0.12455172,-0.092242,-0.092242,-0.092242,-12.2803,0.466,0.466,17724,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",close,81,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",3.54e-06,-2.618e-05,2.972e-05,0.4472,0.5005
vol_ratio_20_80,volatility,conditional,24h,-0.01231733,-0.01231733,0.12191224,0.12191224,-0.101034,-0.101034,-0.101034,-13.4433,0.4716,0.4716,17704,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",close,81,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",-1.172e-05,1.913e-05,-3.084e-05,-0.1861,0.5026
vol_ratio_20_80,volatility,conditional,72h,-0.00988339,-0.00988339,0.11686248,0.11686248,-0.084573,-0.084573,-0.084573,-11.2377,0.4756,0.4756,17656,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",close,81,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic",0.0006172,0.00038652,0.00023068,0.6979,0.4947
realized_skew_20h,realized_shape,conditional,1h,-0.01181661,-0.01181661,0.11496001,0.11496001,-0.102789,-0.102789,-0.102789,-13.7084,0.4559,0.4559,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,close,21,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,3.463e-05,-3.563e-05,7.026e-05,2.2414,0.4994
realized_skew_20h,realized_shape,conditional,4h,-0.01679172,-0.01679172,0.11743873,0.11743873,-0.142983,-0.142983,-0.142983,-19.0677,0.4402,0.4402,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,close,21,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,9.734e-05,-5.753e-05,0.00015486,2.4777,0.5004
realized_skew_20h,realized_shape,conditional,24h,-0.02652194,-0.02652194,0.11999014,0.11999014,-0.221034,-0.221034,-0.221034,-29.4598,0.4048,0.4048,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,close,21,rolling skewness of 1h returns over 20 bars; asymmetry diagnostic,0.00021719,0.0001777,3.949e-05,0.2368,0.4834
