factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
taker_buy_ratio_20h,taker_imbalance,positive,1h,-0.00499486,-0.00499486,0.09711175,0.09711175,-0.051434,-0.051434,-0.051434,-6.6539,0.4795,0.4795,16736,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",4.596e-05,-1.76e-05,6.356e-05,2.483,0.5054
taker_buy_ratio_20h,taker_imbalance,positive,4h,-0.00446462,-0.00446462,0.09926308,0.09926308,-0.044978,-0.044978,-0.044978,-5.8188,0.4833,0.4833,16737,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",0.0001886,-0.00010893,0.00029753,5.7071,0.5148
taker_buy_ratio_20h,taker_imbalance,positive,24h,-0.00199007,-0.00199007,0.104507,0.104507,-0.019042,-0.019042,-0.019042,-2.4636,0.4908,0.4908,16737,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",0.00111043,-0.00049732,0.00160775,11.5411,0.5245
taker_buy_ratio_20h,taker_imbalance,positive,72h,0.00469039,0.00469039,0.10583588,0.10583588,0.044318,0.044318,0.044318,5.7334,0.5146,0.5146,16737,180.8,3025443,0.087694,False,COMPUTED,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",0.00233438,-0.00146629,0.00380067,14.3423,0.5431
taker_buy_zscore_20h,taker_imbalance,positive,1h,-0.01137205,-0.01137205,0.09815657,0.09815657,-0.115856,-0.115856,-0.115856,-14.9881,0.4506,0.4506,16736,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",-2.754e-05,1.23e-06,-2.877e-05,-1.1563,0.4869
taker_buy_zscore_20h,taker_imbalance,positive,4h,-0.00763948,-0.00763948,0.09789776,0.09789776,-0.078035,-0.078035,-0.078035,-10.0955,0.4656,0.4656,16737,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",-5.371e-05,-4.55e-05,-8.21e-06,-0.1619,0.496
taker_buy_zscore_20h,taker_imbalance,positive,24h,-0.00186539,-0.00186539,0.09753952,0.09753952,-0.019124,-0.019124,-0.019124,-2.4742,0.4878,0.4878,16737,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",-7.626e-05,-0.00011205,3.578e-05,0.2692,0.4966
taker_buy_zscore_20h,taker_imbalance,positive,72h,-0.00023616,-0.00023616,0.09699143,0.09699143,-0.002435,-0.002435,-0.002435,-0.315,0.4974,0.4974,16737,180.8,3025443,0.087694,False,COMPUTED,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,20,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",-8.54e-05,-0.00047017,0.00038477,1.5197,0.4974
taker_buy_delta_5h,taker_imbalance,positive,1h,-0.00809259,-0.00809259,0.09326197,0.09326197,-0.086773,-0.086773,-0.086773,-11.2363,0.4591,0.4591,16768,180.8,3031391,0.0859,False,COMPUTED,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,6,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.",-2.936e-05,-5.24e-06,-2.413e-05,-1.0986,0.4857
taker_buy_delta_5h,taker_imbalance,positive,4h,-0.00492361,-0.00492361,0.0936465,0.0936465,-0.052577,-0.052577,-0.052577,-6.8084,0.4806,0.4806,16769,180.8,3031391,0.0859,False,COMPUTED,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.",taker_buy_quote_volume|quote_volume,6,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.",-2.692e-05,-7.284e-05,4.592e-05,1.0529,0.4957
