factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
funding_rate_level_20h,funding_rate,negative,1h,0.01027415,-0.01027415,0.10679927,0.10679927,0.096201,-0.096201,0.096201,12.4527,0.5406,0.4594,16756,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",funding_rate,20,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",-6.841e-05,6.074e-05,-0.00012915,-4.2718,0.4882
funding_rate_level_20h,funding_rate,negative,4h,0.01870653,-0.01870653,0.10832803,0.10832803,0.172684,-0.172684,0.172684,22.3538,0.5703,0.4297,16757,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",funding_rate,20,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",-0.00025738,0.00023285,-0.00049023,-7.9619,0.4768
funding_rate_level_20h,funding_rate,negative,24h,0.034482,-0.034482,0.10967696,0.10967696,0.314396,-0.314396,0.314396,40.6982,0.6277,0.3723,16757,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",funding_rate,20,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",-0.00132626,0.00125836,-0.00258462,-15.6814,0.4525
funding_rate_level_20h,funding_rate,negative,72h,0.04466918,-0.04466918,0.10674549,0.10674549,0.418464,-0.418464,0.418464,54.1697,0.6681,0.3319,16757,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",funding_rate,20,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",-0.00453524,0.0058857,-0.01042094,-30.8535,0.4112
funding_rate_zscore_80h,funding_rate,negative,1h,0.00521047,-0.00521047,0.10670395,0.10670395,0.048831,-0.048831,0.048831,6.3096,0.5187,0.4813,16696,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",funding_rate,80,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",-1.328e-05,-4.53e-06,-8.75e-06,-0.2892,0.4985
funding_rate_zscore_80h,funding_rate,negative,4h,0.00888837,-0.00888837,0.1077018,0.1077018,0.082528,-0.082528,0.082528,10.664,0.5322,0.4678,16697,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",funding_rate,80,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",-8.193e-05,5.497e-05,-0.00013691,-2.2255,0.4889
funding_rate_zscore_80h,funding_rate,negative,24h,0.01380335,-0.01380335,0.11072424,0.11072424,0.124664,-0.124664,0.124664,16.1087,0.5462,0.4537,16697,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",funding_rate,80,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",-2.401e-05,-2.839e-05,4.38e-06,0.0275,0.4848
funding_rate_zscore_80h,funding_rate,negative,72h,0.00682958,-0.00682958,0.1093539,0.1093539,0.062454,-0.062454,0.062454,8.0701,0.5185,0.4815,16697,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",funding_rate,80,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",0.00108031,-0.00039389,0.00147419,4.4969,0.5019
funding_rate_change_24h,funding_rate,negative,1h,0.00270766,-0.00270766,0.09577296,0.09577296,0.028272,-0.028272,0.028272,3.6591,0.5129,0.4871,16751,173.9,2912822,0.121654,False,COMPUTED,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache.",funding_rate,25,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache.",3.7e-07,1.646e-05,-1.608e-05,-0.568,0.4986
funding_rate_change_24h,funding_rate,negative,4h,0.00518369,-0.00518369,0.09655184,0.09655184,0.053688,-0.053688,0.053688,6.9488,0.5205,0.4795,16752,173.9,2912822,0.121654,False,COMPUTED,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache.",funding_rate,25,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache.",-5.31e-05,5.965e-05,-0.00011276,-1.9471,0.4952
