factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
rev_2h,reversal,positive,1h,0.03607475,0.03607475,0.16139482,0.16139482,0.223519,0.223519,0.223519,29.8245,0.6018,0.6018,17804,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal,close,2,-(close / close_2h_ago - 1); short-term reversal,7.77e-05,6.34e-06,7.136e-05,1.7316,0.5198
rev_2h,reversal,positive,4h,0.03122618,0.03122618,0.15926531,0.15926531,0.196064,0.196064,0.196064,26.1597,0.5863,0.5863,17802,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal,close,2,-(close / close_2h_ago - 1); short-term reversal,9.704e-05,0.0001195,-2.247e-05,-0.2804,0.5063
rev_2h,reversal,positive,24h,0.01526466,0.01526466,0.15538716,0.15538716,0.098236,0.098236,0.098236,13.0997,0.5387,0.5387,17782,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal,close,2,-(close / close_2h_ago - 1); short-term reversal,0.00025861,0.00089785,-0.00063924,-3.3063,0.4927
rev_2h,reversal,positive,72h,0.00669909,0.00669909,0.14790069,0.14790069,0.045295,0.045295,0.045295,6.0318,0.52,0.52,17734,186.2,3315727,0.00016,False,COMPUTED,-(close / close_2h_ago - 1); short-term reversal,close,2,-(close / close_2h_ago - 1); short-term reversal,0.00065421,0.00264816,-0.00199394,-5.5245,0.4875
mom_vol_adjusted_20h,momentum,positive,1h,-0.02083523,-0.02083523,0.13576493,0.13576493,-0.153465,-0.153465,-0.153465,-20.4668,0.4367,0.4367,17786,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",close,21,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",6.406e-05,-3.127e-05,9.532e-05,2.6597,0.5041
mom_vol_adjusted_20h,momentum,positive,4h,-0.02642087,-0.02642087,0.14082173,0.14082173,-0.187619,-0.187619,-0.187619,-25.0203,0.4198,0.4198,17784,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",close,21,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",0.00022709,-0.00019379,0.00042088,5.7864,0.5131
mom_vol_adjusted_20h,momentum,positive,24h,-0.02188231,-0.02188231,0.14247334,0.14247334,-0.153589,-0.153589,-0.153589,-20.4706,0.4341,0.4341,17764,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",close,21,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",0.00110458,-0.00069325,0.00179783,9.5009,0.5185
mom_vol_adjusted_20h,momentum,positive,72h,-0.01299133,-0.01299133,0.13225806,0.13225806,-0.098227,-0.098227,-0.098227,-13.0742,0.4593,0.4593,17716,185.6,3302072,0.004278,False,COMPUTED,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",close,21,"mom_20h / rolling_std(pct_change(close), 20); volatility-adjusted momentum; safe for zero vol",0.00315172,-0.00212532,0.00527704,15.2588,0.5321
range_breakout_vol_confirm_20h,breakout,positive,1h,,,,,,,,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",high|low|close|volume,20,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",,,,,
range_breakout_vol_confirm_20h,breakout,positive,4h,,,,,,,,,,,0,,0,1.0,False,NO_VALID_FACTOR_VALUES,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",high|low|close|volume,20,"breakout_dist_20h * zscore(volume, 20) when breakout_dist_20h > 0; volume-confirmed breakout",,,,,
