factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha23,wq101,conditional,1h,0.00990598,0.00990598,0.11089322,0.11089322,0.089329,0.089329,0.089329,11.8928,0.5401,0.5401,17725,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",high,20,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",-2.786e-05,2.77e-06,-3.062e-05,-1.0853,0.497,0.00015692,-0.28956773,0.00054358,-0.00118137,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha23,wq101,conditional,4h,0.01168064,0.01168064,0.11115143,0.11115143,0.105088,0.105088,0.105088,13.9901,0.5442,0.5442,17723,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",high,20,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",-6.255e-05,2.497e-05,-8.751e-05,-1.5707,0.5026,0.00045749,-0.21109426,0.00158478,-0.00292469,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha23,wq101,conditional,24h,0.00499417,0.00499417,0.11062725,0.11062725,0.045144,0.045144,0.045144,6.0065,0.5258,0.5258,17703,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",high,20,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",-0.00024672,0.00038407,-0.00063079,-4.4375,0.486,0.00141341,-0.27920572,0.00489621,-0.01967742,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha23,wq101,conditional,72h,0.00071219,0.00071219,0.10801405,0.10801405,0.006593,0.006593,0.006593,0.8761,0.5089,0.5089,17655,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",high,20,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars",-0.00057872,0.00103191,-0.00161063,-5.5781,0.485,0.00319526,-0.22201504,0.0110687,-0.04272288,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,1h,0.00044719,0.00044719,0.12847652,0.12847652,0.003481,0.003481,0.003481,0.4619,0.5018,0.5018,17607,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",close,200,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",5.37e-06,1.455e-05,-9.17e-06,-0.3241,0.4936,0.00014753,-0.13928578,0.00051105,-0.00084206,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,4h,-0.00301008,-0.00301008,0.13041655,0.13041655,-0.023081,-0.023081,-0.023081,-3.0624,0.4907,0.4907,17605,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",close,200,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",-9.63e-06,3.841e-05,-4.804e-05,-0.8343,0.491,0.00046322,-0.15402431,0.00160463,-0.00241778,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,24h,-0.01855172,-0.01855172,0.13489006,0.13489006,-0.137532,-0.137532,-0.137532,-18.2379,0.4404,0.4404,17585,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",close,200,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",-9.075e-05,0.00033919,-0.00042994,-2.8846,0.4734,0.002962,-0.24966754,0.01026065,-0.01625663,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha24,wq101,conditional,72h,-0.03055915,-0.03055915,0.13130356,0.13130356,-0.232737,-0.232737,-0.232737,-30.8207,0.4047,0.4047,17537,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",close,200,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars",1.979e-05,0.00141142,-0.00139163,-4.7745,0.4544,0.00848369,-0.18551209,0.02938836,-0.05230096,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,1h,0.01540313,0.01540313,0.11603727,0.11603727,0.132743,0.132743,0.132743,17.6812,0.5583,0.5583,17742,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",close,21,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",5.24e-06,5.69e-06,-4.5e-07,-0.0157,0.5066,0.00018106,0.06133959,0.0006272,-0.00076134,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,4h,0.01425706,0.01425706,0.11757832,0.11757832,0.121256,0.121256,0.121256,16.1503,0.5496,0.5496,17740,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",close,21,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",-5.846e-05,4.696e-05,-0.00010542,-1.8311,0.4999,0.00045535,-0.17448884,0.00157739,-0.00276223,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,24h,0.01103037,0.01103037,0.11833445,0.11833445,0.093213,0.093213,0.093213,12.4083,0.5404,0.5404,17720,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",close,21,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",-0.0002312,0.00041015,-0.00064135,-4.2694,0.4953,0.00128893,-0.2604239,0.00446498,-0.01747644,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha46,wq101,conditional,72h,0.0042142,0.0042142,0.11439415,0.11439415,0.036839,0.036839,0.036839,4.8973,0.5151,0.5151,17672,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",close,21,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars",-0.0003374,0.00114682,-0.00148422,-5.1088,0.4879,0.00288706,-0.19273313,0.01000107,-0.03779182,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,1h,0.02084219,0.02084219,0.11457861,0.11457861,0.181903,0.181903,0.181903,24.2593,0.5769,0.5769,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",3.519e-05,-2.379e-05,5.898e-05,1.9704,0.5127,0.00021756,0.52217862,0.00075364,-0.00087624,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,4h,0.01812093,0.01812093,0.11564029,0.11564029,0.156701,0.156701,0.156701,20.8971,0.5669,0.5669,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",1.033e-05,-7.8e-07,1.111e-05,0.183,0.5157,0.00041087,0.02634998,0.00142329,-0.00276781,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,24h,0.01307037,0.01307037,0.11569395,0.11569395,0.112974,0.112974,0.112974,15.0573,0.5466,0.5466,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",4.733e-05,0.00018449,-0.00013716,-0.8884,0.5111,0.00161221,-0.09877506,0.00558486,-0.01134728,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha49,wq101,conditional,72h,0.01085327,0.01085327,0.11313696,0.11313696,0.09593,0.09593,0.09593,12.7685,0.5389,0.5389,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars",1.691e-05,0.0005048,-0.00048789,-1.6784,0.5115,0.00342892,-0.08322961,0.01187813,-0.02853416,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,1h,0.02108879,0.02108879,0.11420365,0.11420365,0.184659,0.184659,0.184659,24.627,0.578,0.578,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",3.66e-05,-2.621e-05,6.281e-05,2.0942,0.5149,0.00021124,0.55629419,0.00073174,-0.00080403,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,4h,0.01862558,0.01862558,0.1152459,0.1152459,0.161616,0.161616,0.161616,21.5526,0.5675,0.5675,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",2.097e-05,-6.48e-06,2.745e-05,0.453,0.5164,0.00041805,0.06169631,0.00144815,-0.00267109,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,24h,0.01410946,0.01410946,0.11544733,0.11544733,0.122216,0.122216,0.122216,16.2891,0.5517,0.5517,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",9.055e-05,0.00016179,-7.123e-05,-0.462,0.5135,0.00163308,-0.07381432,0.00565716,-0.00996915,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha51,wq101,conditional,72h,0.01237831,0.01237831,0.11288755,0.11288755,0.109652,0.109652,0.109652,14.5948,0.5441,0.5441,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",close,21,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars",9.412e-05,0.0004297,-0.00033558,-1.1564,0.5128,0.0035082,-0.06216597,0.01215275,-0.02617301,0.48,25,per_bar_mean_x_bars_per_year
