factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha32,wq101,conditional,1h,0.00035449,0.00035449,0.12122739,0.12122739,0.002924,0.002924,0.002924,0.3876,0.5011,0.5011,17571,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",close|volume|quote_volume,235,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",-5.67e-06,-2.25e-05,1.682e-05,0.5661,0.501,0.0001539,0.1997593,0.00053311,-0.00044429,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha32,wq101,conditional,4h,0.00146273,0.00146273,0.12685207,0.12685207,0.011531,0.011531,0.011531,1.5284,0.502,0.502,17569,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",close|volume|quote_volume,235,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",-1.309e-05,-6.744e-05,5.435e-05,0.8836,0.5011,0.00056295,0.16836327,0.00195011,-0.00151186,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha32,wq101,conditional,24h,0.00022847,0.00022847,0.12641881,0.12641881,0.001807,0.001807,0.001807,0.2394,0.4914,0.4914,17549,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",close|volume|quote_volume,235,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",-0.00017922,-0.00042827,0.00024906,1.7182,0.4886,0.00341555,0.12450333,0.01183181,-0.0081968,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha32,wq101,conditional,72h,-0.00069905,-0.00069905,0.12164211,0.12164211,-0.005747,-0.005747,-0.005747,-0.7602,0.4803,0.4803,17501,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",close|volume|quote_volume,235,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved",-0.00105369,-0.00092062,-0.00013307,-0.4606,0.4842,0.01155828,0.01589407,0.04003907,-0.03321762,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,1h,0.03655526,0.03655526,0.15871159,0.15871159,0.230325,0.230325,0.230325,30.7335,0.6074,0.6074,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,open|close,1,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,9.202e-05,-2.164e-05,0.00011366,2.7939,0.5261,0.00027777,1.04122203,0.00096223,-0.00071857,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,4h,0.02817563,0.02817563,0.15701492,0.15701492,0.179446,0.179446,0.179446,23.943,0.5795,0.5795,17803,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,open|close,1,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,0.00014868,9.611e-05,5.257e-05,0.6715,0.5134,0.00067932,0.11956852,0.00235323,-0.00258659,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,24h,0.01195082,0.01195082,0.1533457,0.1533457,0.077934,0.077934,0.077934,10.3927,0.5355,0.5355,17783,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,open|close,1,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,0.00042542,0.00068974,-0.00026432,-1.3866,0.5047,0.00130964,-0.13101932,0.00453674,-0.01007762,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha33,wq101,conditional,72h,0.00454869,0.00454869,0.14648505,0.14648505,0.031052,0.031052,0.031052,4.1353,0.5134,0.5134,17735,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,open|close,1,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved,0.00083472,0.00216903,-0.00133431,-3.7108,0.4954,0.00320031,-0.1704748,0.01108619,-0.03178034,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha37,wq101,conditional,1h,0.01413215,0.01413215,0.11606697,0.11606697,0.121759,0.121759,0.121759,16.1559,0.5506,0.5506,17606,184.8,3254133,0.018734,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved",open|close,201,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved",2.008e-05,-8.81e-06,2.889e-05,1.0071,0.5065,0.00016141,0.31312233,0.00055915,-0.00103661,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha37,wq101,conditional,4h,0.01255925,0.01255925,0.11855195,0.11855195,0.105939,0.105939,0.105939,14.056,0.5413,0.5413,17604,184.8,3254133,0.018734,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved",open|close,201,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved",-6.801e-05,2.188e-05,-8.989e-05,-1.5327,0.4941,0.00048814,-0.13207523,0.00169098,-0.00476189,0.44,25,per_bar_mean_x_bars_per_year
