factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha1,wq101,conditional,1h,0.01228229,0.01228229,0.10505766,0.10505766,0.11691,0.11691,0.11691,15.5912,0.5525,0.5525,17785,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",close,25,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",2e-08,-1.578e-05,1.632e-05,0.616,0.5076,0.00016584,0.11859136,0.0005745,-0.00051452,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,4h,0.01331451,0.01331451,0.1045891,0.1045891,0.127303,0.127303,0.127303,16.9762,0.5543,0.5543,17783,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",close,25,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",-5.71e-06,-1.555e-05,8.53e-06,0.161,0.5044,0.0003977,0.01129882,0.00137768,-0.00198734,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,24h,0.00484306,0.00484306,0.1042911,0.1042911,0.046438,0.046438,0.046438,6.1891,0.5252,0.5252,17763,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",close,25,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",-0.0002012,0.00019874,-0.00041833,-2.9577,0.5005,0.00137556,-0.17251905,0.0047651,-0.01385355,0.24,25,per_bar_mean_x_bars_per_year
wq101_alpha1,wq101,conditional,72h,0.00095352,0.00095352,0.10313008,0.10313008,0.009246,0.009246,0.009246,1.2306,0.51,0.51,17715,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",close,25,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",-0.00060783,0.0006608,-0.00125896,-4.4749,0.4937,0.00527813,-0.15482893,0.01828398,-0.0403263,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,1h,0.01223825,0.01223825,0.08231809,0.08231809,0.14867,0.14867,0.14867,19.8301,0.5674,0.5674,17791,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",open|close|volume,8,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",-1.77e-06,-2.263e-05,2.087e-05,0.9182,0.5117,0.00010722,0.22300622,0.00037142,-0.0002749,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,4h,0.01494027,0.01494027,0.08286303,0.08286303,0.180301,0.180301,0.180301,24.0477,0.5791,0.5791,17789,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",open|close|volume,8,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",-5.903e-05,-6.188e-05,2.86e-06,0.063,0.5113,0.00039366,0.05717879,0.00136366,-0.00124379,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,24h,0.01352336,0.01352336,0.08254814,0.08254814,0.163824,0.163824,0.163824,21.8378,0.5687,0.5687,17769,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",open|close|volume,8,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",-0.0002908,-0.00011281,-0.00017799,-1.4916,0.4989,0.00116199,-0.0488682,0.00402526,-0.00515345,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha2,wq101,conditional,72h,0.01167188,0.01167188,0.08169845,0.08169845,0.142865,0.142865,0.142865,19.0183,0.562,0.562,17721,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",open|close|volume,8,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",-0.00089414,-0.00069338,-0.00020076,-0.8166,0.5103,0.002894,-0.01024132,0.01002511,-0.01823438,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,1h,0.0026854,0.0026854,0.09054281,0.09054281,0.029659,0.029659,0.029659,3.9567,0.5154,0.5154,17797,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",open|volume,10,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",-2.845e-05,5.47e-06,-3.392e-05,-1.4029,0.4956,0.00011406,-0.29026038,0.00039512,-0.0008748,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha3,wq101,conditional,4h,0.00667025,0.00667025,0.09098957,0.09098957,0.073308,0.073308,0.073308,9.7791,0.5357,0.5357,17795,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",open|volume,10,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",-7.478e-05,3.104e-05,-0.00010582,-2.1675,0.501,0.00034574,-0.22677962,0.00119768,-0.00334101,0.44,25,per_bar_mean_x_bars_per_year
