factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_qtlu_20h,alpha158_rolling,conditional,1h,0.0222656,0.0222656,0.16667881,0.16667881,0.133584,0.133584,0.133584,17.8158,0.5609,0.5609,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",close,20,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",2.1e-07,4.253e-05,-4.232e-05,-1.0105,0.5016,0.00021828,-0.40139714,0.00075615,-0.00146989,0.4,25,per_bar_mean_x_bars_per_year
q158_qtlu_20h,alpha158_rolling,conditional,4h,0.02235871,0.02235871,0.16878971,0.16878971,0.132465,0.132465,0.132465,17.6656,0.5562,0.5562,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",close,20,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",-5.248e-05,0.00020382,-0.0002563,-3.0819,0.4918,0.0007085,-0.60630937,0.0024543,-0.00644853,0.32,25,per_bar_mean_x_bars_per_year
q158_qtlu_20h,alpha158_rolling,conditional,24h,0.00887987,0.00887987,0.16975402,0.16975402,0.05231,0.05231,0.05231,6.9722,0.5236,0.5236,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",close,20,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",-4.595e-05,0.00095556,-0.0010015,-4.8887,0.4895,0.00402593,-0.50640248,0.01394622,-0.03180904,0.32,25,per_bar_mean_x_bars_per_year
q158_qtlu_20h,alpha158_rolling,conditional,72h,-0.00891777,-0.00891777,0.15849189,0.15849189,-0.056266,-0.056266,-0.056266,-7.4894,0.4706,0.4706,17717,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",close,20,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",-0.00058302,0.00315726,-0.00374028,-10.098,0.4695,0.00793436,-0.48250259,0.02748543,-0.09281696,0.36,25,per_bar_mean_x_bars_per_year
q158_qtld_20h,alpha158_rolling,conditional,1h,0.03873978,0.03873978,0.15334178,0.15334178,0.252637,0.252637,0.252637,33.6936,0.6075,0.6075,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",close,20,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",9.44e-06,6.268e-05,-5.324e-05,-1.3134,0.5047,0.00021126,-0.54092941,0.00073183,-0.00212619,0.32,25,per_bar_mean_x_bars_per_year
q158_qtld_20h,alpha158_rolling,conditional,4h,0.04564409,0.04564409,0.15569083,0.15569083,0.293171,0.293171,0.293171,39.0975,0.6243,0.6243,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",close,20,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",-9.303e-05,0.00024408,-0.0003371,-4.1708,0.4972,0.00075851,-0.80034189,0.00262754,-0.01016079,0.28,25,per_bar_mean_x_bars_per_year
q158_qtld_20h,alpha158_rolling,conditional,24h,0.04672086,0.04672086,0.15810494,0.15810494,0.295505,0.295505,0.295505,39.3866,0.6253,0.6253,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",close,20,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",-0.00037688,0.00100095,-0.00137783,-6.8432,0.4946,0.00353391,-0.61506685,0.01224183,-0.0429314,0.36,25,per_bar_mean_x_bars_per_year
q158_qtld_20h,alpha158_rolling,conditional,72h,0.03713822,0.03713822,0.14966124,0.14966124,0.248149,0.248149,0.248149,33.0299,0.602,0.602,17717,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",close,20,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",-0.00110861,0.00343348,-0.00454209,-12.0549,0.4852,0.01054651,-0.57609021,0.03653418,-0.12068,0.4,25,per_bar_mean_x_bars_per_year
q158_rank_close_20h,alpha158_rolling,conditional,1h,-0.02824408,-0.02824408,0.13429606,0.13429606,-0.210312,-0.210312,-0.210312,-28.0473,0.4056,0.4056,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 RANK20: Rank(close,20); current close percentile within the past 20 one-hour bars",close,20,"Alpha158 RANK20: Rank(close,20); current close percentile within the past 20 one-hour bars",2.545e-05,2.52e-06,2.293e-05,0.6653,0.4915,0.00019231,0.21878929,0.00066617,-0.00098528,0.64,25,per_bar_mean_x_bars_per_year
q158_rank_close_20h,alpha158_rolling,conditional,4h,-0.03161128,-0.03161128,0.13674312,0.13674312,-0.231173,-0.231173,-0.231173,-30.8276,0.4018,0.4018,17783,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 RANK20: Rank(close,20); current close percentile within the past 20 one-hour bars",close,20,"Alpha158 RANK20: Rank(close,20); current close percentile within the past 20 one-hour bars",0.00011882,-0.00011352,0.00023235,3.3489,0.5038,0.00066847,0.53354937,0.00231565,-0.00133812,0.64,25,per_bar_mean_x_bars_per_year
