factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,0.03195172,0.03195172,0.17427393,0.17427393,0.183342,0.183342,0.183342,0.5724,0.5724,608,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,0.02451653,0.02451653,0.17491862,0.17491862,0.14016,0.14016,0.14016,0.5632,0.5632,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,0.02278962,0.02278962,0.17849743,0.17849743,0.127675,0.127675,0.127675,0.5551,0.5551,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,0.01620723,0.01620723,0.16758596,0.16758596,0.09671,0.09671,0.09671,0.5264,0.5264,720,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,0.02477956,0.02477956,0.20404804,0.20404804,0.12144,0.12144,0.12144,0.5397,0.5397,743,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,0.01758552,0.01758552,0.19282489,0.19282489,0.091199,0.091199,0.091199,0.5292,0.5292,720,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,0.0161799,0.0161799,0.15120477,0.15120477,0.107007,0.107007,0.107007,0.5551,0.5551,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,0.03935054,0.03935054,0.16602073,0.16602073,0.237022,0.237022,0.237022,0.5954,0.5954,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,0.01963587,0.01963587,0.20121732,0.20121732,0.097585,0.097585,0.097585,0.5432,0.5432,672,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-03,0.01923119,0.01923119,0.15397838,0.15397838,0.124895,0.124895,0.124895,0.5484,0.5484,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-04,0.01265558,0.01265558,0.14689892,0.14689892,0.086152,0.086152,0.086152,0.5347,0.5347,720,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-05,0.02333401,0.02333401,0.19235173,0.19235173,0.121309,0.121309,0.121309,0.5712,0.5712,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-06,0.01709064,0.01709064,0.16119205,0.16119205,0.106027,0.106027,0.106027,0.5486,0.5486,720,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-07,0.0154949,0.0154949,0.16130874,0.16130874,0.096057,0.096057,0.096057,0.543,0.543,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-08,0.02038071,0.02038071,0.13625052,0.13625052,0.149583,0.149583,0.149583,0.5659,0.5659,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-09,0.01573062,0.01573062,0.14084923,0.14084923,0.111684,0.111684,0.111684,0.5431,0.5431,720,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-10,0.01513803,0.01513803,0.11334448,0.11334448,0.133558,0.133558,0.133558,0.5565,0.5565,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-11,0.01453015,0.01453015,0.10663962,0.10663962,0.136255,0.136255,0.136255,0.5472,0.5472,720,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-12,0.01866259,0.01866259,0.09762861,0.09762861,0.191159,0.191159,0.191159,0.5833,0.5833,744,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2026-01,0.01592589,0.01592589,0.09880378,0.09880378,0.161187,0.161187,0.161187,0.5632,0.5632,744,COMPUTED
