factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
mom_72h,momentum,positive,1h,2024-06,0.00872602,0.00872602,0.18099102,0.18099102,0.048212,0.048212,0.048212,0.5224,0.5224,647,COMPUTED
mom_72h,momentum,positive,1h,2024-07,-0.00893209,-0.00893209,0.17856309,0.17856309,-0.050022,-0.050022,-0.050022,0.4919,0.4919,744,COMPUTED
mom_72h,momentum,positive,1h,2024-08,-0.00906536,-0.00906536,0.20915007,0.20915007,-0.043344,-0.043344,-0.043344,0.5,0.5,744,COMPUTED
mom_72h,momentum,positive,1h,2024-09,-0.02644405,-0.02644405,0.15787362,0.15787362,-0.167501,-0.167501,-0.167501,0.4514,0.4514,720,COMPUTED
mom_72h,momentum,positive,1h,2024-10,-0.02976216,-0.02976216,0.18804059,0.18804059,-0.158275,-0.158275,-0.158275,0.4293,0.4293,743,COMPUTED
mom_72h,momentum,positive,1h,2024-11,-0.02043796,-0.02043796,0.19693276,0.19693276,-0.103781,-0.103781,-0.103781,0.4472,0.4472,720,COMPUTED
mom_72h,momentum,positive,1h,2024-12,-0.02319298,-0.02319298,0.1695989,0.1695989,-0.136752,-0.136752,-0.136752,0.4651,0.4651,744,COMPUTED
mom_72h,momentum,positive,1h,2025-01,0.00051693,0.00051693,0.20263437,0.20263437,0.002551,0.002551,0.002551,0.5054,0.5054,744,COMPUTED
mom_72h,momentum,positive,1h,2025-02,-0.01997494,-0.01997494,0.20915254,0.20915254,-0.095504,-0.095504,-0.095504,0.4658,0.4658,672,COMPUTED
mom_72h,momentum,positive,1h,2025-03,-0.02044684,-0.02044684,0.18425616,0.18425616,-0.11097,-0.11097,-0.11097,0.4395,0.4395,744,COMPUTED
mom_72h,momentum,positive,1h,2025-04,-0.01282642,-0.01282642,0.17606158,0.17606158,-0.072852,-0.072852,-0.072852,0.4708,0.4708,720,COMPUTED
mom_72h,momentum,positive,1h,2025-05,-0.01545035,-0.01545035,0.20256136,0.20256136,-0.076275,-0.076275,-0.076275,0.4731,0.4731,744,COMPUTED
mom_72h,momentum,positive,1h,2025-06,-0.02552272,-0.02552272,0.20029061,0.20029061,-0.127428,-0.127428,-0.127428,0.475,0.475,720,COMPUTED
mom_72h,momentum,positive,1h,2025-07,-0.02840418,-0.02840418,0.15924935,0.15924935,-0.178363,-0.178363,-0.178363,0.4382,0.4382,744,COMPUTED
