factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-06,-0.0013718,-0.0013718,0.16922894,0.16922894,-0.008106,-0.008106,-0.008106,0.4957,0.4957,700,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-07,-0.01779404,-0.01779404,0.16770035,0.16770035,-0.106106,-0.106106,-0.106106,0.4395,0.4395,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-08,-0.03054245,-0.03054245,0.18844887,0.18844887,-0.162073,-0.162073,-0.162073,0.4462,0.4462,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-09,-0.03252034,-0.03252034,0.17141749,0.17141749,-0.189714,-0.189714,-0.189714,0.4375,0.4375,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-10,-0.04171963,-0.04171963,0.18400867,0.18400867,-0.226726,-0.226726,-0.226726,0.4051,0.4051,743,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-11,-0.03269376,-0.03269376,0.18078765,0.18078765,-0.180841,-0.180841,-0.180841,0.4222,0.4222,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2024-12,-0.04648202,-0.04648202,0.17212513,0.17212513,-0.270048,-0.270048,-0.270048,0.3884,0.3884,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-01,-0.00734693,-0.00734693,0.19817842,0.19817842,-0.037072,-0.037072,-0.037072,0.4731,0.4731,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-02,-0.00796334,-0.00796334,0.20899229,0.20899229,-0.038103,-0.038103,-0.038103,0.5015,0.5015,672,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-03,-0.02027074,-0.02027074,0.17037751,0.17037751,-0.118975,-0.118975,-0.118975,0.4651,0.4651,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-04,-0.03236665,-0.03236665,0.16348807,0.16348807,-0.197976,-0.197976,-0.197976,0.4083,0.4083,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-05,-0.01804455,-0.01804455,0.1987154,0.1987154,-0.090806,-0.090806,-0.090806,0.4798,0.4798,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-06,-0.02913964,-0.02913964,0.1801569,0.1801569,-0.161746,-0.161746,-0.161746,0.4375,0.4375,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-07,-0.03617967,-0.03617967,0.17183244,0.17183244,-0.210552,-0.210552,-0.210552,0.4099,0.4099,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-08,-0.0293865,-0.0293865,0.16206536,0.16206536,-0.181325,-0.181325,-0.181325,0.4126,0.4126,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-09,-0.02581476,-0.02581476,0.14595264,0.14595264,-0.176871,-0.176871,-0.176871,0.4306,0.4306,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-10,-0.03311799,-0.03311799,0.13393906,0.13393906,-0.247262,-0.247262,-0.247262,0.4032,0.4032,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-11,-0.02888485,-0.02888485,0.12541738,0.12541738,-0.23031,-0.23031,-0.23031,0.3958,0.3958,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2025-12,-0.03465572,-0.03465572,0.11963011,0.11963011,-0.289691,-0.289691,-0.289691,0.375,0.375,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2026-01,-0.0305865,-0.0305865,0.1369027,0.1369027,-0.223418,-0.223418,-0.223418,0.4086,0.4086,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2026-02,-0.02181837,-0.02181837,0.12210494,0.12210494,-0.178685,-0.178685,-0.178685,0.4256,0.4256,672,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2026-03,-0.01971562,-0.01971562,0.109539,0.109539,-0.179987,-0.179987,-0.179987,0.4435,0.4435,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2026-04,-0.02161099,-0.02161099,0.11684408,0.11684408,-0.184956,-0.184956,-0.184956,0.4194,0.4194,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2026-05,-0.03019798,-0.03019798,0.11751182,0.11751182,-0.256978,-0.256978,-0.256978,0.379,0.379,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2026-06,-0.02849348,-0.02849348,0.11860877,0.11860877,-0.240231,-0.240231,-0.240231,0.4028,0.4028,288,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-06,-0.00173333,-0.00173333,0.16901989,0.16901989,-0.010255,-0.010255,-0.010255,0.5143,0.5143,700,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-07,-0.03162868,-0.03162868,0.18658158,0.18658158,-0.169517,-0.169517,-0.169517,0.4113,0.4113,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-08,-0.03727446,-0.03727446,0.1983581,0.1983581,-0.187915,-0.187915,-0.187915,0.4274,0.4274,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-09,-0.01091633,-0.01091633,0.16935864,0.16935864,-0.064457,-0.064457,-0.064457,0.4958,0.4958,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-10,-0.04135555,-0.04135555,0.18280084,0.18280084,-0.226233,-0.226233,-0.226233,0.4099,0.4099,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-11,-0.02418986,-0.02418986,0.19264902,0.19264902,-0.125564,-0.125564,-0.125564,0.4708,0.4708,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2024-12,-0.03681616,-0.03681616,0.16868633,0.16868633,-0.218252,-0.218252,-0.218252,0.3978,0.3978,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-01,-0.00788362,-0.00788362,0.20040262,0.20040262,-0.039339,-0.039339,-0.039339,0.4866,0.4866,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-02,-0.0032053,-0.0032053,0.21281587,0.21281587,-0.015061,-0.015061,-0.015061,0.4985,0.4985,672,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-03,-0.02687068,-0.02687068,0.17507287,0.17507287,-0.153483,-0.153483,-0.153483,0.4476,0.4476,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-04,-0.02951609,-0.02951609,0.16045244,0.16045244,-0.183955,-0.183955,-0.183955,0.4319,0.4319,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-05,-0.01458739,-0.01458739,0.19883477,0.19883477,-0.073364,-0.073364,-0.073364,0.4866,0.4866,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-06,-0.04527101,-0.04527101,0.18205155,0.18205155,-0.248671,-0.248671,-0.248671,0.4264,0.4264,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-07,-0.03307312,-0.03307312,0.17167052,0.17167052,-0.192655,-0.192655,-0.192655,0.4234,0.4234,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-08,-0.01846119,-0.01846119,0.15080163,0.15080163,-0.12242,-0.12242,-0.12242,0.4691,0.4691,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-09,-0.0248195,-0.0248195,0.14076161,0.14076161,-0.176323,-0.176323,-0.176323,0.4194,0.4194,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-10,-0.04136855,-0.04136855,0.13462209,0.13462209,-0.307294,-0.307294,-0.307294,0.379,0.379,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-11,-0.03131668,-0.03131668,0.12451736,0.12451736,-0.251505,-0.251505,-0.251505,0.3972,0.3972,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2025-12,-0.04551473,-0.04551473,0.1146988,0.1146988,-0.39682,-0.39682,-0.39682,0.3347,0.3347,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2026-01,-0.02255372,-0.02255372,0.13433102,0.13433102,-0.167897,-0.167897,-0.167897,0.4019,0.4019,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2026-02,-0.02732134,-0.02732134,0.13315068,0.13315068,-0.205191,-0.205191,-0.205191,0.3929,0.3929,672,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2026-03,-0.02879472,-0.02879472,0.12276424,0.12276424,-0.234553,-0.234553,-0.234553,0.4301,0.4301,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2026-04,-0.02938187,-0.02938187,0.11471271,0.11471271,-0.256134,-0.256134,-0.256134,0.3764,0.3764,720,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2026-05,-0.04083017,-0.04083017,0.11696888,0.11696888,-0.349069,-0.349069,-0.349069,0.3535,0.3535,744,COMPUTED
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2026-06,-0.01758164,-0.01758164,0.1133775,0.1133775,-0.155072,-0.155072,-0.155072,0.4596,0.4596,285,COMPUTED
