factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
wq101_alpha6,wq101,conditional,1h,2024-06,0.00763827,0.00763827,0.12216137,0.12216137,0.062526,0.062526,0.062526,0.5211,0.5211,710,COMPUTED
wq101_alpha6,wq101,conditional,1h,2024-07,9.74e-06,9.74e-06,0.12317329,0.12317329,7.9e-05,7.9e-05,7.9e-05,0.5242,0.5242,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2024-08,0.01618306,0.01618306,0.13168179,0.13168179,0.122895,0.122895,0.122895,0.5484,0.5484,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2024-09,0.01282581,0.01282581,0.11731526,0.11731526,0.109328,0.109328,0.109328,0.5431,0.5431,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2024-10,0.01809468,0.01809468,0.12546316,0.12546316,0.144223,0.144223,0.144223,0.572,0.572,743,COMPUTED
wq101_alpha6,wq101,conditional,1h,2024-11,0.00844533,0.00844533,0.12280746,0.12280746,0.068769,0.068769,0.068769,0.5292,0.5292,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2024-12,0.01480647,0.01480647,0.12142082,0.12142082,0.121943,0.121943,0.121943,0.5403,0.5403,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-01,0.0075271,0.0075271,0.11841212,0.11841212,0.063567,0.063567,0.063567,0.5188,0.5188,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-02,0.00190657,0.00190657,0.12554658,0.12554658,0.015186,0.015186,0.015186,0.5179,0.5179,672,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-03,0.01053703,0.01053703,0.11937154,0.11937154,0.088271,0.088271,0.088271,0.5403,0.5403,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-04,0.00787658,0.00787658,0.11406672,0.11406672,0.069052,0.069052,0.069052,0.5431,0.5431,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-05,0.00935303,0.00935303,0.11488578,0.11488578,0.081412,0.081412,0.081412,0.539,0.539,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-06,0.01041522,0.01041522,0.10336772,0.10336772,0.100759,0.100759,0.100759,0.525,0.525,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-07,0.00260393,0.00260393,0.11070424,0.11070424,0.023521,0.023521,0.023521,0.5094,0.5094,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-08,0.01188054,0.01188054,0.11000542,0.11000542,0.108,0.108,0.108,0.5417,0.5417,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-09,0.01624621,0.01624621,0.10305522,0.10305522,0.157646,0.157646,0.157646,0.575,0.575,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-10,0.01078913,0.01078913,0.09312019,0.09312019,0.115862,0.115862,0.115862,0.5565,0.5565,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-11,0.01376058,0.01376058,0.09205539,0.09205539,0.149482,0.149482,0.149482,0.5556,0.5556,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2025-12,0.01274549,0.01274549,0.09460109,0.09460109,0.134729,0.134729,0.134729,0.543,0.543,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2026-01,0.0095258,0.0095258,0.09920843,0.09920843,0.096018,0.096018,0.096018,0.5551,0.5551,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2026-02,0.003856,0.003856,0.09695272,0.09695272,0.039772,0.039772,0.039772,0.5134,0.5134,672,COMPUTED
wq101_alpha6,wq101,conditional,1h,2026-03,0.00636862,0.00636862,0.08522303,0.08522303,0.074729,0.074729,0.074729,0.5121,0.5121,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2026-04,0.00859275,0.00859275,0.0909738,0.0909738,0.094453,0.094453,0.094453,0.5444,0.5444,720,COMPUTED
wq101_alpha6,wq101,conditional,1h,2026-05,0.00481595,0.00481595,0.08503186,0.08503186,0.056637,0.056637,0.056637,0.5228,0.5228,744,COMPUTED
wq101_alpha6,wq101,conditional,1h,2026-06,0.00131598,0.00131598,0.09588882,0.09588882,0.013724,0.013724,0.013724,0.5243,0.5243,288,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-06,0.00880644,0.00880644,0.11579097,0.11579097,0.076055,0.076055,0.076055,0.5352,0.5352,710,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-07,0.00018059,0.00018059,0.1310744,0.1310744,0.001378,0.001378,0.001378,0.5094,0.5094,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-08,0.02028894,0.02028894,0.1336678,0.1336678,0.151786,0.151786,0.151786,0.5565,0.5565,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-09,0.01271631,0.01271631,0.12291314,0.12291314,0.103458,0.103458,0.103458,0.5417,0.5417,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-10,0.02414107,0.02414107,0.12588433,0.12588433,0.191772,0.191772,0.191772,0.5833,0.5833,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-11,0.00401862,0.00401862,0.12447497,0.12447497,0.032285,0.032285,0.032285,0.5028,0.5028,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2024-12,0.01547586,0.01547586,0.11839243,0.11839243,0.130717,0.130717,0.130717,0.5726,0.5726,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-01,0.01057681,0.01057681,0.12233303,0.12233303,0.086459,0.086459,0.086459,0.5228,0.5228,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-02,0.00596424,0.00596424,0.1218141,0.1218141,0.048962,0.048962,0.048962,0.5208,0.5208,672,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-03,0.02302715,0.02302715,0.11565742,0.11565742,0.199098,0.199098,0.199098,0.5887,0.5887,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-04,0.01471752,0.01471752,0.10982157,0.10982157,0.134013,0.134013,0.134013,0.5556,0.5556,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-05,0.0152158,0.0152158,0.11533373,0.11533373,0.131928,0.131928,0.131928,0.5712,0.5712,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-06,0.016683,0.016683,0.1025144,0.1025144,0.162738,0.162738,0.162738,0.5722,0.5722,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-07,0.00646694,0.00646694,0.11332774,0.11332774,0.057064,0.057064,0.057064,0.5161,0.5161,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-08,0.02158683,0.02158683,0.11192314,0.11192314,0.192872,0.192872,0.192872,0.6035,0.6035,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-09,0.0236824,0.0236824,0.10758176,0.10758176,0.220134,0.220134,0.220134,0.5722,0.5722,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-10,0.02083397,0.02083397,0.09394584,0.09394584,0.221766,0.221766,0.221766,0.5659,0.5659,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-11,0.03712435,0.03712435,0.10278762,0.10278762,0.361175,0.361175,0.361175,0.6111,0.6111,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2025-12,0.02708552,0.02708552,0.0953943,0.0953943,0.283932,0.283932,0.283932,0.6048,0.6048,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2026-01,0.01437204,0.01437204,0.10145032,0.10145032,0.141666,0.141666,0.141666,0.5739,0.5739,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2026-02,0.0153827,0.0153827,0.09903383,0.09903383,0.155328,0.155328,0.155328,0.5863,0.5863,672,COMPUTED
wq101_alpha6,wq101,conditional,4h,2026-03,0.01792553,0.01792553,0.0887367,0.0887367,0.202008,0.202008,0.202008,0.6022,0.6022,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2026-04,0.01524346,0.01524346,0.08889861,0.08889861,0.17147,0.17147,0.17147,0.5597,0.5597,720,COMPUTED
wq101_alpha6,wq101,conditional,4h,2026-05,0.01091387,0.01091387,0.08306124,0.08306124,0.131395,0.131395,0.131395,0.5618,0.5618,744,COMPUTED
wq101_alpha6,wq101,conditional,4h,2026-06,-0.00567672,-0.00567672,0.09183795,0.09183795,-0.061812,-0.061812,-0.061812,0.4667,0.4667,285,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-06,0.01501219,0.01501219,0.11693982,0.11693982,0.128375,0.128375,0.128375,0.5479,0.5479,710,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-07,0.02924465,0.02924465,0.12475961,0.12475961,0.234408,0.234408,0.234408,0.5874,0.5874,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-08,0.02675993,0.02675993,0.13408913,0.13408913,0.199568,0.199568,0.199568,0.5793,0.5793,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-09,0.01337718,0.01337718,0.11805917,0.11805917,0.113309,0.113309,0.113309,0.5486,0.5486,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-10,0.02082248,0.02082248,0.13000452,0.13000452,0.160167,0.160167,0.160167,0.5551,0.5551,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-11,0.0043691,0.0043691,0.14262611,0.14262611,0.030633,0.030633,0.030633,0.5375,0.5375,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2024-12,0.00997192,0.00997192,0.12250121,0.12250121,0.081403,0.081403,0.081403,0.5497,0.5497,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-01,0.01326348,0.01326348,0.11852177,0.11852177,0.111908,0.111908,0.111908,0.5538,0.5538,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-02,0.00556996,0.00556996,0.12383395,0.12383395,0.044979,0.044979,0.044979,0.5089,0.5089,672,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-03,0.02430554,0.02430554,0.11425122,0.11425122,0.212738,0.212738,0.212738,0.5874,0.5874,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-04,0.01710431,0.01710431,0.10668304,0.10668304,0.160328,0.160328,0.160328,0.5528,0.5528,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-05,0.03883704,0.03883704,0.11645114,0.11645114,0.333505,0.333505,0.333505,0.6142,0.6142,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-06,0.03278382,0.03278382,0.10617502,0.10617502,0.308772,0.308772,0.308772,0.6208,0.6208,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-07,0.0097203,0.0097203,0.10659371,0.10659371,0.09119,0.09119,0.09119,0.5444,0.5444,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-08,0.04889487,0.04889487,0.11287716,0.11287716,0.433169,0.433169,0.433169,0.668,0.668,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-09,0.03720995,0.03720995,0.10086861,0.10086861,0.368895,0.368895,0.368895,0.6431,0.6431,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-10,0.03381916,0.03381916,0.10053775,0.10053775,0.336383,0.336383,0.336383,0.6546,0.6546,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-11,0.04581972,0.04581972,0.09409472,0.09409472,0.486953,0.486953,0.486953,0.6819,0.6819,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2025-12,0.03415056,0.03415056,0.09004894,0.09004894,0.379244,0.379244,0.379244,0.6371,0.6371,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2026-01,0.0234042,0.0234042,0.09851688,0.09851688,0.237565,0.237565,0.237565,0.5793,0.5793,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2026-02,0.0200885,0.0200885,0.10923559,0.10923559,0.183901,0.183901,0.183901,0.5893,0.5893,672,COMPUTED
wq101_alpha6,wq101,conditional,24h,2026-03,0.01645377,0.01645377,0.09105425,0.09105425,0.180703,0.180703,0.180703,0.5914,0.5914,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2026-04,0.02810204,0.02810204,0.09062426,0.09062426,0.310094,0.310094,0.310094,0.6097,0.6097,720,COMPUTED
wq101_alpha6,wq101,conditional,24h,2026-05,0.02221853,0.02221853,0.08517873,0.08517873,0.260846,0.260846,0.260846,0.5927,0.5927,744,COMPUTED
wq101_alpha6,wq101,conditional,24h,2026-06,-0.00516019,-0.00516019,0.08689643,0.08689643,-0.059383,-0.059383,-0.059383,0.5132,0.5132,265,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-06,0.02354736,0.02354736,0.11155242,0.11155242,0.211088,0.211088,0.211088,0.5634,0.5634,710,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-07,0.03141048,0.03141048,0.117411,0.117411,0.267526,0.267526,0.267526,0.5927,0.5927,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-08,0.0333534,0.0333534,0.12418672,0.12418672,0.268575,0.268575,0.268575,0.578,0.578,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-09,-0.00116009,-0.00116009,0.11753304,0.11753304,-0.00987,-0.00987,-0.00987,0.525,0.525,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-10,0.02346905,0.02346905,0.12121407,0.12121407,0.193617,0.193617,0.193617,0.578,0.578,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-11,-0.01197353,-0.01197353,0.13500021,0.13500021,-0.088693,-0.088693,-0.088693,0.5014,0.5014,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2024-12,0.00478237,0.00478237,0.12352603,0.12352603,0.038716,0.038716,0.038716,0.5027,0.5027,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-01,0.02578706,0.02578706,0.12034851,0.12034851,0.21427,0.21427,0.21427,0.5927,0.5927,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-02,0.017856,0.017856,0.1178621,0.1178621,0.151499,0.151499,0.151499,0.5744,0.5744,672,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-03,0.02447363,0.02447363,0.11156856,0.11156856,0.21936,0.21936,0.21936,0.6196,0.6196,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-04,0.01614075,0.01614075,0.10230412,0.10230412,0.157772,0.157772,0.157772,0.5681,0.5681,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-05,0.0365515,0.0365515,0.11908602,0.11908602,0.306934,0.306934,0.306934,0.6411,0.6411,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-06,0.02957751,0.02957751,0.11364541,0.11364541,0.260261,0.260261,0.260261,0.5792,0.5792,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-07,0.0106562,0.0106562,0.10999068,0.10999068,0.096883,0.096883,0.096883,0.5444,0.5444,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-08,0.03267908,0.03267908,0.1054682,0.1054682,0.309848,0.309848,0.309848,0.6102,0.6102,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-09,0.02960052,0.02960052,0.10074728,0.10074728,0.29381,0.29381,0.29381,0.6028,0.6028,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-10,0.01196765,0.01196765,0.09399355,0.09399355,0.127324,0.127324,0.127324,0.5403,0.5403,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-11,0.04307734,0.04307734,0.09661941,0.09661941,0.445846,0.445846,0.445846,0.6639,0.6639,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2025-12,0.03271389,0.03271389,0.08643854,0.08643854,0.378464,0.378464,0.378464,0.6398,0.6398,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2026-01,0.02901414,0.02901414,0.0949982,0.0949982,0.305418,0.305418,0.305418,0.6169,0.6169,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2026-02,0.01549248,0.01549248,0.10180153,0.10180153,0.152183,0.152183,0.152183,0.5595,0.5595,672,COMPUTED
wq101_alpha6,wq101,conditional,72h,2026-03,0.01870869,0.01870869,0.0880453,0.0880453,0.212489,0.212489,0.212489,0.5484,0.5484,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2026-04,0.02444076,0.02444076,0.07836144,0.07836144,0.311898,0.311898,0.311898,0.5944,0.5944,720,COMPUTED
wq101_alpha6,wq101,conditional,72h,2026-05,0.0260452,0.0260452,0.07685516,0.07685516,0.338887,0.338887,0.338887,0.6478,0.6478,744,COMPUTED
wq101_alpha6,wq101,conditional,72h,2026-06,-0.00016526,-0.00016526,0.07509817,0.07509817,-0.002201,-0.002201,-0.002201,0.5161,0.5161,217,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-06,0.00185513,0.00185513,0.11883222,0.11883222,0.015611,0.015611,0.015611,0.4944,0.4944,714,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-07,0.01649743,0.01649743,0.12273325,0.12273325,0.134417,0.134417,0.134417,0.5685,0.5685,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-08,0.00644121,0.00644121,0.1293248,0.1293248,0.049806,0.049806,0.049806,0.5202,0.5202,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-09,0.01795994,0.01795994,0.12293892,0.12293892,0.146088,0.146088,0.146088,0.5681,0.5681,720,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-10,0.01112165,0.01112165,0.13031869,0.13031869,0.085342,0.085342,0.085342,0.5431,0.5431,742,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-11,0.01088928,0.01088928,0.14360717,0.14360717,0.075827,0.075827,0.075827,0.5472,0.5472,720,COMPUTED
wq101_alpha9,wq101,conditional,1h,2024-12,0.01895275,0.01895275,0.13586112,0.13586112,0.139501,0.139501,0.139501,0.5605,0.5605,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-01,0.02275228,0.02275228,0.13721834,0.13721834,0.165811,0.165811,0.165811,0.5672,0.5672,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-02,0.00781327,0.00781327,0.14286734,0.14286734,0.054689,0.054689,0.054689,0.5045,0.5045,672,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-03,0.01594359,0.01594359,0.13430248,0.13430248,0.118714,0.118714,0.118714,0.5685,0.5685,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-04,0.02067394,0.02067394,0.11479555,0.11479555,0.180094,0.180094,0.180094,0.5792,0.5792,720,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-05,0.02012982,0.02012982,0.12301726,0.12301726,0.163634,0.163634,0.163634,0.5605,0.5605,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-06,0.01184654,0.01184654,0.10628952,0.10628952,0.111455,0.111455,0.111455,0.5444,0.5444,720,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-07,0.01333058,0.01333058,0.1080548,0.1080548,0.123369,0.123369,0.123369,0.5591,0.5591,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-08,0.01969409,0.01969409,0.10073734,0.10073734,0.195499,0.195499,0.195499,0.582,0.582,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-09,0.01426066,0.01426066,0.10089122,0.10089122,0.141347,0.141347,0.141347,0.5431,0.5431,720,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-10,0.02082588,0.02082588,0.08424281,0.08424281,0.247213,0.247213,0.247213,0.621,0.621,744,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-11,0.01872573,0.01872573,0.08931758,0.08931758,0.209653,0.209653,0.209653,0.5681,0.5681,720,COMPUTED
wq101_alpha9,wq101,conditional,1h,2025-12,0.01700055,0.01700055,0.08620847,0.08620847,0.197203,0.197203,0.197203,0.578,0.578,744,COMPUTED
