factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
wq101_alpha25,wq101,conditional,1h,2024-06,0.0070472,0.0070472,0.12146124,0.12146124,0.05802,0.05802,0.05802,0.5371,0.5371,700,COMPUTED
wq101_alpha25,wq101,conditional,1h,2024-07,0.01899614,0.01899614,0.12643857,0.12643857,0.15024,0.15024,0.15024,0.5591,0.5591,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2024-08,0.01524636,0.01524636,0.12860915,0.12860915,0.118548,0.118548,0.118548,0.5417,0.5417,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2024-09,0.02735279,0.02735279,0.11592375,0.11592375,0.235955,0.235955,0.235955,0.5819,0.5819,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2024-10,0.02094888,0.02094888,0.12155064,0.12155064,0.172347,0.172347,0.172347,0.5836,0.5836,742,COMPUTED
wq101_alpha25,wq101,conditional,1h,2024-11,0.01745805,0.01745805,0.14241992,0.14241992,0.122582,0.122582,0.122582,0.5542,0.5542,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2024-12,0.02064418,0.02064418,0.14921275,0.14921275,0.138354,0.138354,0.138354,0.5403,0.5403,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-01,0.02438696,0.02438696,0.14213429,0.14213429,0.171577,0.171577,0.171577,0.5672,0.5672,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-02,0.013806,0.013806,0.14671505,0.14671505,0.094101,0.094101,0.094101,0.5208,0.5208,672,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-03,0.02365396,0.02365396,0.14482941,0.14482941,0.163323,0.163323,0.163323,0.5699,0.5699,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-04,0.019822,0.019822,0.12540839,0.12540839,0.15806,0.15806,0.15806,0.5931,0.5931,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-05,0.02326511,0.02326511,0.12429609,0.12429609,0.187175,0.187175,0.187175,0.5914,0.5914,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-06,0.01459977,0.01459977,0.11451912,0.11451912,0.127488,0.127488,0.127488,0.5639,0.5639,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-07,0.01524386,0.01524386,0.11732847,0.11732847,0.129925,0.129925,0.129925,0.5538,0.5538,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-08,0.02183417,0.02183417,0.11248166,0.11248166,0.194113,0.194113,0.194113,0.5914,0.5914,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-09,0.01549494,0.01549494,0.10416833,0.10416833,0.148749,0.148749,0.148749,0.55,0.55,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-10,0.02233263,0.02233263,0.09175857,0.09175857,0.243385,0.243385,0.243385,0.6116,0.6116,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-11,0.02038163,0.02038163,0.10044562,0.10044562,0.202912,0.202912,0.202912,0.5639,0.5639,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2025-12,0.01812122,0.01812122,0.09484997,0.09484997,0.191051,0.191051,0.191051,0.5887,0.5887,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2026-01,0.02554968,0.02554968,0.10040422,0.10040422,0.254468,0.254468,0.254468,0.6048,0.6048,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2026-02,0.01700713,0.01700713,0.1025144,0.1025144,0.1659,0.1659,0.1659,0.5714,0.5714,672,COMPUTED
wq101_alpha25,wq101,conditional,1h,2026-03,0.013113,0.013113,0.09741779,0.09741779,0.134606,0.134606,0.134606,0.5551,0.5551,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2026-04,0.02143912,0.02143912,0.09604457,0.09604457,0.223221,0.223221,0.223221,0.5875,0.5875,720,COMPUTED
wq101_alpha25,wq101,conditional,1h,2026-05,0.02739287,0.02739287,0.09700905,0.09700905,0.282374,0.282374,0.282374,0.6048,0.6048,744,COMPUTED
wq101_alpha25,wq101,conditional,1h,2026-06,0.03081679,0.03081679,0.10265832,0.10265832,0.300188,0.300188,0.300188,0.6354,0.6354,288,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-06,0.01592637,0.01592637,0.12373208,0.12373208,0.128717,0.128717,0.128717,0.5471,0.5471,700,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-07,0.01197026,0.01197026,0.13287581,0.13287581,0.090086,0.090086,0.090086,0.5524,0.5524,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-08,0.02385499,0.02385499,0.12935413,0.12935413,0.184416,0.184416,0.184416,0.5699,0.5699,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-09,0.01733472,0.01733472,0.12325925,0.12325925,0.140636,0.140636,0.140636,0.5542,0.5542,720,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-10,0.01851135,0.01851135,0.12260293,0.12260293,0.150986,0.150986,0.150986,0.5559,0.5559,743,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-11,0.01942196,0.01942196,0.14041082,0.14041082,0.138322,0.138322,0.138322,0.5528,0.5528,720,COMPUTED
wq101_alpha25,wq101,conditional,4h,2024-12,0.02671474,0.02671474,0.15705507,0.15705507,0.170098,0.170098,0.170098,0.5739,0.5739,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-01,0.01316868,0.01316868,0.13994225,0.13994225,0.094101,0.094101,0.094101,0.547,0.547,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-02,0.01121216,0.01121216,0.14944645,0.14944645,0.075025,0.075025,0.075025,0.5283,0.5283,672,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-03,0.02089178,0.02089178,0.13913082,0.13913082,0.150159,0.150159,0.150159,0.543,0.543,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-04,0.01086851,0.01086851,0.12489405,0.12489405,0.087022,0.087022,0.087022,0.5444,0.5444,720,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-05,0.00424459,0.00424459,0.12786883,0.12786883,0.033195,0.033195,0.033195,0.4812,0.4812,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-06,0.01629571,0.01629571,0.11460392,0.11460392,0.142192,0.142192,0.142192,0.5486,0.5486,720,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-07,0.02278255,0.02278255,0.11718836,0.11718836,0.19441,0.19441,0.19441,0.5672,0.5672,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-08,0.02607935,0.02607935,0.11076183,0.11076183,0.235454,0.235454,0.235454,0.6048,0.6048,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-09,0.01917357,0.01917357,0.10294205,0.10294205,0.186256,0.186256,0.186256,0.5542,0.5542,720,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-10,0.01132991,0.01132991,0.09977151,0.09977151,0.113559,0.113559,0.113559,0.547,0.547,744,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-11,0.01234499,0.01234499,0.10431106,0.10431106,0.118348,0.118348,0.118348,0.5417,0.5417,720,COMPUTED
wq101_alpha25,wq101,conditional,4h,2025-12,0.02329363,0.02329363,0.09957941,0.09957941,0.23392,0.23392,0.23392,0.6142,0.6142,744,COMPUTED
