factor_name,category,expected_direction,horizon,period,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,status
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-06,0.00459082,0.00459082,0.12972757,0.12972757,0.035388,0.035388,0.035388,0.521,0.521,689,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-07,-0.00024822,-0.00024822,0.1303742,0.1303742,-0.001904,-0.001904,-0.001904,0.4866,0.4866,744,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-08,-0.00580588,-0.00580588,0.13475155,0.13475155,-0.043086,-0.043086,-0.043086,0.4772,0.4772,744,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-09,-0.0074234,-0.0074234,0.10612295,0.10612295,-0.069951,-0.069951,-0.069951,0.4847,0.4847,720,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-10,-0.01641727,-0.01641727,0.11375157,0.11375157,-0.144326,-0.144326,-0.144326,0.4266,0.4266,743,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-11,0.00321731,0.00321731,0.14777722,0.14777722,0.021771,0.021771,0.021771,0.5111,0.5111,720,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2024-12,-0.01952685,-0.01952685,0.13222156,0.13222156,-0.147683,-0.147683,-0.147683,0.4382,0.4382,744,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2025-01,0.01130582,0.01130582,0.14351363,0.14351363,0.078779,0.078779,0.078779,0.5323,0.5323,744,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2025-02,0.00579301,0.00579301,0.12538937,0.12538937,0.0462,0.0462,0.0462,0.5327,0.5327,672,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2025-03,4.704e-05,4.704e-05,0.12279662,0.12279662,0.000383,0.000383,0.000383,0.5013,0.5013,744,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2025-04,-0.00827328,-0.00827328,0.102716,0.102716,-0.080545,-0.080545,-0.080545,0.4764,0.4764,720,COMPUTED
q158_cntp_30h,alpha158_rolling_direction,positive,1h,2025-05,-0.01064235,-0.01064235,0.11043297,0.11043297,-0.096369,-0.096369,-0.096369,0.4651,0.4651,744,COMPUTED
