factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,LONG_SHORT,Long-Short,0.00017001,,608,,COMPUTED,0.00017001,-0.00031313,-0.00048314,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,LONG_SHORT,Long-Short,4.584e-05,,744,,COMPUTED,4.584e-05,2.825e-05,-1.759e-05,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,LONG_SHORT,Long-Short,-2.93e-06,,744,,COMPUTED,-2.93e-06,-0.00011469,-0.00011176,False
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,LONG_SHORT,Long-Short,-0.00010019,,720,,COMPUTED,-0.00010019,0.00018734,0.00028753,False
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,LONG_SHORT,Long-Short,-3.799e-05,,744,,COMPUTED,-3.799e-05,-5.346e-05,-1.547e-05,False
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,LONG_SHORT,Long-Short,-0.00031175,,720,,COMPUTED,-0.00031175,0.00067767,0.00098942,False
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,LONG_SHORT,Long-Short,0.00012928,,744,,COMPUTED,0.00012928,-6.349e-05,-0.00019276,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,LONG_SHORT,Long-Short,0.00033015,,744,,COMPUTED,0.00033015,-4.625e-05,-0.00037639,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,LONG_SHORT,Long-Short,1.16e-06,,672,,COMPUTED,1.16e-06,-0.00036071,-0.00036187,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-03,LONG_SHORT,Long-Short,0.00021575,,744,,COMPUTED,0.00021575,-0.00017514,-0.00039089,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-04,LONG_SHORT,Long-Short,-0.00023795,,720,,COMPUTED,-0.00023795,0.00015605,0.000394,False
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-05,LONG_SHORT,Long-Short,2.462e-05,,744,,COMPUTED,2.462e-05,0.00010186,7.724e-05,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-06,LONG_SHORT,Long-Short,3.15e-05,,720,,COMPUTED,3.15e-05,-5.923e-05,-9.073e-05,True
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-07,LONG_SHORT,Long-Short,-4.087e-05,,744,,COMPUTED,-4.087e-05,0.00024333,0.0002842,False
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-08,LONG_SHORT,Long-Short,-2.334e-05,,744,,COMPUTED,-2.334e-05,0.0001292,0.00015254,False
