factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-06,LONG_SHORT,Long-Short,0.00020444,,700,,COMPUTED,0.00020444,-0.00024056,-0.000445,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-07,LONG_SHORT,Long-Short,-4.871e-05,,744,,COMPUTED,-4.871e-05,-3.651e-05,1.22e-05,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-08,LONG_SHORT,Long-Short,-5.591e-05,,744,,COMPUTED,-5.591e-05,-0.00019331,-0.0001374,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-09,LONG_SHORT,Long-Short,-4.924e-05,,720,,COMPUTED,-4.924e-05,0.00020585,0.00025509,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-10,LONG_SHORT,Long-Short,-0.00015739,,744,,COMPUTED,-0.00015739,-0.0001004,5.699e-05,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-11,LONG_SHORT,Long-Short,0.00020158,,720,,COMPUTED,0.00020158,0.00094702,0.00074544,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-12,LONG_SHORT,Long-Short,-0.00019045,,744,,COMPUTED,-0.00019045,-0.0001577,3.275e-05,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-01,LONG_SHORT,Long-Short,0.00014454,,744,,COMPUTED,0.00014454,-0.00018036,-0.0003249,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-02,LONG_SHORT,Long-Short,0.00035406,,672,,COMPUTED,0.00035406,-0.00015973,-0.00051379,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-03,LONG_SHORT,Long-Short,-0.00027441,,744,,COMPUTED,-0.00027441,-0.00046436,-0.00018994,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-04,LONG_SHORT,Long-Short,-2.8e-06,,720,,COMPUTED,-2.8e-06,0.0002176,0.00022041,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-05,LONG_SHORT,Long-Short,-4.044e-05,,744,,COMPUTED,-4.044e-05,8.677e-05,0.00012721,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-06,LONG_SHORT,Long-Short,-6.237e-05,,720,,COMPUTED,-6.237e-05,-0.00013281,-7.044e-05,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-07,LONG_SHORT,Long-Short,0.00020712,,744,,COMPUTED,0.00020712,0.0003571,0.00014998,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-08,LONG_SHORT,Long-Short,0.00031766,,744,,COMPUTED,0.00031766,0.00035395,3.628e-05,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-09,LONG_SHORT,Long-Short,0.00028917,,720,,COMPUTED,0.00028917,0.0002843,-4.87e-06,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-10,LONG_SHORT,Long-Short,0.00015563,,744,,COMPUTED,0.00015563,1.347e-05,-0.00014217,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-11,LONG_SHORT,Long-Short,0.00035668,,720,,COMPUTED,0.00035668,4.229e-05,-0.00031438,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2025-12,LONG_SHORT,Long-Short,8.052e-05,,744,,COMPUTED,8.052e-05,5.235e-05,-2.817e-05,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2026-01,LONG_SHORT,Long-Short,0.00025047,,744,,COMPUTED,0.00025047,3.518e-05,-0.00021529,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2026-02,LONG_SHORT,Long-Short,5.655e-05,,672,,COMPUTED,5.655e-05,-4.844e-05,-0.00010499,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2026-03,LONG_SHORT,Long-Short,1.95e-05,,744,,COMPUTED,1.95e-05,-3.45e-06,-2.295e-05,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2026-04,LONG_SHORT,Long-Short,7.59e-05,,720,,COMPUTED,7.59e-05,0.00038945,0.00031355,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2026-05,LONG_SHORT,Long-Short,-7.674e-05,,744,,COMPUTED,-7.674e-05,5.727e-05,0.00013401,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2026-06,LONG_SHORT,Long-Short,0.0004333,,288,,COMPUTED,0.0004333,-0.00013857,-0.00057187,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-06,LONG_SHORT,Long-Short,0.00087798,,700,,COMPUTED,0.00087798,-0.00096964,-0.00184762,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-07,LONG_SHORT,Long-Short,-0.00022621,,744,,COMPUTED,-0.00022621,-0.00027025,-4.404e-05,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-08,LONG_SHORT,Long-Short,-0.00019463,,744,,COMPUTED,-0.00019463,-0.0007897,-0.00059507,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-09,LONG_SHORT,Long-Short,7.493e-05,,720,,COMPUTED,7.493e-05,0.0012007,0.00112576,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-10,LONG_SHORT,Long-Short,-0.00044129,,744,,COMPUTED,-0.00044129,-0.00032007,0.00012122,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-11,LONG_SHORT,Long-Short,0.00097139,,720,,COMPUTED,0.00097139,0.00362552,0.00265413,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2024-12,LONG_SHORT,Long-Short,-0.00019622,,744,,COMPUTED,-0.00019622,-0.00033083,-0.00013461,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-01,LONG_SHORT,Long-Short,0.0005031,,744,,COMPUTED,0.0005031,-0.00062858,-0.00113167,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-02,LONG_SHORT,Long-Short,0.00144144,,672,,COMPUTED,0.00144144,-0.00067835,-0.00211979,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-03,LONG_SHORT,Long-Short,-0.00092589,,744,,COMPUTED,-0.00092589,-0.0016742,-0.00074831,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-04,LONG_SHORT,Long-Short,0.00029449,,720,,COMPUTED,0.00029449,0.00085782,0.00056333,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-05,LONG_SHORT,Long-Short,2.141e-05,,744,,COMPUTED,2.141e-05,0.00030602,0.00028462,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-06,LONG_SHORT,Long-Short,-0.00042278,,720,,COMPUTED,-0.00042278,-0.00071496,-0.00029219,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-07,LONG_SHORT,Long-Short,0.00065045,,744,,COMPUTED,0.00065045,0.00118841,0.00053796,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-08,LONG_SHORT,Long-Short,0.00138009,,744,,COMPUTED,0.00138009,0.00150024,0.00012015,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-09,LONG_SHORT,Long-Short,0.00085523,,720,,COMPUTED,0.00085523,0.00097743,0.0001222,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-10,LONG_SHORT,Long-Short,0.00076131,,744,,COMPUTED,0.00076131,0.00037076,-0.00039055,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-11,LONG_SHORT,Long-Short,0.00122543,,720,,COMPUTED,0.00122543,-0.00015697,-0.00138241,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2025-12,LONG_SHORT,Long-Short,-0.00012098,,744,,COMPUTED,-0.00012098,5.32e-06,0.00012629,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2026-01,LONG_SHORT,Long-Short,0.00091754,,744,,COMPUTED,0.00091754,0.00014811,-0.00076944,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2026-02,LONG_SHORT,Long-Short,-0.00018037,,672,,COMPUTED,-0.00018037,-0.00033867,-0.0001583,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2026-03,LONG_SHORT,Long-Short,-0.00014383,,744,,COMPUTED,-0.00014383,-0.0002003,-5.646e-05,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2026-04,LONG_SHORT,Long-Short,0.00021444,,720,,COMPUTED,0.00021444,0.001502,0.00128756,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2026-05,LONG_SHORT,Long-Short,-0.00012735,,744,,COMPUTED,-0.00012735,0.00031849,0.00044584,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2026-06,LONG_SHORT,Long-Short,0.00162242,,285,,COMPUTED,0.00162242,-0.00052631,-0.00214874,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-06,LONG_SHORT,Long-Short,0.00492056,,700,,COMPUTED,0.00492056,-0.00624377,-0.01116433,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-07,LONG_SHORT,Long-Short,0.0009119,,744,,COMPUTED,0.0009119,-0.0015821,-0.002494,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-08,LONG_SHORT,Long-Short,-0.00081953,,744,,COMPUTED,-0.00081953,-0.00427301,-0.00345348,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-09,LONG_SHORT,Long-Short,-0.00052886,,720,,COMPUTED,-0.00052886,0.00696614,0.007495,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-10,LONG_SHORT,Long-Short,-0.00404628,,744,,COMPUTED,-0.00404628,-0.00320784,0.00083845,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-11,LONG_SHORT,Long-Short,0.00874147,,720,,COMPUTED,0.00874147,0.02372953,0.01498807,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2024-12,LONG_SHORT,Long-Short,0.0005155,,744,,COMPUTED,0.0005155,-0.002439,-0.0029545,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-01,LONG_SHORT,Long-Short,0.00454044,,744,,COMPUTED,0.00454044,-0.00544734,-0.00998778,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-02,LONG_SHORT,Long-Short,0.00786242,,672,,COMPUTED,0.00786242,-0.00403446,-0.01189688,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-03,LONG_SHORT,Long-Short,-0.00085314,,744,,COMPUTED,-0.00085314,-0.00678167,-0.00592853,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-04,LONG_SHORT,Long-Short,-0.0014466,,720,,COMPUTED,-0.0014466,0.00455682,0.00600343,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-05,LONG_SHORT,Long-Short,-0.00392466,,744,,COMPUTED,-0.00392466,-0.00203403,0.00189063,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-06,LONG_SHORT,Long-Short,-0.00052525,,720,,COMPUTED,-0.00052525,-0.00456821,-0.00404296,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-07,LONG_SHORT,Long-Short,-0.00021373,,744,,COMPUTED,-0.00021373,0.00610676,0.00632049,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-08,LONG_SHORT,Long-Short,0.00488934,,744,,COMPUTED,0.00488934,0.00706189,0.00217255,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-09,LONG_SHORT,Long-Short,0.00489385,,720,,COMPUTED,0.00489385,0.00719548,0.00230163,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-10,LONG_SHORT,Long-Short,0.00326313,,744,,COMPUTED,0.00326313,-0.00039162,-0.00365475,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-11,LONG_SHORT,Long-Short,0.00152046,,720,,COMPUTED,0.00152046,-0.00472843,-0.00624888,True
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2025-12,LONG_SHORT,Long-Short,-0.00271703,,744,,COMPUTED,-0.00271703,0.000373,0.00309002,False
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2026-01,LONG_SHORT,Long-Short,0.00483932,,744,,COMPUTED,0.00483932,-0.00010726,-0.00494658,True
