factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
wq101_alpha6,wq101,conditional,1h,2024-06,LONG_SHORT,Long-Short,-2.75e-05,,710,,DIRECTION_UNKNOWN,-2.75e-05,-0.00030223,-0.00027473,False
wq101_alpha6,wq101,conditional,1h,2024-07,LONG_SHORT,Long-Short,-0.00024553,,744,,DIRECTION_UNKNOWN,-0.00024553,-0.00010742,0.00013812,False
wq101_alpha6,wq101,conditional,1h,2024-08,LONG_SHORT,Long-Short,0.00018471,,744,,DIRECTION_UNKNOWN,0.00018471,-5.678e-05,-0.00024149,True
wq101_alpha6,wq101,conditional,1h,2024-09,LONG_SHORT,Long-Short,-1.192e-05,,720,,DIRECTION_UNKNOWN,-1.192e-05,0.00027746,0.00028938,False
wq101_alpha6,wq101,conditional,1h,2024-10,LONG_SHORT,Long-Short,7.425e-05,,744,,DIRECTION_UNKNOWN,7.425e-05,-3e-08,-7.428e-05,True
wq101_alpha6,wq101,conditional,1h,2024-11,LONG_SHORT,Long-Short,-0.00030403,,720,,DIRECTION_UNKNOWN,-0.00030403,0.00070722,0.00101125,False
wq101_alpha6,wq101,conditional,1h,2024-12,LONG_SHORT,Long-Short,8.376e-05,,744,,DIRECTION_UNKNOWN,8.376e-05,-0.00014941,-0.00023317,True
wq101_alpha6,wq101,conditional,1h,2025-01,LONG_SHORT,Long-Short,-3.55e-05,,744,,DIRECTION_UNKNOWN,-3.55e-05,-0.00028755,-0.00025205,False
wq101_alpha6,wq101,conditional,1h,2025-02,LONG_SHORT,Long-Short,-0.00024521,,672,,DIRECTION_UNKNOWN,-0.00024521,-0.00042505,-0.00017984,False
wq101_alpha6,wq101,conditional,1h,2025-03,LONG_SHORT,Long-Short,0.00016036,,744,,DIRECTION_UNKNOWN,0.00016036,-0.00022106,-0.00038142,True
wq101_alpha6,wq101,conditional,1h,2025-04,LONG_SHORT,Long-Short,0.00015698,,720,,DIRECTION_UNKNOWN,0.00015698,0.00034862,0.00019165,True
wq101_alpha6,wq101,conditional,1h,2025-05,LONG_SHORT,Long-Short,5.109e-05,,744,,DIRECTION_UNKNOWN,5.109e-05,6.595e-05,1.486e-05,True
wq101_alpha6,wq101,conditional,1h,2025-06,LONG_SHORT,Long-Short,0.00015569,,720,,DIRECTION_UNKNOWN,0.00015569,2.581e-05,-0.00012988,True
wq101_alpha6,wq101,conditional,1h,2025-07,LONG_SHORT,Long-Short,-0.00010492,,744,,DIRECTION_UNKNOWN,-0.00010492,0.00022625,0.00033116,False
wq101_alpha6,wq101,conditional,1h,2025-08,LONG_SHORT,Long-Short,4.829e-05,,744,,DIRECTION_UNKNOWN,4.829e-05,0.00019649,0.00014819,True
wq101_alpha6,wq101,conditional,1h,2025-09,LONG_SHORT,Long-Short,-0.00011787,,720,,DIRECTION_UNKNOWN,-0.00011787,-3.812e-05,7.974e-05,False
wq101_alpha6,wq101,conditional,1h,2025-10,LONG_SHORT,Long-Short,-0.00020202,,744,,DIRECTION_UNKNOWN,-0.00020202,-7.726e-05,0.00012477,False
wq101_alpha6,wq101,conditional,1h,2025-11,LONG_SHORT,Long-Short,2.064e-05,,720,,DIRECTION_UNKNOWN,2.064e-05,-0.00026508,-0.00028572,True
wq101_alpha6,wq101,conditional,1h,2025-12,LONG_SHORT,Long-Short,0.00014647,,744,,DIRECTION_UNKNOWN,0.00014647,-4.275e-05,-0.00018922,True
wq101_alpha6,wq101,conditional,1h,2026-01,LONG_SHORT,Long-Short,-3.063e-05,,744,,DIRECTION_UNKNOWN,-3.063e-05,-0.00012289,-9.226e-05,False
wq101_alpha6,wq101,conditional,1h,2026-02,LONG_SHORT,Long-Short,-0.00013566,,672,,DIRECTION_UNKNOWN,-0.00013566,-0.00015913,-2.347e-05,False
wq101_alpha6,wq101,conditional,1h,2026-03,LONG_SHORT,Long-Short,-2.924e-05,,744,,DIRECTION_UNKNOWN,-2.924e-05,6.21e-06,3.545e-05,False
wq101_alpha6,wq101,conditional,1h,2026-04,LONG_SHORT,Long-Short,3.465e-05,,720,,DIRECTION_UNKNOWN,3.465e-05,0.0003832,0.00034855,True
wq101_alpha6,wq101,conditional,1h,2026-05,LONG_SHORT,Long-Short,-7.271e-05,,744,,DIRECTION_UNKNOWN,-7.271e-05,0.00011368,0.00018638,False
wq101_alpha6,wq101,conditional,1h,2026-06,LONG_SHORT,Long-Short,-0.00061122,,288,,DIRECTION_UNKNOWN,-0.00061122,-0.00051629,9.493e-05,False
wq101_alpha6,wq101,conditional,4h,2024-06,LONG_SHORT,Long-Short,-0.00036634,,710,,DIRECTION_UNKNOWN,-0.00036634,-0.00136386,-0.00099753,False
wq101_alpha6,wq101,conditional,4h,2024-07,LONG_SHORT,Long-Short,-0.00062832,,744,,DIRECTION_UNKNOWN,-0.00062832,-0.00032525,0.00030307,False
wq101_alpha6,wq101,conditional,4h,2024-08,LONG_SHORT,Long-Short,0.00068032,,744,,DIRECTION_UNKNOWN,0.00068032,-0.00042853,-0.00110885,True
wq101_alpha6,wq101,conditional,4h,2024-09,LONG_SHORT,Long-Short,-9.886e-05,,720,,DIRECTION_UNKNOWN,-9.886e-05,0.00120066,0.00129953,False
wq101_alpha6,wq101,conditional,4h,2024-10,LONG_SHORT,Long-Short,0.00019981,,744,,DIRECTION_UNKNOWN,0.00019981,-0.00023172,-0.00043153,True
wq101_alpha6,wq101,conditional,4h,2024-11,LONG_SHORT,Long-Short,-0.00120342,,720,,DIRECTION_UNKNOWN,-0.00120342,0.00287301,0.00407643,False
wq101_alpha6,wq101,conditional,4h,2024-12,LONG_SHORT,Long-Short,2.867e-05,,744,,DIRECTION_UNKNOWN,2.867e-05,-0.00054257,-0.00057124,True
wq101_alpha6,wq101,conditional,4h,2025-01,LONG_SHORT,Long-Short,-0.0001357,,744,,DIRECTION_UNKNOWN,-0.0001357,-0.00112834,-0.00099263,False
wq101_alpha6,wq101,conditional,4h,2025-02,LONG_SHORT,Long-Short,-0.0001614,,672,,DIRECTION_UNKNOWN,-0.0001614,-0.00149583,-0.00133443,False
wq101_alpha6,wq101,conditional,4h,2025-03,LONG_SHORT,Long-Short,0.00041689,,744,,DIRECTION_UNKNOWN,0.00041689,-0.00113717,-0.00155405,True
wq101_alpha6,wq101,conditional,4h,2025-04,LONG_SHORT,Long-Short,0.00019393,,720,,DIRECTION_UNKNOWN,0.00019393,0.00109807,0.00090415,True
wq101_alpha6,wq101,conditional,4h,2025-05,LONG_SHORT,Long-Short,0.00037729,,744,,DIRECTION_UNKNOWN,0.00037729,0.00038911,1.182e-05,True
wq101_alpha6,wq101,conditional,4h,2025-06,LONG_SHORT,Long-Short,0.00056475,,720,,DIRECTION_UNKNOWN,0.00056475,-0.00020323,-0.00076798,True
wq101_alpha6,wq101,conditional,4h,2025-07,LONG_SHORT,Long-Short,-0.00042007,,744,,DIRECTION_UNKNOWN,-0.00042007,0.0008838,0.00130386,False
wq101_alpha6,wq101,conditional,4h,2025-08,LONG_SHORT,Long-Short,0.00036326,,744,,DIRECTION_UNKNOWN,0.00036326,0.00082268,0.00045942,True
wq101_alpha6,wq101,conditional,4h,2025-09,LONG_SHORT,Long-Short,-0.00041832,,720,,DIRECTION_UNKNOWN,-0.00041832,0.0001754,0.00059372,False
