factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
wq101_alpha1,wq101,conditional,1h,2024-06,LONG_SHORT,Long-Short,-0.00014815,,701,,DIRECTION_UNKNOWN,-0.00014815,-0.00043566,-0.00027023,False
wq101_alpha1,wq101,conditional,1h,2024-07,LONG_SHORT,Long-Short,4.96e-05,,744,,DIRECTION_UNKNOWN,4.96e-05,-2.725e-05,-7.685e-05,True
wq101_alpha1,wq101,conditional,1h,2024-08,LONG_SHORT,Long-Short,1.296e-05,,744,,DIRECTION_UNKNOWN,1.296e-05,-0.00013273,-0.00014568,True
wq101_alpha1,wq101,conditional,1h,2024-09,LONG_SHORT,Long-Short,8.37e-05,,720,,DIRECTION_UNKNOWN,8.37e-05,0.00030156,0.00021786,True
wq101_alpha1,wq101,conditional,1h,2024-10,LONG_SHORT,Long-Short,7.317e-05,,744,,DIRECTION_UNKNOWN,7.317e-05,1.641e-05,-5.676e-05,True
wq101_alpha1,wq101,conditional,1h,2024-11,LONG_SHORT,Long-Short,-0.00010774,,720,,DIRECTION_UNKNOWN,-0.00010774,0.000793,0.00090073,False
wq101_alpha1,wq101,conditional,1h,2024-12,LONG_SHORT,Long-Short,0.00056525,,744,,DIRECTION_UNKNOWN,0.00056525,0.00018871,-0.00037654,True
wq101_alpha1,wq101,conditional,1h,2025-01,LONG_SHORT,Long-Short,0.00020073,,744,,DIRECTION_UNKNOWN,0.00020073,-0.00020123,-0.00040197,True
wq101_alpha1,wq101,conditional,1h,2025-02,LONG_SHORT,Long-Short,2.35e-05,,672,,DIRECTION_UNKNOWN,2.35e-05,-0.00036525,-0.00038875,True
wq101_alpha1,wq101,conditional,1h,2025-03,LONG_SHORT,Long-Short,-0.00015189,,744,,DIRECTION_UNKNOWN,-0.00015189,-0.00042521,-0.00027333,False
wq101_alpha1,wq101,conditional,1h,2025-04,LONG_SHORT,Long-Short,9.903e-05,,720,,DIRECTION_UNKNOWN,9.903e-05,0.00036172,0.00026269,True
wq101_alpha1,wq101,conditional,1h,2025-05,LONG_SHORT,Long-Short,-0.00018095,,744,,DIRECTION_UNKNOWN,-0.00018095,-3.095e-05,0.00015,False
