factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-06,LONG_SHORT,Long-Short,-0.00012041,,710,,DIRECTION_UNKNOWN,-0.00012041,-0.00037074,-0.00025033,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-07,LONG_SHORT,Long-Short,-7.885e-05,,744,,DIRECTION_UNKNOWN,-7.885e-05,-0.00014175,-6.29e-05,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-08,LONG_SHORT,Long-Short,0.00028384,,744,,DIRECTION_UNKNOWN,0.00028384,-6.278e-05,-0.00034662,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-09,LONG_SHORT,Long-Short,9.715e-05,,720,,DIRECTION_UNKNOWN,9.715e-05,0.0003098,0.00021265,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-10,LONG_SHORT,Long-Short,0.00026063,,744,,DIRECTION_UNKNOWN,0.00026063,0.00019326,-6.737e-05,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-11,LONG_SHORT,Long-Short,-4.463e-05,,720,,DIRECTION_UNKNOWN,-4.463e-05,0.00079523,0.00083986,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2024-12,LONG_SHORT,Long-Short,0.00046322,,744,,DIRECTION_UNKNOWN,0.00046322,0.00015353,-0.00030969,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-01,LONG_SHORT,Long-Short,-0.00024916,,744,,DIRECTION_UNKNOWN,-0.00024916,-0.00042923,-0.00018007,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-02,LONG_SHORT,Long-Short,-0.00037562,,672,,DIRECTION_UNKNOWN,-0.00037562,-0.00057716,-0.00020154,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-03,LONG_SHORT,Long-Short,8.565e-05,,744,,DIRECTION_UNKNOWN,8.565e-05,-0.00028341,-0.00036906,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-04,LONG_SHORT,Long-Short,0.00054624,,720,,DIRECTION_UNKNOWN,0.00054624,0.00051498,-3.126e-05,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-05,LONG_SHORT,Long-Short,-0.00018061,,744,,DIRECTION_UNKNOWN,-0.00018061,5.555e-05,0.00023616,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-06,LONG_SHORT,Long-Short,0.00021244,,720,,DIRECTION_UNKNOWN,0.00021244,-5.145e-05,-0.00026389,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-07,LONG_SHORT,Long-Short,-0.00012162,,744,,DIRECTION_UNKNOWN,-0.00012162,0.00025129,0.00037291,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-08,LONG_SHORT,Long-Short,2.243e-05,,744,,DIRECTION_UNKNOWN,2.243e-05,0.00022712,0.00020469,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-09,LONG_SHORT,Long-Short,-0.00024487,,720,,DIRECTION_UNKNOWN,-0.00024487,0.00015076,0.00039563,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-10,LONG_SHORT,Long-Short,-0.00023707,,744,,DIRECTION_UNKNOWN,-0.00023707,-5.339e-05,0.00018368,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-11,LONG_SHORT,Long-Short,-0.00018426,,720,,DIRECTION_UNKNOWN,-0.00018426,-0.00020913,-2.487e-05,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2025-12,LONG_SHORT,Long-Short,3.258e-05,,744,,DIRECTION_UNKNOWN,3.258e-05,4.922e-05,1.664e-05,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2026-01,LONG_SHORT,Long-Short,0.00026142,,744,,DIRECTION_UNKNOWN,0.00026142,5.625e-05,-0.00020517,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2026-02,LONG_SHORT,Long-Short,-0.00040283,,672,,DIRECTION_UNKNOWN,-0.00040283,-0.00027909,0.00012375,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2026-03,LONG_SHORT,Long-Short,-0.00019308,,744,,DIRECTION_UNKNOWN,-0.00019308,-7.361e-05,0.00011948,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2026-04,LONG_SHORT,Long-Short,-0.00015292,,720,,DIRECTION_UNKNOWN,-0.00015292,0.00042397,0.00057689,False
q158_ma_10h,alpha158_rolling_price,conditional,1h,2026-05,LONG_SHORT,Long-Short,0.00023069,,744,,DIRECTION_UNKNOWN,0.00023069,0.00028076,5.007e-05,True
q158_ma_10h,alpha158_rolling_price,conditional,1h,2026-06,LONG_SHORT,Long-Short,0.00021056,,288,,DIRECTION_UNKNOWN,0.00021056,-0.00018075,-0.0003913,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-06,LONG_SHORT,Long-Short,-0.00063595,,710,,DIRECTION_UNKNOWN,-0.00063595,-0.0015923,-0.00095635,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-07,LONG_SHORT,Long-Short,0.00035521,,744,,DIRECTION_UNKNOWN,0.00035521,-8.607e-05,-0.00044128,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-08,LONG_SHORT,Long-Short,0.00101853,,744,,DIRECTION_UNKNOWN,0.00101853,-0.00032106,-0.00133959,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-09,LONG_SHORT,Long-Short,-0.00038772,,720,,DIRECTION_UNKNOWN,-0.00038772,0.00122255,0.00161028,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-10,LONG_SHORT,Long-Short,0.00065411,,744,,DIRECTION_UNKNOWN,0.00065411,0.00027807,-0.00037604,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-11,LONG_SHORT,Long-Short,-4.01e-05,,720,,DIRECTION_UNKNOWN,-4.01e-05,0.00339305,0.00343316,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2024-12,LONG_SHORT,Long-Short,0.00031263,,744,,DIRECTION_UNKNOWN,0.00031263,-8.551e-05,-0.00039814,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-01,LONG_SHORT,Long-Short,-0.00070725,,744,,DIRECTION_UNKNOWN,-0.00070725,-0.00157505,-0.0008678,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-02,LONG_SHORT,Long-Short,-0.00149476,,672,,DIRECTION_UNKNOWN,-0.00149476,-0.00225832,-0.00076356,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-03,LONG_SHORT,Long-Short,0.00042778,,744,,DIRECTION_UNKNOWN,0.00042778,-0.00104569,-0.00147348,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-04,LONG_SHORT,Long-Short,0.00083878,,720,,DIRECTION_UNKNOWN,0.00083878,0.00139734,0.00055856,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-05,LONG_SHORT,Long-Short,-0.00130955,,744,,DIRECTION_UNKNOWN,-0.00130955,-0.00027433,0.00103521,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-06,LONG_SHORT,Long-Short,0.00105456,,720,,DIRECTION_UNKNOWN,0.00105456,-0.00012296,-0.00117752,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-07,LONG_SHORT,Long-Short,-0.00075396,,744,,DIRECTION_UNKNOWN,-0.00075396,0.0006834,0.00143736,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-08,LONG_SHORT,Long-Short,-0.00033711,,744,,DIRECTION_UNKNOWN,-0.00033711,0.00068733,0.00102444,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-09,LONG_SHORT,Long-Short,-0.00071853,,720,,DIRECTION_UNKNOWN,-0.00071853,0.00052359,0.00124212,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-10,LONG_SHORT,Long-Short,-0.00113569,,744,,DIRECTION_UNKNOWN,-0.00113569,-0.00016324,0.00097245,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-11,LONG_SHORT,Long-Short,-0.00053618,,720,,DIRECTION_UNKNOWN,-0.00053618,-0.00110362,-0.00056744,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2025-12,LONG_SHORT,Long-Short,0.00056065,,744,,DIRECTION_UNKNOWN,0.00056065,0.00043931,-0.00012134,True
q158_ma_10h,alpha158_rolling_price,conditional,4h,2026-01,LONG_SHORT,Long-Short,-0.00020894,,744,,DIRECTION_UNKNOWN,-0.00020894,-0.00045114,-0.0002422,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2026-02,LONG_SHORT,Long-Short,-0.00103616,,672,,DIRECTION_UNKNOWN,-0.00103616,-0.00074846,0.0002877,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2026-03,LONG_SHORT,Long-Short,-8.039e-05,,744,,DIRECTION_UNKNOWN,-8.039e-05,-6.156e-05,1.883e-05,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2026-04,LONG_SHORT,Long-Short,-0.00050603,,720,,DIRECTION_UNKNOWN,-0.00050603,0.00155749,0.00206353,False
q158_ma_10h,alpha158_rolling_price,conditional,4h,2026-05,LONG_SHORT,Long-Short,0.00024767,,744,,DIRECTION_UNKNOWN,0.00024767,0.00074861,0.00050093,True
