factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,0,Q1,-0.00048314,-0.0003863,608,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,1,Q2,-0.00062562,-0.00064169,608,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,2,Q3,-0.0005926,-0.00055491,608,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,3,Q4,-0.00048779,-0.00041213,608,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-06,4,Q5,-0.00031313,-0.00013721,608,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,0,Q1,-1.759e-05,0.00015064,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,1,Q2,-8.182e-05,-3.24e-06,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,2,Q3,-0.00010428,-2.705e-05,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,3,Q4,-4.481e-05,0.00027171,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-07,4,Q5,2.825e-05,0.00022145,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,0,Q1,-0.00011176,0.0003664,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,1,Q2,-0.00024921,0.00015534,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,2,Q3,-0.00025978,0.00013696,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,3,Q4,-0.00011441,0.00011989,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-08,4,Q5,-0.00011469,0.00021568,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,0,Q1,0.00028753,0.00065458,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,1,Q2,0.00038269,0.00068823,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,2,Q3,0.00037549,0.00071209,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,3,Q4,0.00027779,0.00034801,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-09,4,Q5,0.00018734,0.00040633,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,0,Q1,-1.547e-05,0.00038306,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,1,Q2,1.3e-07,0.00050438,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,2,Q3,-9.555e-05,0.00031422,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,3,Q4,-1.269e-05,6.887e-05,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-10,4,Q5,-5.346e-05,5.93e-05,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,0,Q1,0.00098942,0.00172859,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,1,Q2,0.00083304,0.00154116,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,2,Q3,0.00067088,0.00130178,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,3,Q4,0.00080224,0.00099187,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-11,4,Q5,0.00067767,0.00092914,720,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,0,Q1,-0.00019276,0.000565,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,1,Q2,-2.035e-05,0.00070834,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,2,Q3,-0.00020946,0.00049931,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,3,Q4,-0.00015583,0.00037349,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2024-12,4,Q5,-6.349e-05,0.00044954,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,0,Q1,-0.00037639,0.00027717,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,1,Q2,-0.00036493,0.00026471,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,2,Q3,-0.0001695,0.00021161,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,3,Q4,-0.00018419,0.00010995,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-01,4,Q5,-4.625e-05,0.00013523,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,0,Q1,-0.00036187,-0.00046746,672,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,1,Q2,-0.00040438,-0.00023045,672,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,2,Q3,-0.00044254,-0.00061934,672,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,3,Q4,-0.00041715,-0.00045391,672,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-02,4,Q5,-0.00036071,-0.00025371,672,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-03,0,Q1,-0.00039089,-2.67e-06,744,,COMPUTED
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,1h,2025-03,1,Q2,-0.00029941,7.515e-05,744,,COMPUTED
