factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-06,0,Q1,-0.000445,-0.0003592,700,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-06,1,Q2,-0.00041377,-0.00012169,700,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-06,2,Q3,-0.00043421,-0.00039881,700,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-06,3,Q4,-0.00033202,-0.00020981,700,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-06,4,Q5,-0.00024056,-0.00028048,700,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-07,0,Q1,1.22e-05,-0.00012417,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-07,1,Q2,-6.657e-05,-0.00012917,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-07,2,Q3,-2.785e-05,-4.561e-05,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-07,3,Q4,-0.00010101,0.00011525,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-07,4,Q5,-3.651e-05,8.192e-05,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-08,0,Q1,-0.0001374,0.00028026,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-08,1,Q2,-9.453e-05,0.00040204,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-08,2,Q3,-0.0001642,0.00023899,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-08,3,Q4,-0.00027597,-9.112e-05,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-08,4,Q5,-0.00019331,2.975e-05,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-09,0,Q1,0.00025509,0.00042768,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-09,1,Q2,0.0003224,0.00058795,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-09,2,Q3,0.00033674,0.000877,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-09,3,Q4,0.00037298,0.00060599,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-09,4,Q5,0.00020585,0.00067747,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-10,0,Q1,5.699e-05,0.00024207,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-10,1,Q2,-6.63e-06,0.00031372,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-10,2,Q3,-2.888e-05,0.00043647,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-10,3,Q4,-0.00011245,0.00020784,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-10,4,Q5,-0.0001004,0.00014206,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-11,0,Q1,0.00074544,0.00116797,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-11,1,Q2,0.0006047,0.00101533,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-11,2,Q3,0.00075901,0.00114322,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-11,3,Q4,0.0008842,0.00149105,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-11,4,Q5,0.00094702,0.00181453,720,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-12,0,Q1,3.275e-05,0.00066329,744,,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2024-12,1,Q2,-0.00010634,0.00074545,744,,COMPUTED
