factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
rev_2h,reversal,positive,1h,2024-06,0,Q1,-0.00023291,-5.485e-05,717,,COMPUTED
rev_2h,reversal,positive,1h,2024-06,1,Q2,-0.00035841,-0.00026391,717,,COMPUTED
rev_2h,reversal,positive,1h,2024-06,2,Q3,-0.00037012,-0.00041809,717,,COMPUTED
rev_2h,reversal,positive,1h,2024-06,3,Q4,-0.00043978,-0.00020539,717,,COMPUTED
rev_2h,reversal,positive,1h,2024-06,4,Q5,-0.00031378,-0.0002833,717,,COMPUTED
rev_2h,reversal,positive,1h,2024-07,0,Q1,0.00023731,0.00030466,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-07,1,Q2,-6.862e-05,0.00011332,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-07,2,Q3,1.236e-05,3.557e-05,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-07,3,Q4,-7.081e-05,-4.3e-06,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-07,4,Q5,-0.00034204,-0.0002273,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-08,0,Q1,-0.0001017,0.00015122,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-08,1,Q2,-0.00021278,1.582e-05,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-08,2,Q3,-0.00010203,0.00024572,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-08,3,Q4,-0.00033632,0.00014692,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-08,4,Q5,-0.00010943,9.13e-05,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-09,0,Q1,9.226e-05,0.00040688,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-09,1,Q2,0.00032654,0.00083378,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-09,2,Q3,0.00029811,0.00077303,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-09,3,Q4,0.00038698,0.00076797,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-09,4,Q5,0.00036681,0.00033106,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-10,0,Q1,-7.607e-05,0.00029335,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-10,1,Q2,-0.00013161,0.00018863,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-10,2,Q3,-0.00013418,8.774e-05,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-10,3,Q4,-2.101e-05,0.00022553,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-10,4,Q5,0.00019461,0.00066186,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-11,0,Q1,0.00078708,0.0013159,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-11,1,Q2,0.0007476,0.00125507,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-11,2,Q3,0.00081884,0.00134034,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-11,3,Q4,0.00085579,0.00151335,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-11,4,Q5,0.00072494,0.00156496,720,,COMPUTED
rev_2h,reversal,positive,1h,2024-12,0,Q1,-0.00059049,0.00023459,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-12,1,Q2,-0.00024228,0.0004928,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-12,2,Q3,-0.00012418,0.00039285,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-12,3,Q4,1.045e-05,0.00092951,744,,COMPUTED
rev_2h,reversal,positive,1h,2024-12,4,Q5,0.00028089,0.00060172,744,,COMPUTED
rev_2h,reversal,positive,1h,2025-01,0,Q1,-0.00033141,6.27e-05,744,,COMPUTED
rev_2h,reversal,positive,1h,2025-01,1,Q2,-0.0001689,0.0002417,744,,COMPUTED
rev_2h,reversal,positive,1h,2025-01,2,Q3,-8.571e-05,0.00021854,744,,COMPUTED
rev_2h,reversal,positive,1h,2025-01,3,Q4,-9.784e-05,7.451e-05,744,,COMPUTED
rev_2h,reversal,positive,1h,2025-01,4,Q5,-0.00047185,0.00019506,744,,COMPUTED
