factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
wq101_alpha23,wq101,conditional,1h,2024-06,0,Q1,-0.00034066,-0.00029023,700,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-06,1,Q2,-0.00038513,-0.00027665,700,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-06,2,Q3,-0.00046245,-0.00033613,700,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-06,3,Q4,-0.00036077,-0.00035978,700,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-06,4,Q5,-0.00031974,-0.00023632,700,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-07,0,Q1,-3.965e-05,7.066e-05,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-07,1,Q2,-1.51e-06,0.00039488,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-07,2,Q3,6.483e-05,-0.0001334,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-07,3,Q4,-6.617e-05,0.00013514,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-07,4,Q5,-0.00017952,-4.955e-05,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-08,0,Q1,-0.00012663,0.00018772,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-08,1,Q2,-0.00012959,0.00022817,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-08,2,Q3,-0.00021976,0.00014232,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-08,3,Q4,-0.00011461,0.00038158,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-08,4,Q5,-0.00028517,0.00011682,744,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-09,0,Q1,0.00021684,0.00056436,720,,DIRECTION_UNKNOWN
wq101_alpha23,wq101,conditional,1h,2024-09,1,Q2,0.00027335,0.00047896,720,,DIRECTION_UNKNOWN
