factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
wq101_alpha34,wq101,conditional,1h,2024-06,0,Q1,-0.00037952,-0.00044832,714,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-06,1,Q2,-0.00029015,-0.00012155,714,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-06,2,Q3,-0.00034787,-0.00033839,714,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-06,3,Q4,-0.00037718,-0.00035769,714,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-06,4,Q5,-0.00033669,-0.00028621,714,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-07,0,Q1,-7.202e-05,-0.00019718,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-07,1,Q2,-7.578e-05,-1.817e-05,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-07,2,Q3,-6.47e-06,6.46e-05,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-07,3,Q4,1.83e-05,-9.646e-05,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-07,4,Q5,-8.552e-05,0.00010536,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-08,0,Q1,-0.00017969,0.00019554,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-08,1,Q2,-0.00011222,0.00031647,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-08,2,Q3,-0.00018122,0.00015228,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-08,3,Q4,-0.00023933,0.00020044,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-08,4,Q5,-0.0001562,0.00028349,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-09,0,Q1,0.00019649,0.00049727,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-09,1,Q2,0.0003509,0.00062518,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-09,2,Q3,0.00025395,0.00055152,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-09,3,Q4,0.00040818,0.0006063,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-09,4,Q5,0.00026929,0.00051426,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-10,0,Q1,-5.603e-05,7.729e-05,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-10,1,Q2,-5.935e-05,0.00013672,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-10,2,Q3,-4.165e-05,0.00017519,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-10,3,Q4,-2.717e-05,0.00045918,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-10,4,Q5,1.603e-05,0.00025286,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-11,0,Q1,0.00094377,0.00130539,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-11,1,Q2,0.00079551,0.00138892,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-11,2,Q3,0.00063994,0.00116325,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-11,3,Q4,0.00077344,0.00132082,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-11,4,Q5,0.00079421,0.00101501,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-12,0,Q1,-0.00012577,0.00073729,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-12,1,Q2,-0.00024249,0.00043647,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-12,2,Q3,-0.00024868,6.848e-05,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-12,3,Q4,-0.00015496,0.00057811,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2024-12,4,Q5,0.0001038,0.0007325,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-01,0,Q1,-0.00039233,7.461e-05,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-01,1,Q2,-0.00034341,-0.00016883,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-01,2,Q3,-0.00025606,-0.0002105,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-01,3,Q4,-8.721e-05,0.00014751,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-01,4,Q5,-8.258e-05,0.00048434,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-02,0,Q1,-0.00056884,-0.00022752,672,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-02,1,Q2,-0.00039905,-0.0003598,672,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-02,2,Q3,-0.00043366,-6.99e-05,672,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-02,3,Q4,-0.00024913,-0.00026008,672,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-02,4,Q5,-0.00034276,-0.00055419,672,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-03,0,Q1,-0.00035863,0.00012441,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-03,1,Q2,-0.00033774,0.00011532,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-03,2,Q3,-0.00028887,0.00020115,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-03,3,Q4,-0.00033998,0.00027505,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-03,4,Q5,-0.00019803,0.00024599,744,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-04,0,Q1,0.00019466,0.00033163,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-04,1,Q2,0.00012409,0.00021057,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-04,2,Q3,0.00015424,0.00032962,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-04,3,Q4,0.00039214,0.00056899,720,,DIRECTION_UNKNOWN
wq101_alpha34,wq101,conditional,1h,2025-04,4,Q5,0.00045278,0.0003241,720,,DIRECTION_UNKNOWN
