factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
q158_open_close_4h,alpha158_price,conditional,1h,2024-06,0,Q1,-0.0002554,-0.00032341,715,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-06,1,Q2,-0.00040447,-7.363e-05,715,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-06,2,Q3,-0.00036006,-0.00025611,715,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-06,3,Q4,-0.00033417,-0.00037417,715,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-06,4,Q5,-0.00037906,-0.00029534,715,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-07,0,Q1,-6.95e-05,9.719e-05,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-07,1,Q2,-2.301e-05,6.117e-05,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-07,2,Q3,-4.08e-06,6.67e-06,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-07,3,Q4,8.89e-06,0.000105,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-07,4,Q5,-0.00013545,0.00015212,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-08,0,Q1,-0.00035298,-2.717e-05,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-08,1,Q2,-5.685e-05,0.0003006,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-08,2,Q3,-0.00011442,0.00012514,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-08,3,Q4,-0.00019943,0.00015508,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-08,4,Q5,-0.00014007,0.00015323,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-09,0,Q1,0.00026281,0.00085188,720,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-09,1,Q2,0.00026508,0.00071813,720,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-09,2,Q3,0.0002686,0.00059516,720,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-09,3,Q4,0.00033815,0.0005062,720,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-09,4,Q5,0.00034876,0.00040138,720,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-10,0,Q1,-5.585e-05,0.00040971,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-10,1,Q2,-0.0001144,0.00017566,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-10,2,Q3,-0.00014753,0.00012544,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-10,3,Q4,-4.806e-05,0.00024127,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-10,4,Q5,0.00019619,0.00060203,744,,DIRECTION_UNKNOWN
q158_open_close_4h,alpha158_price,conditional,1h,2024-11,0,Q1,0.00080675,0.00097078,720,,DIRECTION_UNKNOWN
