factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
mom_20h,momentum,positive,1h,0,Q1,-2.611e-05,0.00019065,3310670,17787,COMPUTED
mom_20h,momentum,positive,1h,1,Q2,-3.173e-05,0.00016548,3310670,17787,COMPUTED
mom_20h,momentum,positive,1h,2,Q3,-4.178e-05,0.0001601,3310670,17787,COMPUTED
mom_20h,momentum,positive,1h,3,Q4,-4.508e-05,0.00013022,3310670,17787,COMPUTED
mom_20h,momentum,positive,1h,4,Q5,7.877e-05,0.00022516,3310670,17787,COMPUTED
mom_20h,momentum,positive,4h,0,Q1,-0.00016719,0.00048011,3309863,17784,COMPUTED
mom_20h,momentum,positive,4h,1,Q2,-0.00014709,0.00050471,3309863,17784,COMPUTED
mom_20h,momentum,positive,4h,2,Q3,-0.00014696,0.00053157,3309863,17784,COMPUTED
mom_20h,momentum,positive,4h,3,Q4,-0.00013793,0.00054816,3309863,17784,COMPUTED
mom_20h,momentum,positive,4h,4,Q5,0.00033388,0.0007308,3309863,17784,COMPUTED
mom_20h,momentum,positive,24h,0,Q1,-0.00019231,0.0003348,3304520,17764,COMPUTED
mom_20h,momentum,positive,24h,1,Q2,-0.00068349,0.00104989,3304520,17764,COMPUTED
mom_20h,momentum,positive,24h,2,Q3,-0.00072328,0.00115836,3304520,17764,COMPUTED
mom_20h,momentum,positive,24h,3,Q4,-0.00075418,0.00116134,3304520,17764,COMPUTED
mom_20h,momentum,positive,24h,4,Q5,0.00101174,0.00112488,3304520,17764,COMPUTED
mom_20h,momentum,positive,72h,0,Q1,-0.00108241,-0.00023706,3291752,17716,COMPUTED
mom_20h,momentum,positive,72h,1,Q2,-0.00232947,-0.00191132,3291752,17716,COMPUTED
mom_20h,momentum,positive,72h,2,Q3,-0.00248911,-0.00111836,3291752,17716,COMPUTED
mom_20h,momentum,positive,72h,3,Q4,-0.00202614,-0.00034701,3291752,17716,COMPUTED
mom_20h,momentum,positive,72h,4,Q5,0.00359417,0.00236859,3291752,17716,COMPUTED
reversal_5h,momentum,positive,1h,0,Q1,2.605e-05,0.00017334,3314660,17802,COMPUTED
reversal_5h,momentum,positive,1h,1,Q2,-5.626e-05,0.0001511,3314660,17802,COMPUTED
reversal_5h,momentum,positive,1h,2,Q3,-5.192e-05,0.0001067,3314660,17802,COMPUTED
reversal_5h,momentum,positive,1h,3,Q4,-1.733e-05,0.00018215,3314660,17802,COMPUTED
reversal_5h,momentum,positive,1h,4,Q5,4.353e-05,0.0002344,3314660,17802,COMPUTED
reversal_5h,momentum,positive,4h,0,Q1,0.00017298,0.00071743,3313853,17799,COMPUTED
reversal_5h,momentum,positive,4h,1,Q2,-0.00014098,0.00051469,3313853,17799,COMPUTED
reversal_5h,momentum,positive,4h,2,Q3,-0.00018394,0.00049785,3313853,17799,COMPUTED
reversal_5h,momentum,positive,4h,3,Q4,-0.0001519,0.00047358,3313853,17799,COMPUTED
reversal_5h,momentum,positive,4h,4,Q5,6.859e-05,0.00050027,3313853,17799,COMPUTED
reversal_5h,momentum,positive,24h,0,Q1,0.00102994,0.0013551,3308510,17779,COMPUTED
reversal_5h,momentum,positive,24h,1,Q2,-0.00074726,0.00112552,3308510,17779,COMPUTED
reversal_5h,momentum,positive,24h,2,Q3,-0.00081476,0.00100551,3308510,17779,COMPUTED
reversal_5h,momentum,positive,24h,3,Q4,-0.00066428,0.00101236,3308510,17779,COMPUTED
reversal_5h,momentum,positive,24h,4,Q5,-1.032e-05,0.00086955,3308510,17779,COMPUTED
reversal_5h,momentum,positive,72h,0,Q1,0.00295789,0.00318052,3295742,17731,COMPUTED
reversal_5h,momentum,positive,72h,1,Q2,-0.00228809,-0.0007011,3295742,17731,COMPUTED
reversal_5h,momentum,positive,72h,2,Q3,-0.00265667,-0.00167822,3295742,17731,COMPUTED
reversal_5h,momentum,positive,72h,3,Q4,-0.00219324,-0.0017661,3295742,17731,COMPUTED
reversal_5h,momentum,positive,72h,4,Q5,0.00011179,0.0006498,3295742,17731,COMPUTED
volatility_20h,volatility,negative,1h,0,Q1,4.909e-05,0.00020889,3310670,17787,COMPUTED
volatility_20h,volatility,negative,1h,1,Q2,-3.55e-05,0.00022973,3310670,17787,COMPUTED
volatility_20h,volatility,negative,1h,2,Q3,-3.446e-05,0.00014822,3310670,17787,COMPUTED
volatility_20h,volatility,negative,1h,3,Q4,-3.674e-05,0.00014575,3310670,17787,COMPUTED
volatility_20h,volatility,negative,1h,4,Q5,-8.88e-06,0.00017118,3310670,17787,COMPUTED
volatility_20h,volatility,negative,4h,0,Q1,0.00019746,0.00068836,3309863,17784,COMPUTED
volatility_20h,volatility,negative,4h,1,Q2,-0.00016005,0.00062089,3309863,17784,COMPUTED
volatility_20h,volatility,negative,4h,2,Q3,-0.00012025,0.00066302,3309863,17784,COMPUTED
volatility_20h,volatility,negative,4h,3,Q4,-0.00014085,0.00047136,3309863,17784,COMPUTED
volatility_20h,volatility,negative,4h,4,Q5,-4.703e-05,0.00048737,3309863,17784,COMPUTED
volatility_20h,volatility,negative,24h,0,Q1,0.00138556,0.00072634,3304520,17764,COMPUTED
volatility_20h,volatility,negative,24h,1,Q2,-0.00061901,0.00094771,3304520,17764,COMPUTED
volatility_20h,volatility,negative,24h,2,Q3,-0.00095032,0.0012329,3304520,17764,COMPUTED
volatility_20h,volatility,negative,24h,3,Q4,-0.00081998,0.00098655,3304520,17764,COMPUTED
volatility_20h,volatility,negative,24h,4,Q5,-0.000347,0.00119902,3304520,17764,COMPUTED
volatility_20h,volatility,negative,72h,0,Q1,0.00432527,0.00258284,3291752,17716,COMPUTED
volatility_20h,volatility,negative,72h,1,Q2,-0.00199585,-0.00146562,3291752,17716,COMPUTED
volatility_20h,volatility,negative,72h,2,Q3,-0.00293691,-0.00226229,3291752,17716,COMPUTED
volatility_20h,volatility,negative,72h,3,Q4,-0.00280621,-0.00196548,3291752,17716,COMPUTED
volatility_20h,volatility,negative,72h,4,Q5,-0.00096568,0.00048013,3291752,17716,COMPUTED
rsi_14h,technical,negative,1h,0,Q1,6.373e-05,0.00023868,3312266,17793,COMPUTED
rsi_14h,technical,negative,1h,1,Q2,-7.227e-05,0.00016593,3312266,17793,COMPUTED
rsi_14h,technical,negative,1h,2,Q3,-2.616e-05,0.00018321,3312266,17793,COMPUTED
rsi_14h,technical,negative,1h,3,Q4,-9.48e-06,0.0001952,3312266,17793,COMPUTED
rsi_14h,technical,negative,1h,4,Q5,-1.539e-05,0.00016888,3312266,17793,COMPUTED
rsi_14h,technical,negative,4h,0,Q1,0.00023232,0.00071942,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,1,Q2,-0.00017568,0.00044918,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,2,Q3,-6.377e-05,0.0005719,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,3,Q4,-8.554e-05,0.00058869,3311459,17790,COMPUTED
rsi_14h,technical,negative,4h,4,Q5,-0.00016169,0.00046343,3311459,17790,COMPUTED
rsi_14h,technical,negative,24h,0,Q1,0.00109953,0.00137777,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,1,Q2,-0.00070037,0.00115633,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,2,Q3,-0.00052429,0.00135205,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,3,Q4,-0.00051158,0.00134694,3306116,17770,COMPUTED
rsi_14h,technical,negative,24h,4,Q5,-0.00067882,6.408e-05,3306116,17770,COMPUTED
rsi_14h,technical,negative,72h,0,Q1,0.00364516,0.00289069,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,1,Q2,-0.00183333,-0.00027294,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,2,Q3,-0.00193522,-0.00115262,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,3,Q4,-0.00207678,-0.00147403,3293348,17722,COMPUTED
rsi_14h,technical,negative,72h,4,Q5,-0.0020751,-0.00048768,3293348,17722,COMPUTED
bb_zscore_20h,technical,negative,1h,0,Q1,4.331e-05,0.00018563,3302069,17788,COMPUTED
bb_zscore_20h,technical,negative,1h,1,Q2,-7.394e-05,0.00017326,3302069,17788,COMPUTED
