factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,0,Q1,-2.52e-05,0.00015915,3302072,17788,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,1,Q2,-1.24e-05,0.00020799,3302072,17788,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,2,Q3,-4.593e-05,0.00013499,3302072,17788,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,3,Q4,-3.281e-05,0.0001486,3302072,17788,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,1h,4,Q5,5.198e-05,0.00022127,3302072,17788,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,0,Q1,-0.00012158,0.00044542,3301274,17785,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,1,Q2,-0.00011243,0.00046228,3301274,17785,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,2,Q3,-0.00014073,0.0004543,3301274,17785,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,3,Q4,-9.108e-05,0.00054089,3301274,17785,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,4,Q5,0.00019441,0.00064908,3301274,17785,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,0,Q1,-0.00066621,0.00066036,3295954,17765,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,1,Q2,-0.00036262,0.00121263,3295954,17765,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,2,Q3,-0.00041532,0.0011905,3295954,17765,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,3,Q4,-0.00066612,0.00117998,3295954,17765,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,24h,4,Q5,0.00070909,0.00105084,3295954,17765,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,72h,0,Q1,-0.00156841,0.00018685,3283186,17717,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,72h,1,Q2,-0.00194089,-0.00101062,3283186,17717,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,72h,2,Q3,-0.00205171,-0.00157585,3283186,17717,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,72h,3,Q4,-0.00171169,-0.00037122,3283186,17717,COMPUTED
up_down_vol_ratio_20h,alpha158_ohlcv,positive,72h,4,Q5,0.00254089,0.00076523,3283186,17717,COMPUTED
