factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
vwap_dev_20h,alpha158_ohlcv,conditional,1h,0,Q1,1.011e-05,0.00023799,3302072,17788,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,1h,1,Q2,-2.566e-05,0.00015865,3302072,17788,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,1h,2,Q3,-5.536e-05,0.00012931,3302072,17788,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,1h,3,Q4,-5.832e-05,0.00011688,3302072,17788,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,1h,4,Q5,6.446e-05,0.00019975,3302072,17788,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,4h,0,Q1,-7.896e-05,0.00041898,3301274,17785,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,4h,1,Q2,-0.00016912,0.00046477,3301274,17785,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,4h,2,Q3,-0.00018289,0.00050889,3301274,17785,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,4h,3,Q4,-0.00013844,0.00055742,3301274,17785,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,4h,4,Q5,0.00029817,0.00087035,3301274,17785,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,24h,0,Q1,-0.00020761,0.00046874,3295954,17765,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,24h,1,Q2,-0.00071509,0.00106491,3295954,17765,DIRECTION_UNKNOWN
vwap_dev_20h,alpha158_ohlcv,conditional,24h,2,Q3,-0.00083178,0.00110425,3295954,17765,DIRECTION_UNKNOWN
