factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
wq101_alpha56,wq101,conditional,1h,0,Q1,2.23e-06,0.0001563,2989101,17520,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,1h,1,Q2,-4.681e-05,0.00013248,2989101,17520,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,1h,2,Q3,-5.452e-05,0.00015324,2989101,17520,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,1h,3,Q4,7.61e-06,0.00019769,2989101,17520,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,1h,4,Q5,6.458e-05,0.0002416,2989101,17520,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,4h,0,Q1,1.647e-05,0.00056083,2988384,17517,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,4h,1,Q2,-0.00014634,0.00043738,2988384,17517,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,4h,2,Q3,-9.12e-05,0.00060316,2988384,17517,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,4h,3,Q4,1.971e-05,0.00058317,2988384,17517,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,4h,4,Q5,0.00010433,0.0006116,2988384,17517,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,24h,0,Q1,0.0003242,0.00102436,2983604,17497,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,24h,1,Q2,-0.00031761,0.00111519,2983604,17497,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,24h,2,Q3,-0.00030948,0.00116622,2983604,17497,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,24h,3,Q4,-0.00020296,0.0011268,2983604,17497,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,24h,4,Q5,0.00032261,0.0010089,2983604,17497,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,72h,0,Q1,0.00103001,0.00130207,2972132,17449,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,72h,1,Q2,-0.00073063,-0.00044106,2972132,17449,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,72h,2,Q3,-0.0009718,-0.00113991,2972132,17449,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,72h,3,Q4,-0.00036238,-6.11e-06,2972132,17449,DIRECTION_UNKNOWN
wq101_alpha56,wq101,conditional,72h,4,Q5,0.00061941,-6.461e-05,2972132,17449,DIRECTION_UNKNOWN
