factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
wq101_alpha77,wq101,conditional,1h,0,Q1,-2.196e-05,0.00018893,3285681,17741,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,1h,1,Q2,-1.998e-05,0.00021239,3285681,17741,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,1h,2,Q3,-3.78e-05,0.00021356,3285681,17741,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,1h,3,Q4,-2.387e-05,0.00014143,3285681,17741,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,1h,4,Q5,1.457e-05,0.00025323,3285681,17741,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,4h,0,Q1,-0.00010467,0.00052471,3284883,17738,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,4h,1,Q2,-0.00011184,0.0005383,3284883,17738,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,4h,2,Q3,-6.777e-05,0.00059644,3284883,17738,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,4h,3,Q4,-9.632e-05,0.00054361,3284883,17738,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,4h,4,Q5,3.932e-05,0.00063678,3284883,17738,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,24h,0,Q1,7.902e-05,0.00106893,3279567,17718,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,24h,1,Q2,-0.00060222,0.0009867,3279567,17718,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,24h,2,Q3,-0.00045268,0.00104578,3279567,17718,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,24h,3,Q4,-0.00057416,0.00108977,3279567,17718,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,24h,4,Q5,-0.00019589,0.00053823,3279567,17718,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,72h,0,Q1,0.00052626,0.00130031,3266833,17670,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,72h,1,Q2,-0.00210733,-0.00103673,3266833,17670,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,72h,2,Q3,-0.00167527,-0.00077978,3266833,17670,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,72h,3,Q4,-0.00151896,-0.00156141,3266833,17670,DIRECTION_UNKNOWN
wq101_alpha77,wq101,conditional,72h,4,Q5,-0.00036856,-0.00015682,3266833,17670,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,1h,0,Q1,-3.971e-05,0.00013824,2409022,17717,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,1h,1,Q2,-1.367e-05,0.00013916,2409022,17717,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,1h,2,Q3,-3.71e-05,0.00011581,2409022,17717,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,1h,3,Q4,-9.4e-07,0.00019876,2409022,17717,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,1h,4,Q5,3.646e-05,0.00025282,2409022,17717,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,4h,0,Q1,-5.505e-05,0.00050208,2408371,17714,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,4h,1,Q2,-9.626e-05,0.00035752,2408371,17714,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,4h,2,Q3,-0.00013091,0.00049978,2408371,17714,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,4h,3,Q4,-9.291e-05,0.00057151,2408371,17714,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,4h,4,Q5,0.00010906,0.00064365,2408371,17714,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,24h,0,Q1,-0.00053157,0.00044263,2404002,17694,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,24h,1,Q2,-0.00042257,0.00107181,2404002,17694,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,24h,2,Q3,-0.00055247,0.00093283,2404002,17694,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,24h,3,Q4,-0.00019199,0.0010577,2404002,17694,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,24h,4,Q5,0.00050466,0.00099071,2404002,17694,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,72h,0,Q1,-0.00141803,-0.00021359,2393751,17646,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,72h,1,Q2,-0.00138128,-0.00095431,2393751,17646,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,72h,2,Q3,-0.00120241,-0.00057113,2393751,17646,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,72h,3,Q4,-0.00091503,-0.00056494,2393751,17646,DIRECTION_UNKNOWN
wq101_alpha78,wq101,conditional,72h,4,Q5,0.00127979,0.00114258,2393751,17646,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,1h,0,Q1,-6.574e-05,8.923e-05,3305333,17800,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,1h,1,Q2,-8.061e-05,0.00016687,3305333,17800,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,1h,2,Q3,5.22e-06,0.0001845,3305333,17800,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,1h,3,Q4,3.542e-05,0.00024507,3305333,17800,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,1h,4,Q5,4.527e-05,0.00023,3305333,17800,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,4h,0,Q1,-9.215e-05,0.00044729,3304535,17797,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,4h,1,Q2,-0.00011235,0.00046038,3304535,17797,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,4h,2,Q3,-3.541e-05,0.00068619,3304535,17797,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,4h,3,Q4,-1.694e-05,0.00067413,3304535,17797,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,4h,4,Q5,1.306e-05,0.00050514,3304535,17797,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,24h,0,Q1,-5.937e-05,0.00074974,3299215,17777,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,24h,1,Q2,-0.00036937,0.00098119,3299215,17777,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,24h,2,Q3,-0.00039935,0.00157077,3299215,17777,DIRECTION_UNKNOWN
wq101_alpha83,wq101,conditional,24h,3,Q4,-0.00042265,0.00111264,3299215,17777,DIRECTION_UNKNOWN
