factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
q158_ma_10h,alpha158_rolling_price,conditional,1h,0,Q1,3.478e-05,0.00017987,3313596,17798,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,1h,1,Q2,-4.936e-05,0.00018087,3313596,17798,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,1h,2,Q3,-6.266e-05,0.00015476,3313596,17798,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,1h,3,Q4,-1.649e-05,0.00017628,3313596,17798,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,1h,4,Q5,3.752e-05,0.00023865,3313596,17798,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,4h,0,Q1,0.00020916,0.00082048,3312789,17795,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,4h,1,Q2,-0.00016,0.00054462,3312789,17795,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,4h,2,Q3,-0.00019216,0.00046276,3312789,17795,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,4h,3,Q4,-0.00012892,0.00058688,3312789,17795,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,4h,4,Q5,3.291e-05,0.00050939,3312789,17795,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,24h,0,Q1,0.00108033,0.00113816,3307446,17775,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,24h,1,Q2,-0.00071903,0.00121242,3307446,17775,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,24h,2,Q3,-0.00086956,0.00090972,3307446,17775,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,24h,3,Q4,-0.00065666,0.00096614,3307446,17775,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,24h,4,Q5,-9.204e-05,0.00101579,3307446,17775,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,72h,0,Q1,0.00307821,0.00313923,3294678,17727,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,72h,1,Q2,-0.00206903,-0.00050434,3294678,17727,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,72h,2,Q3,-0.00273873,-0.00129586,3294678,17727,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,72h,3,Q4,-0.0022715,-0.00175893,3294678,17727,DIRECTION_UNKNOWN
q158_ma_10h,alpha158_rolling_price,conditional,72h,4,Q5,-0.00015392,0.00018045,3294678,17727,DIRECTION_UNKNOWN
q158_std_10h,alpha158_rolling_price,negative,1h,0,Q1,6.69e-05,0.00024836,3313596,17798,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,1h,1,Q2,-2.784e-05,0.00019988,3313596,17798,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,1h,2,Q3,-3.408e-05,0.00016655,3313596,17798,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,1h,3,Q4,-4.796e-05,0.00013508,3313596,17798,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,1h,4,Q5,-1.327e-05,0.00015617,3313596,17798,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,4h,0,Q1,0.00026674,0.00081545,3312789,17795,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,4h,1,Q2,-0.00011577,0.00057275,3312789,17795,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,4h,2,Q3,-0.00015179,0.0005697,3312789,17795,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,4h,3,Q4,-0.00013545,0.00050245,3312789,17795,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,4h,4,Q5,-9.996e-05,0.00050851,3312789,17795,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,24h,0,Q1,0.00154669,0.00088167,3307446,17775,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,24h,1,Q2,-0.0004451,0.00095299,3307446,17775,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,24h,2,Q3,-0.00084225,0.00114581,3307446,17775,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,24h,3,Q4,-0.00097094,0.00083787,3307446,17775,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,24h,4,Q5,-0.00053096,0.00114357,3307446,17775,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,72h,0,Q1,0.00397799,0.00311452,3294678,17727,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,72h,1,Q2,-0.00172213,-0.00025233,3294678,17727,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,72h,2,Q3,-0.00262336,-0.00254925,3294678,17727,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,72h,3,Q4,-0.00281568,-0.00147831,3294678,17727,COMPUTED
q158_std_10h,alpha158_rolling_price,negative,72h,4,Q5,-0.00095461,0.00079197,3294678,17727,COMPUTED
q158_max_10h,alpha158_rolling_price,conditional,1h,0,Q1,-4.712e-05,0.00013796,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,1h,1,Q2,-2.825e-05,0.00019679,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,1h,2,Q3,-3.374e-05,0.00015121,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,1h,3,Q4,1.139e-05,0.00020886,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,1h,4,Q5,4.187e-05,0.00023212,3313596,17798,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,0,Q1,-5.171e-05,0.00055949,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,1,Q2,-0.00014811,0.0005434,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,2,Q3,-0.00010839,0.0005197,3312789,17795,DIRECTION_UNKNOWN
q158_max_10h,alpha158_rolling_price,conditional,4h,3,Q4,-7.052e-05,0.00052054,3312789,17795,DIRECTION_UNKNOWN
