factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,after_funding_raw_mean_rank_ic,after_funding_direction_adjusted_mean_rank_ic,after_funding_t_stat,after_funding_n_periods,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
mom_20h,momentum,positive,factor_registry,1h,-0.02275796,-0.02275796,-0.02282271,-0.02282271,-19.05,17786,-18.9937,17786,186.1,3310939,0.667201,False,COMPUTED,close / close_20h_ago - 1
mom_20h,momentum,positive,factor_registry,4h,-0.03002985,-0.03002985,-0.03018828,-0.03018828,-24.4341,17784,-24.3102,17784,186.1,3310939,0.667201,False,COMPUTED,close / close_20h_ago - 1
mom_20h,momentum,positive,factor_registry,24h,-0.02974492,-0.02974492,-0.02979421,-0.02979421,-23.8994,17764,-23.8853,17764,186.1,3310939,0.667201,False,COMPUTED,close / close_20h_ago - 1
mom_20h,momentum,positive,factor_registry,72h,-0.01902444,-0.01902444,-0.01881295,-0.01881295,-15.7486,17716,-15.9486,17716,186.1,3310939,0.667201,False,COMPUTED,close / close_20h_ago - 1
reversal_5h,momentum,positive,factor_registry,1h,0.03232238,0.03232238,0.03228613,0.03228613,26.7225,17801,26.7533,17801,186.2,3314929,0.6668,False,COMPUTED,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
reversal_5h,momentum,positive,factor_registry,4h,0.03201986,0.03201986,0.03209217,0.03209217,26.6621,17799,26.6123,17799,186.2,3314929,0.6668,False,COMPUTED,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
reversal_5h,momentum,positive,factor_registry,24h,0.02102885,0.02102885,0.02137987,0.02137987,17.777,17779,17.5009,17779,186.2,3314929,0.6668,False,COMPUTED,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
reversal_5h,momentum,positive,factor_registry,72h,0.01063559,0.01063559,0.01072049,0.01072049,9.4041,17731,9.3378,17731,186.2,3314929,0.6668,False,COMPUTED,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.
volatility_20h,volatility,negative,factor_registry,1h,-0.03876617,0.03876617,-0.03811997,0.03811997,-23.6505,17786,-24.0507,17786,186.1,3310939,0.667201,False,COMPUTED,"rolling std of returns, 20 bars"
volatility_20h,volatility,negative,factor_registry,4h,-0.05734236,0.05734236,-0.05605854,0.05605854,-35.1964,17784,-36.0181,17784,186.1,3310939,0.667201,False,COMPUTED,"rolling std of returns, 20 bars"
volatility_20h,volatility,negative,factor_registry,24h,-0.08912413,0.08912413,-0.08676149,0.08676149,-54.7221,17764,-56.2984,17764,186.1,3310939,0.667201,False,COMPUTED,"rolling std of returns, 20 bars"
volatility_20h,volatility,negative,factor_registry,72h,-0.1000624,0.1000624,-0.09699448,0.09699448,-61.4895,17716,-63.491,17716,186.1,3310939,0.667201,False,COMPUTED,"rolling std of returns, 20 bars"
rsi_14h,technical,negative,factor_registry,1h,-0.02798698,0.02798698,-0.02803973,0.02803973,-26.578,17792,-26.5261,17792,186.2,3312535,0.667041,False,COMPUTED,Wilder RSI 14
rsi_14h,technical,negative,factor_registry,4h,-0.03355402,0.03355402,-0.03372513,0.03372513,-31.0913,17790,-30.934,17790,186.2,3312535,0.667041,False,COMPUTED,Wilder RSI 14
rsi_14h,technical,negative,factor_registry,24h,-0.02874556,0.02874556,-0.02892137,0.02892137,-26.2593,17770,-26.1165,17770,186.2,3312535,0.667041,False,COMPUTED,Wilder RSI 14
rsi_14h,technical,negative,factor_registry,72h,-0.01585684,0.01585684,-0.01579938,0.01579938,-15.3731,17722,-15.4381,17722,186.2,3312535,0.667041,False,COMPUTED,Wilder RSI 14
