factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
mom_72h,momentum,positive,factor_registry,1h,-0.01583241,-0.01583241,-12.7632,17734,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic
mom_72h,momentum,positive,factor_registry,4h,-0.02518219,-0.02518219,-20.1976,17732,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic
mom_72h,momentum,positive,factor_registry,24h,-0.03093993,-0.03093993,-24.2015,17712,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic
mom_72h,momentum,positive,factor_registry,72h,-0.01812229,-0.01812229,-14.2562,17664,185.9,3297107,0.005775,False,COMPUTED,close / close_72h_ago - 1; medium-horizon trend continuation diagnostic
mom_120h,momentum,positive,factor_registry,1h,-0.01190786,-0.01190786,-9.3483,17686,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic
mom_120h,momentum,positive,factor_registry,4h,-0.01947579,-0.01947579,-15.2052,17684,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic
mom_120h,momentum,positive,factor_registry,24h,-0.02314036,-0.02314036,-18.053,17664,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic
mom_120h,momentum,positive,factor_registry,72h,-0.01561938,-0.01561938,-12.2156,17616,185.7,3284339,0.009625,False,COMPUTED,close / close_120h_ago - 1; longer-horizon trend continuation diagnostic
rev_1h,reversal,positive,factor_registry,1h,0.03650558,0.03650558,30.6929,17804,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic
rev_1h,reversal,positive,factor_registry,4h,0.02815733,0.02815733,23.9276,17802,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic
rev_1h,reversal,positive,factor_registry,24h,0.01188053,0.01188053,10.3289,17782,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic
rev_1h,reversal,positive,factor_registry,72h,0.00455941,0.00455941,4.144,17734,186.2,3315993,8e-05,False,COMPUTED,-(close / close_1h_ago - 1); very short-term reversal diagnostic
rev_72h,reversal,positive,factor_registry,1h,0.01583241,0.01583241,12.7632,17734,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic
rev_72h,reversal,positive,factor_registry,4h,0.02518219,0.02518219,20.1976,17732,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic
rev_72h,reversal,positive,factor_registry,24h,0.03093993,0.03093993,24.2015,17712,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic
rev_72h,reversal,positive,factor_registry,72h,0.01812229,0.01812229,14.2562,17664,185.9,3297107,0.005775,False,COMPUTED,-(close / close_72h_ago - 1); medium-horizon reversal diagnostic
vol_ratio_20_80,volatility,conditional,factor_registry,1h,-0.00758088,-0.00758088,-8.2092,17726,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic"
vol_ratio_20_80,volatility,conditional,factor_registry,4h,-0.01148891,-0.01148891,-12.2803,17724,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic"
vol_ratio_20_80,volatility,conditional,factor_registry,24h,-0.01231733,-0.01231733,-13.4433,17704,185.4,3286292,0.009036,False,DIRECTION_UNKNOWN,"std(ret,20) / std(ret,80); short-vs-long volatility regime diagnostic"
