factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
funding_rate_level_20h,funding_rate,negative,factor_registry,1h,0.01027415,-0.01027415,12.4527,16756,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_level_20h,funding_rate,negative,factor_registry,4h,0.01870653,-0.01870653,22.3538,16757,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_level_20h,funding_rate,negative,factor_registry,24h,0.034482,-0.034482,40.6982,16757,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_level_20h,funding_rate,negative,factor_registry,72h,0.04466918,-0.04466918,54.1697,16757,173.8,2913119,0.121565,False,COMPUTED,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_zscore_80h,funding_rate,negative,factor_registry,1h,0.00521047,-0.00521047,6.3096,16696,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_zscore_80h,funding_rate,negative,factor_registry,4h,0.00888837,-0.00888837,10.664,16697,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_zscore_80h,funding_rate,negative,factor_registry,24h,0.01380335,-0.01380335,16.1087,16697,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_zscore_80h,funding_rate,negative,factor_registry,72h,0.00682958,-0.00682958,8.0701,16697,149.9,2503177,0.24518,False,COMPUTED,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache."
funding_rate_change_24h,funding_rate,negative,factor_registry,1h,0.00270766,-0.00270766,3.6591,16751,173.9,2912822,0.121654,False,COMPUTED,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_change_24h,funding_rate,negative,factor_registry,4h,0.00518369,-0.00518369,6.9488,16752,173.9,2912822,0.121654,False,COMPUTED,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_change_24h,funding_rate,negative,factor_registry,24h,0.00673075,-0.00673075,9.0069,16752,173.9,2912822,0.121654,False,COMPUTED,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache."
funding_rate_change_24h,funding_rate,negative,factor_registry,72h,0.00157992,-0.00157992,2.1448,16752,173.9,2912822,0.121654,False,COMPUTED,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache."
