factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha23,wq101,conditional,factor_registry,1h,0.00990598,0.00990598,11.8928,17725,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars"
wq101_alpha23,wq101,conditional,factor_registry,4h,0.01168064,0.01168064,13.9901,17723,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars"
wq101_alpha23,wq101,conditional,factor_registry,24h,0.00499417,0.00499417,6.0065,17703,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars"
wq101_alpha23,wq101,conditional,factor_registry,72h,0.00071219,0.00071219,0.8761,17655,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#23: if mean(high,20) < high then -delta(high,2) else 0; adapted to 1h bars"
wq101_alpha24,wq101,conditional,factor_registry,1h,0.00044719,0.00044719,0.4619,17607,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars"
wq101_alpha24,wq101,conditional,factor_registry,4h,-0.00301008,-0.00301008,-3.0624,17605,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars"
wq101_alpha24,wq101,conditional,factor_registry,24h,-0.01855172,-0.01855172,-18.2379,17585,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars"
wq101_alpha24,wq101,conditional,factor_registry,72h,-0.03055915,-0.03055915,-30.8207,17537,185.3,3263325,0.015962,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#24: long moving-average drift branch over 100 bars else -delta(close,3); adapted to 1h bars"
wq101_alpha46,wq101,conditional,factor_registry,1h,0.01540313,0.01540313,17.6812,17742,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars"
wq101_alpha46,wq101,conditional,factor_registry,4h,0.01425706,0.01425706,16.1503,17740,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars"
wq101_alpha46,wq101,conditional,factor_registry,24h,0.01103037,0.01103037,12.4083,17720,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars"
wq101_alpha46,wq101,conditional,factor_registry,72h,0.0042142,0.0042142,4.8973,17672,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#46: 20/10-bar close slope state with -delta(close,1) fallback; adapted to 1h bars"
wq101_alpha49,wq101,conditional,factor_registry,1h,0.02084219,0.02084219,24.2593,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha49,wq101,conditional,factor_registry,4h,0.01812093,0.01812093,20.8971,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha49,wq101,conditional,factor_registry,24h,0.01307037,0.01307037,15.0573,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha49,wq101,conditional,factor_registry,72h,0.01085327,0.01085327,12.7685,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#49: if 20/10-bar close slope gap < -0.1 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha51,wq101,conditional,factor_registry,1h,0.02108879,0.02108879,24.627,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha51,wq101,conditional,factor_registry,4h,0.01862558,0.01862558,21.5526,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha51,wq101,conditional,factor_registry,24h,0.01410946,0.01410946,16.2891,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars"
wq101_alpha51,wq101,conditional,factor_registry,72h,0.01237831,0.01237831,14.5948,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#51: if 20/10-bar close slope gap < -0.05 then 1 else -delta(close,1); adapted to 1h bars"
