factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
q158_high_close_0h,alpha158_price,conditional,factor_registry,1h,0.00220456,0.00220456,1.6919,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block
q158_high_close_0h,alpha158_price,conditional,factor_registry,4h,-0.01788401,-0.01788401,-13.9646,17803,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block
q158_high_close_0h,alpha158_price,conditional,factor_registry,24h,-0.04887217,-0.04887217,-38.7402,17783,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block
q158_high_close_0h,alpha158_price,conditional,factor_registry,72h,-0.06067135,-0.06067135,-49.7912,17735,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 HIGH0: high / close; current high normalized by current close from Alpha158 price feature block
q158_low_close_0h,alpha158_price,conditional,factor_registry,1h,0.05115462,0.05115462,41.6893,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block
q158_low_close_0h,alpha158_price,conditional,factor_registry,4h,0.05224982,0.05224982,43.3685,17803,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block
q158_low_close_0h,alpha158_price,conditional,factor_registry,24h,0.05956265,0.05956265,49.3799,17783,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block
q158_low_close_0h,alpha158_price,conditional,factor_registry,72h,0.06283117,0.06283117,53.6654,17735,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,Alpha158 LOW0: low / close; current low normalized by current close from Alpha158 price feature block
q158_open_close_1h,alpha158_price,conditional,factor_registry,1h,0.03611963,0.03611963,29.8599,17805,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block"
q158_open_close_1h,alpha158_price,conditional,factor_registry,4h,0.03124795,0.03124795,26.1814,17803,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block"
q158_open_close_1h,alpha158_price,conditional,factor_registry,24h,0.01532585,0.01532585,13.1519,17783,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block"
q158_open_close_1h,alpha158_price,conditional,factor_registry,72h,0.00670849,0.00670849,6.0407,17735,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 OPEN1: Ref(open,1) / close; previous open normalized by current close from Alpha158 price feature block"
q158_high_close_1h,alpha158_price,conditional,factor_registry,1h,0.0194971,0.0194971,15.1673,17805,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block"
q158_high_close_1h,alpha158_price,conditional,factor_registry,4h,0.00776689,0.00776689,6.1994,17803,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block"
q158_high_close_1h,alpha158_price,conditional,factor_registry,24h,-0.01863945,-0.01863945,-15.2888,17783,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block"
q158_high_close_1h,alpha158_price,conditional,factor_registry,72h,-0.02993574,-0.02993574,-25.5578,17735,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 HIGH1: Ref(high,1) / close; previous high normalized by current close from Alpha158 price feature block"
q158_low_close_1h,alpha158_price,conditional,factor_registry,1h,0.04776262,0.04776262,39.8943,17805,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 LOW1: Ref(low,1) / close; previous low normalized by current close from Alpha158 price feature block"
q158_low_close_1h,alpha158_price,conditional,factor_registry,4h,0.04717886,0.04717886,39.5691,17803,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 LOW1: Ref(low,1) / close; previous low normalized by current close from Alpha158 price feature block"
q158_low_close_1h,alpha158_price,conditional,factor_registry,24h,0.04321755,0.04321755,36.7391,17783,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 LOW1: Ref(low,1) / close; previous low normalized by current close from Alpha158 price feature block"
q158_low_close_1h,alpha158_price,conditional,factor_registry,72h,0.03949771,0.03949771,34.8767,17735,186.2,3315993,8e-05,False,DIRECTION_UNKNOWN,"Alpha158 LOW1: Ref(low,1) / close; previous low normalized by current close from Alpha158 price feature block"
