month,ls_return_sum,ls_return_mean,long_return_mean,short_return_mean,n_timestamps,positive_ls,turnover_mean,factor_id,family,horizon,expected_direction
2024-06,-0.05816456,-8.11221e-05,-0.0003142224,-0.0002331003,717,False,0.5588,rev_2h,reversal,1h,positive
2024-07,-0.43067612,-0.0005788658,-0.0003415528,0.000237313,744,False,0.5468,rev_2h,reversal,1h,positive
2024-08,-0.00562008,-7.5539e-06,-0.0001092526,-0.0001016988,744,False,0.5721,rev_2h,reversal,1h,positive
2024-09,0.19655459,0.0002729925,0.00036548,9.24875e-05,720,True,0.5881,rev_2h,reversal,1h,positive
2024-10,0.20104505,0.0002702218,0.0001944023,-7.58196e-05,744,True,0.5895,rev_2h,reversal,1h,positive
2024-11,-0.04455517,-6.18822e-05,0.0007249548,0.000786837,720,False,0.5809,rev_2h,reversal,1h,positive
2024-12,0.64823314,0.0008712811,0.000280794,-0.0005904871,744,True,0.6033,rev_2h,reversal,1h,positive
2025-01,-0.10449251,-0.0001404469,-0.0004718536,-0.0003314067,744,False,0.5739,rev_2h,reversal,1h,positive
2025-02,-0.13931875,-0.0002073196,-0.0005489022,-0.0003415826,672,False,0.5659,rev_2h,reversal,1h,positive
2025-03,0.0458439,6.16181e-05,-0.0002599832,-0.0003216013,744,True,0.5799,rev_2h,reversal,1h,positive
2025-04,0.50250662,0.0006979259,0.0006751564,-2.27694e-05,720,True,0.5916,rev_2h,reversal,1h,positive
2025-05,0.04996696,6.71599e-05,0.0001171054,4.99455e-05,744,True,0.5786,rev_2h,reversal,1h,positive
2025-06,0.12063592,0.0001675499,-2.93578e-05,-0.0001969077,720,True,0.5686,rev_2h,reversal,1h,positive
2025-07,0.1033251,0.0001388778,0.0003161633,0.0001772855,744,True,0.589,rev_2h,reversal,1h,positive
2025-08,0.13113099,0.0001762513,0.0003383269,0.0001620756,744,True,0.5989,rev_2h,reversal,1h,positive
2025-09,0.00376911,5.2349e-06,0.0002311549,0.0002259201,720,True,0.5917,rev_2h,reversal,1h,positive
2025-10,-0.16259498,-0.0002185416,-2.562e-06,0.0002159796,744,False,0.5877,rev_2h,reversal,1h,positive
2025-11,0.00146201,2.0306e-06,-0.0001240256,-0.0001260561,720,True,0.5913,rev_2h,reversal,1h,positive
2025-12,-0.01934692,-2.60039e-05,4.35835e-05,6.95874e-05,744,False,0.5895,rev_2h,reversal,1h,positive
2026-01,0.2947017,0.0003961044,0.0001844813,-0.0002116231,744,True,0.5874,rev_2h,reversal,1h,positive
2026-02,-0.18359863,-0.0002732122,-0.0001630838,0.0001101285,672,False,0.5744,rev_2h,reversal,1h,positive
2026-03,-0.10695913,-0.0001437623,2.8024e-06,0.0001465647,744,False,0.5703,rev_2h,reversal,1h,positive
2026-04,-0.07203607,-0.0001000501,0.0004766222,0.0005766723,720,False,0.5847,rev_2h,reversal,1h,positive
2026-05,0.17975255,0.0002416029,0.000274268,3.26651e-05,744,True,0.5835,rev_2h,reversal,1h,positive
2026-06,0.12911817,0.000448327,-1.48431e-05,-0.0004631701,288,True,0.5957,rev_2h,reversal,1h,positive
