signal_id,horizon,original_mean_rankic,inverted_mean_rankic,original_mean_spread,inverted_mean_spread,interpretation
signal_v0_core_only,1h,0.018663,-0.018663,-0.000306,0.000306,INVERSION_RESOLVES_SPREAD_BUT_FLIPS_RANKIC_NEGATIVE
signal_v0_core_only,4h,0.016936,-0.016936,-0.001232,0.001232,INVERSION_RESOLVES_SPREAD_BUT_FLIPS_RANKIC_NEGATIVE
signal_v0_core_only,24h,-0.000564,0.000564,-0.006742,0.006742,BOTH_IMPROVE_WITH_INVERSION
signal_v0_core_only,72h,-0.025645,0.025645,-0.016623,0.016623,BOTH_IMPROVE_WITH_INVERSION
signal_v0_pm_full_structured,1h,0.018114,-0.018114,-0.000316,0.000316,INVERSION_RESOLVES_SPREAD_BUT_FLIPS_RANKIC_NEGATIVE
signal_v0_pm_full_structured,4h,0.016161,-0.016161,-0.001182,0.001182,INVERSION_RESOLVES_SPREAD_BUT_FLIPS_RANKIC_NEGATIVE
signal_v0_pm_full_structured,24h,-0.001288,0.001288,-0.006594,0.006594,BOTH_IMPROVE_WITH_INVERSION
signal_v0_pm_full_structured,72h,-0.032186,0.032186,-0.016746,0.016746,BOTH_IMPROVE_WITH_INVERSION
signal_v0_family_balanced_diagnostic,1h,0.01693,-0.01693,-0.000318,0.000318,INVERSION_RESOLVES_SPREAD_BUT_FLIPS_RANKIC_NEGATIVE
signal_v0_family_balanced_diagnostic,4h,0.014676,-0.014676,-0.001161,0.001161,INVERSION_RESOLVES_SPREAD_BUT_FLIPS_RANKIC_NEGATIVE
signal_v0_family_balanced_diagnostic,24h,-0.004388,0.004388,-0.006617,0.006617,BOTH_IMPROVE_WITH_INVERSION
signal_v0_family_balanced_diagnostic,72h,-0.029977,0.029977,-0.016461,0.016461,BOTH_IMPROVE_WITH_INVERSION
