signal_id,horizon,mean_rankic,std_rankic,t_stat,positive_rate,n_timestamps,n_observations
signal_v0_core_only,1h,0.032482,0.244681,17.5713,0.555,17520,626438
signal_v0_core_only,4h,0.038507,0.245044,20.8,0.566,17520,626438
signal_v0_core_only,24h,0.041628,0.243768,22.5955,0.5663,17508,625922
signal_v0_core_only,72h,0.033778,0.247151,18.0589,0.5468,17460,623858
signal_v0_pm_full_structured,1h,0.03144,0.238736,17.4316,0.5534,17520,626270
signal_v0_pm_full_structured,4h,0.036529,0.239389,20.1974,0.5655,17520,626270
signal_v0_pm_full_structured,24h,0.037849,0.237701,21.0688,0.5642,17508,625754
signal_v0_pm_full_structured,72h,0.026726,0.240528,14.6823,0.5354,17460,623690
signal_v0_family_balanced_diagnostic,1h,0.030252,0.233706,17.1335,0.5553,17520,626270
signal_v0_family_balanced_diagnostic,4h,0.035212,0.234032,19.9152,0.5632,17520,626270
signal_v0_family_balanced_diagnostic,24h,0.033955,0.230533,19.4889,0.5584,17508,625754
signal_v0_family_balanced_diagnostic,72h,0.024628,0.232127,14.0194,0.5406,17460,623690
