signal_id,horizon,timestamp,symbol,signal_value,forward_return,bucket_id,rank_in_bucket0,contribution_share,is_top_1pct,is_top_5pct,notes
signal_v0_core_only,1h,2026-04-17 09:00:00+00:00,SIRENUSDT,-3.457635,1.29459951,0,1,0.063175,True,True,
signal_v0_core_only,1h,2026-02-07 16:00:00+00:00,SIRENUSDT,-2.867381,1.04526822,0,2,0.051008,False,True,
signal_v0_core_only,1h,2026-06-02 23:00:00+00:00,LABUSDT,-3.980437,0.92240703,0,3,0.045012,False,True,
signal_v0_core_only,1h,2026-02-07 18:00:00+00:00,SIRENUSDT,-5.778851,0.86512609,0,4,0.042217,False,False,
signal_v0_core_only,1h,2025-10-30 18:00:00+00:00,LABUSDT,-3.521232,0.63055089,0,5,0.03077,False,False,
signal_v0_core_only,1h,2025-08-07 07:00:00+00:00,PLAYUSDT,-6.920636,0.6195279,0,6,0.030232,False,False,
signal_v0_core_only,1h,2026-03-28 21:00:00+00:00,PLAYUSDT,-1.164729,0.60623842,0,7,0.029584,False,False,
signal_v0_core_only,1h,2025-11-20 13:00:00+00:00,BEATUSDT,-1.763268,0.57744911,0,8,0.028179,False,False,
signal_v0_core_only,1h,2026-02-08 15:00:00+00:00,SIRENUSDT,-3.996404,0.5768488,0,9,0.028149,False,False,
signal_v0_core_only,1h,2026-05-06 14:00:00+00:00,LABUSDT,-3.993331,0.57411504,0,10,0.028016,False,False,
signal_v0_core_only,1h,2026-06-09 01:00:00+00:00,HUSDT,-2.990559,0.52250965,0,11,0.025498,False,False,
signal_v0_core_only,1h,2025-10-30 23:00:00+00:00,LABUSDT,-6.014434,0.4470057,0,12,0.021813,False,False,
signal_v0_core_only,1h,2026-05-03 03:00:00+00:00,LABUSDT,-3.62458,0.44324197,0,13,0.02163,False,False,
signal_v0_core_only,1h,2025-06-10 20:00:00+00:00,HOMEUSDT,-5.545037,0.41492266,0,14,0.020248,False,False,
signal_v0_core_only,1h,2026-04-04 14:00:00+00:00,SIRENUSDT,-5.984596,0.40717088,0,15,0.019869,False,False,
signal_v0_core_only,1h,2026-04-16 15:00:00+00:00,SIRENUSDT,-0.784252,0.40078859,0,16,0.019558,False,False,
signal_v0_core_only,1h,2026-02-07 19:00:00+00:00,SIRENUSDT,-7.023157,0.38441607,0,17,0.018759,False,False,
signal_v0_core_only,1h,2026-05-25 07:00:00+00:00,PLAYUSDT,-4.046627,0.37653791,0,18,0.018375,False,False,
signal_v0_core_only,1h,2026-06-04 17:00:00+00:00,LABUSDT,-3.185991,0.37486065,0,19,0.018293,False,False,
signal_v0_core_only,1h,2026-05-11 18:00:00+00:00,LABUSDT,-2.72295,0.37038329,0,20,0.018074,False,False,
signal_v0_core_only,1h,2025-11-07 18:00:00+00:00,HUSDT,-1.734139,0.35868997,0,21,0.017504,False,False,
signal_v0_core_only,1h,2026-06-09 10:00:00+00:00,HUSDT,-3.429794,0.3546982,0,22,0.017309,False,False,
signal_v0_core_only,1h,2026-04-04 01:00:00+00:00,SIRENUSDT,-1.557651,0.3389615,0,23,0.016541,False,False,
signal_v0_core_only,1h,2026-03-28 04:00:00+00:00,SIRENUSDT,-4.930675,0.33383716,0,24,0.016291,False,False,
signal_v0_core_only,1h,2025-08-07 06:00:00+00:00,PLAYUSDT,-2.402513,0.33066819,0,25,0.016136,False,False,
signal_v0_core_only,1h,2024-11-13 13:00:00+00:00,1000PEPEUSDT,-1.093593,0.32802214,0,26,0.016007,False,False,
signal_v0_core_only,1h,2025-07-02 16:00:00+00:00,SKYAIUSDT,-3.532034,0.31983709,0,27,0.015608,False,False,
