variant_id,signal_id,horizon,direction_variant,guard_variant,bucket0_lower_leg_exposure_fraction,dropped_timestamp_count,dropped_timestamp_fraction
signal_v0_core_only__1h__original_no_guard,signal_v0_core_only,1h,original,no_guard,0.0,0,0.0
signal_v0_core_only__1h__original_bucket0_guard,signal_v0_core_only,1h,original,bucket0_guard,0.10837232371813926,0,0.0
signal_v0_core_only__1h__inverted_no_guard,signal_v0_core_only,1h,inverted,no_guard,0.0,0,0.0
signal_v0_core_only__1h__inverted_bucket0_guard,signal_v0_core_only,1h,inverted,bucket0_guard,0.10837232371813926,0,0.0
signal_v0_core_only__4h__original_no_guard,signal_v0_core_only,4h,original,no_guard,0.0,0,0.0
signal_v0_core_only__4h__original_bucket0_guard,signal_v0_core_only,4h,original,bucket0_guard,0.10837232371813926,0,0.0
signal_v0_core_only__4h__inverted_no_guard,signal_v0_core_only,4h,inverted,no_guard,0.0,0,0.0
signal_v0_core_only__4h__inverted_bucket0_guard,signal_v0_core_only,4h,inverted,bucket0_guard,0.10837232371813926,0,0.0
signal_v0_core_only__24h__original_no_guard,signal_v0_core_only,24h,original,no_guard,0.0,12,0.0006849315068493151
signal_v0_core_only__24h__original_bucket0_guard,signal_v0_core_only,24h,original,bucket0_guard,0.10829268051966841,12,0.0006849315068493151
signal_v0_core_only__24h__inverted_no_guard,signal_v0_core_only,24h,inverted,no_guard,0.0,12,0.0006849315068493151
signal_v0_core_only__24h__inverted_bucket0_guard,signal_v0_core_only,24h,inverted,bucket0_guard,0.10829268051966841,12,0.0006849315068493151
signal_v0_core_only__72h__original_no_guard,signal_v0_core_only,72h,original,no_guard,0.0,60,0.003424657534246575
signal_v0_core_only__72h__original_bucket0_guard,signal_v0_core_only,72h,original,bucket0_guard,0.10797410772578502,60,0.003424657534246575
signal_v0_core_only__72h__inverted_no_guard,signal_v0_core_only,72h,inverted,no_guard,0.0,60,0.003424657534246575
signal_v0_core_only__72h__inverted_bucket0_guard,signal_v0_core_only,72h,inverted,bucket0_guard,0.10797410772578502,60,0.003424657534246575
signal_v0_pm_full_structured__1h__original_no_guard,signal_v0_pm_full_structured,1h,original,no_guard,0.0,0,0.0
