variant_id,signal_id,horizon,direction_variant,guard_variant,mean_rankic,median_rankic,rankic_t_stat,rankic_positive_rate,mean_spread,median_spread,winsorized_spread_1_99,winsorized_spread_5_95,tail_trim_spread,spread_hit_rate,cumulative_spread_return,max_drawdown,n_timestamps,n_observations,upper_bucket_count_avg,lower_bucket_count_avg,bucket0_lower_leg_exposure_fraction,dropped_timestamp_count,dropped_timestamp_fraction
signal_v0_core_only__1h__original_no_guard,signal_v0_core_only,1h,original,no_guard,0.03248161911554033,0.033902323376007584,17.571396137996334,0.5549657534246575,-0.0003055965123666366,0.00015278108346727937,-0.0002855097601184556,-0.00022625819566133074,-0.00030262483453819775,0.5083333333333333,-5.354050896663473,-5.645773269531736,17520,753360,8.6,8.6,0.5803069281365514,0,0.0
signal_v0_core_only__1h__original_bucket0_guard,signal_v0_core_only,1h,original,bucket0_guard,0.03248161911554033,0.033902323376007584,17.571396137996334,0.5549657534246575,-7.512422906025096e-05,0.00015127782786259337,-6.693041966970422e-05,-2.9961777075714468e-05,-7.798975967093391e-05,0.5150684931506849,-1.3161764931355968,-1.660660102216335,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_core_only__1h__inverted_no_guard,signal_v0_core_only,1h,inverted,no_guard,-0.03248161911554033,-0.033902323376007584,-17.571396137996334,0.4448630136986301,0.0003055965123666366,-0.00015278108346727937,0.000285509760118457,0.00022625819566133036,0.0003026248345381973,0.49166666666666664,5.354050896663473,-0.5154929861210877,17520,753360,8.6,8.6,0.5803069281365514,0,0.0
signal_v0_core_only__1h__inverted_bucket0_guard,signal_v0_core_only,1h,inverted,bucket0_guard,-0.03248161911554033,-0.033902323376007584,-17.571396137996334,0.4448630136986301,0.0003177104016763865,-0.00010156236977463108,0.0002894529642584879,0.00021843879755357188,0.000313565584885408,0.49275114155251143,5.566286237370291,-0.5462585009160983,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_core_only__4h__original_no_guard,signal_v0_core_only,4h,original,no_guard,0.03850180722322524,0.04102381733960681,20.797886516924546,0.5662100456621004,-0.0012316541448586175,-5.5030915945726566e-05,-0.0010816982468807872,-0.0008344544177724928,-0.0012090241468227377,0.4985159817351598,-21.578580617922977,-22.882993324589002,17520,753360,8.6,8.6,0.5803069281365514,0,0.0
signal_v0_core_only__4h__original_bucket0_guard,signal_v0_core_only,4h,original,bucket0_guard,0.03850180722322524,0.04102381733960681,20.797886516924546,0.5662100456621004,-0.00045908386580238795,0.00011639317467839133,-0.0004033070708704489,-0.00025224806311264483,-0.00045612161956282637,0.5039383561643835,-8.043149328857837,-9.429458909659004,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_core_only__4h__inverted_no_guard,signal_v0_core_only,4h,inverted,no_guard,-0.03850180722322524,-0.04102381733960681,-20.797886516924546,0.4333904109589041,0.0012316541448586175,5.5030915945726566e-05,0.0010816982468807893,0.000834454417772492,0.0012090241468227386,0.5014840182648402,21.578580617922977,-2.5102454970149854,17520,753360,8.6,8.6,0.5803069281365514,0,0.0
signal_v0_core_only__4h__inverted_bucket0_guard,signal_v0_core_only,4h,inverted,bucket0_guard,-0.03850180722322524,-0.04102381733960681,-20.797886516924546,0.4333904109589041,0.0012484524220254488,-0.00010270268121842377,0.001079246228458121,0.0008272729636386433,0.0012227635046946396,0.49674657534246575,21.872886433885864,-2.3871103121526165,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_core_only__24h__original_no_guard,signal_v0_core_only,24h,original,no_guard,0.04162818857821717,0.04273913445893941,22.60436261813649,0.5661983093442997,-0.006741653520271331,-0.0007745925103673969,-0.006330915979035796,-0.005033811344502204,-0.006731488471549881,0.4889764679003884,-118.03286983291045,-121.46312105116235,17508,752844,8.6,8.6,0.5798788459447706,12,0.0006849315068493151
signal_v0_core_only__24h__original_bucket0_guard,signal_v0_core_only,24h,original,bucket0_guard,0.04162818857821717,0.04273913445893941,22.60436261813649,0.5661983093442997,-0.0033722894905387235,-0.00029257914760993974,-0.002967843982072688,-0.0022346765638658903,-0.0033542352835226217,0.49480237605665983,-59.04204440035197,-65.15721342423205,17508,752844,8.6,8.6,0.0,12,0.0006849315068493151
signal_v0_core_only__24h__inverted_no_guard,signal_v0_core_only,24h,inverted,no_guard,-0.04162818857821717,-0.04273913445893941,-22.60436261813649,0.4335161069225497,0.006741653520271331,0.0007745925103673969,0.006330915979035796,0.005033811344502197,0.006731488471549875,0.5110235320996116,118.03286983291045,-9.909697886513825,17508,752844,8.6,8.6,0.5798788459447706,12,0.0006849315068493151
signal_v0_core_only__24h__inverted_bucket0_guard,signal_v0_core_only,24h,inverted,bucket0_guard,-0.04162818857821717,-0.04273913445893941,-22.60436261813649,0.4335161069225497,0.006668696699051279,0.000497390939928745,0.0063083298660636345,0.00486672693268186,0.006658302569375657,0.5067968928489833,116.75554180698978,-11.23909533860563,17508,752844,8.6,8.6,0.0,12,0.0006849315068493151
signal_v0_core_only__72h__original_no_guard,signal_v0_core_only,72h,original,no_guard,0.033777669710599326,0.030049261083743836,18.09045170648939,0.5467926689576174,-0.016623464398334297,-0.0031981616961080546,-0.016289187157764062,-0.014085018607480966,-0.016610485963130042,0.474971363115693,-290.24568839491684,-303.8259087958704,17460,750780,8.6,8.6,0.5781665171776472,60,0.003424657534246575
signal_v0_core_only__72h__original_bucket0_guard,signal_v0_core_only,72h,original,bucket0_guard,0.033777669710599326,0.030049261083743836,18.09045170648939,0.5467926689576174,-0.008788899445865356,-0.0016932118126673258,-0.008187258067094838,-0.006465598877953644,-0.008767958097253928,0.48287514318442154,-153.45418432480912,-167.92229245207756,17460,750780,8.6,8.6,0.0,60,0.003424657534246575
signal_v0_core_only__72h__inverted_no_guard,signal_v0_core_only,72h,inverted,no_guard,-0.033777669710599326,-0.030049261083743836,-18.09045170648939,0.4526918671248568,0.016623464398334297,0.0031981616961080546,0.016289187157764062,0.014085018607480963,0.016610485963130046,0.525028636884307,290.24568839491684,-36.04945697872596,17460,750780,8.6,8.6,0.5781665171776472,60,0.003424657534246575
signal_v0_core_only__72h__inverted_bucket0_guard,signal_v0_core_only,72h,inverted,bucket0_guard,-0.033777669710599326,-0.030049261083743836,-18.09045170648939,0.4526918671248568,0.017158604425695372,0.003467747020002759,0.016863683760776675,0.014642387176732838,0.01714346212844508,0.5266323024054983,299.5892332726412,-38.33667908727835,17460,750780,8.6,8.6,0.0,60,0.003424657534246575
