variant_id,signal_id,horizon,direction_variant,guard_variant,mean_rankic,median_spread,bucket0_lower_leg_exposure_fraction,rankic_pass,median_spread_pass,bucket0_guard_pass,overall_pass,pass_status
signal_v0_core_only__1h__original_no_guard,signal_v0_core_only,1h,original,no_guard,0.0324816191155403,0.0001527810834672,0.0,True,True,True,True,PASS
signal_v0_core_only__1h__original_bucket0_guard,signal_v0_core_only,1h,original,bucket0_guard,0.0324816191155403,0.0001512778278625,0.1083723237181392,True,True,True,True,PASS
signal_v0_core_only__1h__inverted_no_guard,signal_v0_core_only,1h,inverted,no_guard,-0.0324816191155403,-0.0001527810834672,0.0,False,False,True,False,FAIL
signal_v0_core_only__1h__inverted_bucket0_guard,signal_v0_core_only,1h,inverted,bucket0_guard,-0.0324816191155403,-0.0001015623697746,0.1083723237181392,False,False,True,False,FAIL
signal_v0_core_only__4h__original_no_guard,signal_v0_core_only,4h,original,no_guard,0.0385018072232252,-5.5030915945726566e-05,0.0,True,False,True,False,FAIL
signal_v0_core_only__4h__original_bucket0_guard,signal_v0_core_only,4h,original,bucket0_guard,0.0385018072232252,0.0001163931746783,0.1083723237181392,True,True,True,True,PASS
signal_v0_core_only__4h__inverted_no_guard,signal_v0_core_only,4h,inverted,no_guard,-0.0385018072232252,5.5030915945726566e-05,0.0,False,True,True,False,FAIL
signal_v0_core_only__4h__inverted_bucket0_guard,signal_v0_core_only,4h,inverted,bucket0_guard,-0.0385018072232252,-0.0001027026812184,0.1083723237181392,False,False,True,False,FAIL
signal_v0_core_only__24h__original_no_guard,signal_v0_core_only,24h,original,no_guard,0.0416281885782171,-0.0007745925103673,0.0,True,False,True,False,FAIL
signal_v0_core_only__24h__original_bucket0_guard,signal_v0_core_only,24h,original,bucket0_guard,0.0416281885782171,-0.0002925791476099,0.1082926805196684,True,False,True,False,FAIL
signal_v0_core_only__24h__inverted_no_guard,signal_v0_core_only,24h,inverted,no_guard,-0.0416281885782171,0.0007745925103673,0.0,False,True,True,False,FAIL
signal_v0_core_only__24h__inverted_bucket0_guard,signal_v0_core_only,24h,inverted,bucket0_guard,-0.0416281885782171,0.0004973909399287,0.1082926805196684,False,True,True,False,FAIL
signal_v0_core_only__72h__original_no_guard,signal_v0_core_only,72h,original,no_guard,0.0337776697105993,-0.003198161696108,0.0,True,False,True,False,FAIL
signal_v0_core_only__72h__original_bucket0_guard,signal_v0_core_only,72h,original,bucket0_guard,0.0337776697105993,-0.0016932118126673,0.107974107725785,True,False,True,False,FAIL
signal_v0_core_only__72h__inverted_no_guard,signal_v0_core_only,72h,inverted,no_guard,-0.0337776697105993,0.003198161696108,0.0,False,True,True,False,FAIL
signal_v0_core_only__72h__inverted_bucket0_guard,signal_v0_core_only,72h,inverted,bucket0_guard,-0.0337776697105993,0.0034677470200027,0.107974107725785,False,True,True,False,FAIL
signal_v0_pm_full_structured__1h__original_no_guard,signal_v0_pm_full_structured,1h,original,no_guard,0.0314408839696373,0.0001017814622631,0.0,True,True,True,True,PASS
signal_v0_pm_full_structured__1h__original_bucket0_guard,signal_v0_pm_full_structured,1h,original,bucket0_guard,0.0314408839696373,0.0001205296813836,0.1083635355031355,True,True,True,True,PASS
signal_v0_pm_full_structured__1h__inverted_no_guard,signal_v0_pm_full_structured,1h,inverted,no_guard,-0.0314408839696373,-0.0001017814622631,0.0,False,False,True,False,FAIL
signal_v0_pm_full_structured__1h__inverted_bucket0_guard,signal_v0_pm_full_structured,1h,inverted,bucket0_guard,-0.0314408839696373,-9.259362018115032e-05,0.1083635355031355,False,False,True,False,FAIL
signal_v0_pm_full_structured__4h__original_no_guard,signal_v0_pm_full_structured,4h,original,no_guard,0.0365226558042667,-4.6856622768619294e-05,0.0,True,False,True,False,FAIL
signal_v0_pm_full_structured__4h__original_bucket0_guard,signal_v0_pm_full_structured,4h,original,bucket0_guard,0.0365226558042667,6.474133397125585e-05,0.1083635355031355,True,True,True,True,PASS
signal_v0_pm_full_structured__4h__inverted_no_guard,signal_v0_pm_full_structured,4h,inverted,no_guard,-0.0365226558042667,4.6856622768619294e-05,0.0,False,True,True,False,FAIL
signal_v0_pm_full_structured__4h__inverted_bucket0_guard,signal_v0_pm_full_structured,4h,inverted,bucket0_guard,-0.0365226558042667,2.506728107338086e-06,0.1083635355031355,False,True,True,False,FAIL
signal_v0_pm_full_structured__24h__original_no_guard,signal_v0_pm_full_structured,24h,original,no_guard,0.0378493566120586,-0.0011997915380102,0.0,True,False,True,False,FAIL
signal_v0_pm_full_structured__24h__original_bucket0_guard,signal_v0_pm_full_structured,24h,original,bucket0_guard,0.0378493566120586,-0.0008030302931243,0.1082838923046647,True,False,True,False,FAIL
signal_v0_pm_full_structured__24h__inverted_no_guard,signal_v0_pm_full_structured,24h,inverted,no_guard,-0.0378493566120586,0.0011997915380102,0.0,False,True,True,False,FAIL
signal_v0_pm_full_structured__24h__inverted_bucket0_guard,signal_v0_pm_full_structured,24h,inverted,bucket0_guard,-0.0378493566120586,0.0006984335280387,0.1082838923046647,False,True,True,False,FAIL
signal_v0_pm_full_structured__72h__original_no_guard,signal_v0_pm_full_structured,72h,original,no_guard,0.0267261786215832,-0.0043240904014635,0.0,True,False,True,False,FAIL
signal_v0_pm_full_structured__72h__original_bucket0_guard,signal_v0_pm_full_structured,72h,original,bucket0_guard,0.0267261786215832,-0.003449751622338,0.1079653195107813,True,False,True,False,FAIL
signal_v0_pm_full_structured__72h__inverted_no_guard,signal_v0_pm_full_structured,72h,inverted,no_guard,-0.0267261786215832,0.0043240904014635,0.0,False,True,True,False,FAIL
signal_v0_pm_full_structured__72h__inverted_bucket0_guard,signal_v0_pm_full_structured,72h,inverted,bucket0_guard,-0.0267261786215832,0.0042502929013238,0.1079653195107813,False,True,True,False,FAIL
signal_v0_family_balanced_diagnostic__1h__original_no_guard,signal_v0_family_balanced_diagnostic,1h,original,no_guard,0.0302513341555248,4.22598672262124e-05,0.0,True,True,True,True,PASS
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,1h,original,bucket0_guard,0.0302513341555248,8.128295055801507e-05,0.1083635355031355,True,True,True,True,PASS
