variant_id,fee_bps,slippage_bps,total_cost_bps,gross_mean_spread,gross_median_spread,estimated_cost_per_rebalance,net_mean_spread,net_median_spread,net_hit_rate,net_cumulative_spread,cost_drag_fraction,survives_cost_flag
signal_v0_core_only__1h__original_bucket0_guard,2,1,3,-7.512422906025096e-05,0.00015127782786259337,8.57142857142857e-05,-0.00016083851477453664,6.556354214830767e-05,0.5061643835616438,-2.817890778849882,1.1409672589856639,True
signal_v0_core_only__1h__original_bucket0_guard,2,5,7,-7.512422906025096e-05,0.00015127782786259337,0.00019999999999999998,-0.00027512422906025093,-4.872217213740661e-05,0.4945776255707763,-4.820176493135596,2.662256937633216,False
signal_v0_core_only__1h__original_bucket0_guard,2,10,12,-7.512422906025096e-05,0.00015127782786259337,0.0003428571428571428,-0.00041798137191739385,-0.00019157931499454942,0.48184931506849316,-7.32303363599274,4.5638690359426555,False
signal_v0_core_only__1h__original_bucket0_guard,2,25,27,-7.512422906025096e-05,0.00015127782786259337,0.0007714285714285715,-0.0008465528004888225,-0.0006201507435659781,0.4398401826484018,-14.831605064564169,10.268705330870977,False
signal_v0_core_only__1h__original_bucket0_guard,5,1,6,-7.512422906025096e-05,0.00015127782786259337,0.0001714285714285714,-0.00024655280048882234,-2.0150743565978024e-05,0.49788812785388126,-4.3196050645641675,2.2819345179713277,False
signal_v0_core_only__1h__original_bucket0_guard,5,5,10,-7.512422906025096e-05,0.00015127782786259337,0.0002857142857142857,-0.0003608385147745366,-0.0001344364578516923,0.4872716894977169,-6.321890778849881,3.80322419661888,False
signal_v0_core_only__1h__original_bucket0_guard,5,10,15,-7.512422906025096e-05,0.00015127782786259337,0.00042857142857142855,-0.0005036956576316794,-0.0002772936007088352,0.47328767123287674,-8.824747921707024,5.70483629492832,False
signal_v0_core_only__1h__original_bucket0_guard,5,25,30,-7.512422906025096e-05,0.00015127782786259337,0.0008571428571428571,-0.000932267086203108,-0.0007058650292802637,0.43139269406392694,-16.33331935027845,11.40967258985664,False
signal_v0_core_only__1h__original_bucket0_guard,10,1,11,-7.512422906025096e-05,0.00015127782786259337,0.00031428571428571427,-0.0003894099433459653,-0.0001630078864231209,0.4843036529680365,-6.822462207421312,4.183546616280768,False
signal_v0_core_only__1h__original_bucket0_guard,10,5,15,-7.512422906025096e-05,0.00015127782786259337,0.00042857142857142855,-0.0005036956576316794,-0.0002772936007088352,0.47328767123287674,-8.824747921707024,5.70483629492832,False
signal_v0_core_only__1h__original_bucket0_guard,10,10,20,-7.512422906025096e-05,0.00015127782786259337,0.0005714285714285714,-0.0006465528004888224,-0.000420150743565978,0.45964611872146116,-11.327605064564167,7.60644839323776,False
signal_v0_core_only__1h__original_bucket0_guard,10,25,35,-7.512422906025096e-05,0.00015127782786259337,0.001,-0.001075124229060251,-0.0008487221721374066,0.41797945205479453,-18.836176493135596,13.311284688166083,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,2,1,3,-0.0001310971809016209,0.00012052968138361411,8.57142857142857e-05,-0.0002168114666159066,3.481539566932841e-05,0.5029109589041096,-3.7985368951106837,0.6538224935485696,True
signal_v0_pm_full_structured__1h__original_bucket0_guard,2,5,7,-0.0001310971809016209,0.00012052968138361411,0.00019999999999999998,-0.0003310971809016209,-7.947031861638588e-05,0.4925228310502283,-5.800822609396398,1.525585818279996,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,2,10,12,-0.0001310971809016209,0.00012052968138361411,0.0003428571428571428,-0.00047395432375876373,-0.0002223274614735287,0.47876712328767124,-8.30367975225354,2.6152899741942783,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,2,25,27,-0.0001310971809016209,0.00012052968138361411,0.0007714285714285715,-0.0009025257523301923,-0.0006508988900449573,0.4351598173515982,-15.812251180824969,5.8844024419371275,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,5,1,6,-0.0001310971809016209,0.00012052968138361411,0.0001714285714285714,-0.00030252575233019233,-5.089889004495729e-05,0.49560502283105023,-5.3002511808249695,1.3076449870971392,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,5,5,10,-0.0001310971809016209,0.00012052968138361411,0.0002857142857142857,-0.00041681146661590656,-0.00016518460433067157,0.4839041095890411,-7.302536895110683,2.1794083118285656,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,5,10,15,-0.0001310971809016209,0.00012052968138361411,0.00042857142857142855,-0.0005596686094730494,-0.00030804174718781444,0.4696917808219178,-9.805394037967826,3.2691124677428482,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,5,25,30,-0.0001310971809016209,0.00012052968138361411,0.0008571428571428571,-0.0009882400380444778,-0.000736613175759243,0.4251712328767123,-17.31396546653925,6.5382249354856965,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,10,1,11,-0.0001310971809016209,0.00012052968138361411,0.00031428571428571427,-0.00044538289518733515,-0.00019375603290210016,0.48133561643835615,-7.803108323682112,2.397349143011422,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,10,5,15,-0.0001310971809016209,0.00012052968138361411,0.00042857142857142855,-0.0005596686094730494,-0.00030804174718781444,0.4696917808219178,-9.805394037967826,3.2691124677428482,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,10,10,20,-0.0001310971809016209,0.00012052968138361411,0.0005714285714285714,-0.0007025257523301924,-0.00045089889004495726,0.4557077625570776,-12.30825118082497,4.358816623657131,False
signal_v0_pm_full_structured__1h__original_bucket0_guard,10,25,35,-0.0001310971809016209,0.00012052968138361411,0.001,-0.0011310971809016211,-0.0008794703186163859,0.4098744292237443,-19.8168226093964,7.62792909139998,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,2,1,3,-0.00010326235112723932,8.128295055801507e-05,9e-05,-0.0001932623511272392,-8.717049441984935e-06,0.4988013698630137,-3.3859563917492306,0.8715664423435652,False
