variant_id,participation_rate,median_capacity_usd,p10_capacity_usd,p5_capacity_usd,min_capacity_usd
signal_v0_core_only__1h__original_no_guard,0.001,66048.98514906451,17083.030226803003,12598.2701066295,0.0
signal_v0_core_only__1h__original_no_guard,0.005,330244.92574532254,85415.15113401502,62991.3505331475,0.0
signal_v0_core_only__1h__original_no_guard,0.01,660489.8514906451,170830.30226803003,125982.701066295,0.0
signal_v0_core_only__1h__original_no_guard,0.02,1320979.7029812902,341660.60453606007,251965.40213259,0.0
signal_v0_core_only__1h__original_no_guard,0.05,3302449.2574532256,854151.5113401501,629913.505331475,0.0
signal_v0_core_only__1h__original_bucket0_guard,0.001,45735.6010397755,13690.8632990278,10292.98372421098,0.0
signal_v0_core_only__1h__original_bucket0_guard,0.005,228678.00519887748,68454.316495139,51464.9186210549,0.0
signal_v0_core_only__1h__original_bucket0_guard,0.01,457356.01039775496,136908.632990278,102929.8372421098,0.0
signal_v0_core_only__1h__original_bucket0_guard,0.02,914712.0207955099,273817.265980556,205859.6744842196,0.0
signal_v0_core_only__1h__original_bucket0_guard,0.05,2286780.051988775,684543.1649513901,514649.1862105491,0.0
signal_v0_pm_full_structured__1h__original_no_guard,0.001,57843.52946842685,16316.808080173401,12328.0429446225,0.0
signal_v0_pm_full_structured__1h__original_no_guard,0.005,289217.64734213427,81584.040400867,61640.214723112505,0.0
signal_v0_pm_full_structured__1h__original_no_guard,0.01,578435.2946842685,163168.080801734,123280.42944622501,0.0
signal_v0_pm_full_structured__1h__original_no_guard,0.02,1156870.589368537,326336.161603468,246560.85889245002,0.0
signal_v0_pm_full_structured__1h__original_no_guard,0.05,2892176.4734213427,815840.4040086701,616402.1472311252,0.0
signal_v0_family_balanced_diagnostic__1h__original_no_guard,0.001,58764.97294342131,16344.470234980621,12247.198556431002,0.0
signal_v0_family_balanced_diagnostic__1h__original_no_guard,0.005,293824.8647171065,81722.35117490312,61235.99278215501,0.0
signal_v0_family_balanced_diagnostic__1h__original_no_guard,0.01,587649.729434213,163444.70234980623,122471.98556431002,0.0
signal_v0_family_balanced_diagnostic__1h__original_no_guard,0.02,1175299.458868426,326889.40469961247,244943.97112862003,0.0
signal_v0_family_balanced_diagnostic__1h__original_no_guard,0.05,2938248.647171065,817223.5117490311,612359.92782155,0.0
