symbol,has_liquidity_data,status
1000PEPEUSDT,True,AVAILABLE
ADAUSDT,True,AVAILABLE
ALLOUSDT,True,AVAILABLE
ARBUSDT,True,AVAILABLE
AVAXUSDT,True,AVAILABLE
BCHUSDT,True,AVAILABLE
BEATUSDT,True,AVAILABLE
BNBUSDT,True,AVAILABLE
BTCUSDT,True,AVAILABLE
CRVUSDT,True,AVAILABLE
DOGEUSDT,True,AVAILABLE
DOTUSDT,True,AVAILABLE
ENAUSDT,True,AVAILABLE
ETHUSDT,True,AVAILABLE
FILUSDT,True,AVAILABLE
HMSTRUSDT,True,AVAILABLE
HOMEUSDT,True,AVAILABLE
HUSDT,True,AVAILABLE
HYPEUSDT,True,AVAILABLE
INJUSDT,True,AVAILABLE
LABUSDT,True,AVAILABLE
LINKUSDT,True,AVAILABLE
LTCUSDT,True,AVAILABLE
NEARUSDT,True,AVAILABLE
ONDOUSDT,True,AVAILABLE
PAXGUSDT,True,AVAILABLE
PLAYUSDT,True,AVAILABLE
SIRENUSDT,True,AVAILABLE
SKYAIUSDT,True,AVAILABLE
SOLUSDT,True,AVAILABLE
SPACEUSDT,True,AVAILABLE
SUIUSDT,True,AVAILABLE
TAOUSDT,True,AVAILABLE
TONUSDT,True,AVAILABLE
TRUMPUSDT,True,AVAILABLE
TRXUSDT,True,AVAILABLE
UNIUSDT,True,AVAILABLE
WLDUSDT,True,AVAILABLE
XLMUSDT,True,AVAILABLE
XMRUSDT,True,AVAILABLE
XPLUSDT,True,AVAILABLE
XRPUSDT,True,AVAILABLE
ZECUSDT,True,AVAILABLE
