metric,value,pass
nonzero_row_count,634888,True
timestamp_range_start,2024-06-01 01:00:00+00:00,True
timestamp_range_end,2026-06-13 00:00:00+00:00,True
timestamp_overlap_with_signal_panel,True,True
symbol_overlap_count,43,True
symbol_overlap_fraction,1.0,True
volume_missing_rate,0.0,True
volume_zero_rate,4.7252428774839026e-05,True
quote_volume_missing_rate,0.0,True
quote_volume_zero_rate,4.7252428774839026e-05,True
notional_volume_missing_rate,0.0,True
notional_volume_zero_rate,4.7252428774839026e-05,True
duplicate_timestamp_symbol,0,True
notional_volume_median,5292302.437735,True
notional_volume_p5,170962.54413820003,True
notional_volume_p95,227499709.81801382,True
notional_volume_max_median_ratio,2736.2164003610555,False
