symbol,quote_volume,notional_volume,participation_capacity_0_5pct,participation_capacity_1pct,participation_capacity_5pct,liquidity_warning,zero_volume_flag,outlier_volume_flag
NXPCUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HBARUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FETUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
DASHUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BIOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TRBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BABYUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SPELLUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BCHUSDT,4666983.910965,4666983.910965,23334.919554825003,46669.839109650005,233349.19554825002,OK,False,False
CAKEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
CHIPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PUMPBTCUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LDOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
INJUSDT,2573326.3216,2573326.3216,12866.631608,25733.263216,128666.31608,OK,False,False
MONUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ONTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1000RATSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
DUSKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ETCUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MOVEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
2ZUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
POPCATUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
KERNELUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
NOMUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
UNIUSDT,3703058.465,3703058.465,18515.292325,37030.58465,185152.92325,OK,False,False
GUNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ZENUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ASTERUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
NMRUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
XLMUSDT,2240101.3058,2240101.3058,11200.506529000002,22401.013058000004,112005.06529000001,OK,False,False
WLDUSDT,6385964.86935,6385964.86935,31929.824346750003,63859.64869350001,319298.2434675,OK,False,False
BIRBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1MBABYDOGEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MAGICUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
RIVERUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
STOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
STXUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
EIGENUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MEMEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
JASMYUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BNBUSDT,15482456.0625,15482456.0625,77412.2803125,154824.560625,774122.8031250001,OK,False,False
ARKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ALPINEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
0GUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AVNTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PIPPINUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SAHARAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ZILUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
DIAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TRXUSDT,3025274.835105,3025274.835105,15126.374175525001,30252.748351050002,151263.74175525,OK,False,False
SANDUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LIGHTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BULLAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AVAXUSDT,8403326.524,8403326.524,42016.632620000004,84033.26524000001,420166.3262,OK,False,False
AGLDUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
REDUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BOMEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BREVUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ALGOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TRUTHUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
IPUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
RAREUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
STRKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
REZUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ONDOUSDT,3356903.7216100004,3356903.7216100004,16784.518608050003,33569.037216100005,167845.18608050002,OK,False,False
NEARUSDT,4633702.9605,4633702.9605,23168.5148025,46337.029605,231685.148025,OK,False,False
XRPUSDT,39719210.576189995,39719210.576189995,198596.05288094998,397192.10576189996,1985960.5288095,OK,False,True
SENTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PROMPTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BTCUSDT,447335430.52586,447335430.52586,2236677.1526293,4473354.3052586,22366771.526293002,OK,False,True
WCTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TNSRUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
GALAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
OPENUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
JELLYJELLYUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
FILUSDT,4440258.2806,4440258.2806,22201.291403000003,44402.582806000006,222012.91403,OK,False,False
SPKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ERAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ETHUSDT,342464645.859345,342464645.859345,1712323.2292967252,3424646.4585934505,17123232.292967252,OK,False,True
AAVEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TONUSDT,2354534.7161499998,2354534.7161499998,11772.673580749999,23545.347161499998,117726.7358075,OK,False,False
ZECUSDT,1164074.396625,1164074.396625,5820.371983125,11640.74396625,58203.719831250004,OK,False,False
SUIUSDT,17544456.633585,17544456.633585,87722.283167925,175444.56633585,877222.83167925,OK,False,False
CFXUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
BIGTIMEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MASKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1000PEPEUSDT,24783875.606340647,24783875.606340647,123919.37803170324,247838.75606340647,1239193.7803170325,OK,False,False
SOLUSDT,99999178.4543,99999178.4543,499995.8922715,999991.784543,4999958.922715,OK,False,True
PROVEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1000BONKUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
LISTAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TAOUSDT,4410702.29314,4410702.29314,22053.511465699998,44107.022931399995,220535.114657,OK,False,False
AXSUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
RESOLVUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AUCTIONUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
XPINUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
GIGGLEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AIOTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
STBLUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ZORAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
API3USDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
RUNEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
COOKIEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
DOGEUSDT,29839230.067475,29839230.067475,149196.150337375,298392.30067475,1491961.50337375,OK,False,False
PAXGUSDT,2414255.12119,2414255.12119,12071.275605949999,24142.551211899998,120712.7560595,OK,False,False
ADAUSDT,10721341.84485,10721341.84485,53606.70922425,107213.4184485,536067.0922425,OK,False,False
LAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
GASUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AIGENSYNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TURBOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
XAUTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
WLFIUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
SOONUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
UMAUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
AERGOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
MEWUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ANIMEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
ALCHUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
OPNUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
HYPEUSDT,13318961.264145,13318961.264145,66594.806320725,133189.61264145,665948.0632072501,OK,False,False
KATUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
TRUSTUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
KAITOUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
APEUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
1000SHIBUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
PENGUUSDT,0.0,0.0,0.0,0.0,0.0,LOW_LIQUIDITY,True,False
