symbol,side_label,diagnostic_weight,signal_value,signal_rank,notional_volume,candidate_id,weight_type,gross_exposure
BCHUSDT,UPPER_SIDE,0.0625,1.0868337657921086,1,4666983.910965,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
INJUSDT,UPPER_SIDE,0.0625,1.0564296922618488,2,2573326.3216,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
UNIUSDT,UPPER_SIDE,0.0625,0.9521249928017904,3,3703058.465,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
XLMUSDT,UPPER_SIDE,0.0625,0.9278586653613172,4,2240101.3058,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
WLDUSDT,UPPER_SIDE,0.0625,0.9058043042290497,5,6385964.86935,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
BNBUSDT,UPPER_SIDE,0.0625,0.7919236536686802,6,15482456.0625,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
TRXUSDT,UPPER_SIDE,0.0625,0.7469556015100988,7,3025274.835105,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
AVAXUSDT,UPPER_SIDE,0.0625,0.7291854403669725,8,8403326.524,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
ALLOUSDT,LOWER_SIDE,-0.0625,-1.701413690933871,36,249670.01338999998,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
TRUMPUSDT,LOWER_SIDE,-0.0625,-2.3829864770120084,37,5933998.13838,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
SPACEUSDT,LOWER_SIDE,-0.0625,-2.518888304483549,38,297038.741636,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
SKYAIUSDT,LOWER_SIDE,-0.0625,-2.533517872383639,39,156986.46412,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
BEATUSDT,LOWER_SIDE,-0.0625,-2.5664587792556945,40,1549656.6778,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
HMSTRUSDT,LOWER_SIDE,-0.0625,-3.577335021560869,41,233681.0053405,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
PLAYUSDT,LOWER_SIDE,-0.0625,-3.9292689668359397,42,212514.56526,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
HUSDT,LOWER_SIDE,-0.0625,-4.695291922612546,43,959246.86214,signal_v0_core_only__1h__original_no_guard,DIAGNOSTIC_PAPER_ONLY,0.0625
