signal_name,horizon,reference_mean_rank_ic,vectorized_mean_rank_ic,diff_mean_rank_ic,reference_t_stat,vectorized_t_stat,diff_t_stat,reference_n_periods,vectorized_n_periods,max_ts_rankic_diff,n_ts_diff_gt_1e12,suspected_cause
signal_v0_core_only,1h,0.0324816920955058,0.032482,3.079044941095566e-07,17.571349657300626,17.5713,4.965730062522766e-05,17520,17520,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_core_only,4h,0.0385071266977691,0.038507,1.2669776913720734e-07,20.800007846451923,20.8,7.84645192197786e-06,17520,17520,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_core_only,24h,0.0416275169475299,0.041628,4.830524701002203e-07,22.595535714629065,22.5955,3.571462906393208e-05,17508,17508,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_core_only,72h,0.0337777350423875,0.033778,2.649576124683084e-07,18.058883665105892,18.0589,1.633489410579614e-05,17460,17460,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_pm_full_structured,1h,0.0314403020364846,0.03144,3.020364846562096e-07,17.431550499779107,17.4316,4.950022089289519e-05,17520,17520,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_pm_full_structured,4h,0.0365285865822815,0.036529,4.134177184339505e-07,20.197413761913253,20.1974,1.3761913255194712e-05,17520,17520,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_pm_full_structured,24h,0.0378488827433019,0.037849,1.172566980733869e-07,21.06884271875538,21.0688,4.271875538108816e-05,17508,17508,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_pm_full_structured,72h,0.0267261623840546,0.026726,1.6238405465066053e-07,14.682293318090483,14.6823,6.68190951458314e-06,17460,17460,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_family_balanced_diagnostic,1h,0.0302516284356846,0.030252,3.715643153469339e-07,17.133519397365472,17.1335,1.9397365470297245e-05,17520,17520,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_family_balanced_diagnostic,4h,0.0352121025121051,0.035212,1.0251210511708077e-07,19.915171227384068,19.9152,2.877261593070557e-05,17520,17520,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_family_balanced_diagnostic,24h,0.0339549164989921,0.033955,8.35010078650833e-08,19.48892860641092,19.4889,2.860641091828597e-05,17508,17508,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
signal_v0_family_balanced_diagnostic,72h,0.0246282206824366,0.024628,2.206824366648985e-07,14.019383382021138,14.0194,1.6617978861432903e-05,17460,17460,N/A (summary only),N/A (summary only),H4 initial: ordinal rank instead of average rank for ties; H4-R fix: scipy-compatible average rank
