month,asof_time,universe_symbols,bars_symbols,intersection,missing_from_bars,coverage_rate
2024-06,2024-06-01T00:00:00Z,50,50,22,28,0.44
2024-07,2024-07-01T00:00:00Z,50,50,24,26,0.48
2024-08,2024-08-01T00:00:00Z,50,50,22,28,0.44
2024-09,2024-09-01T00:00:00Z,50,50,24,26,0.48
2024-10,2024-10-01T00:00:00Z,50,50,20,30,0.4
2024-11,2024-11-01T00:00:00Z,50,50,20,30,0.4
2024-12,2024-12-01T00:00:00Z,50,50,22,28,0.44
2025-01,2025-01-01T00:00:00Z,50,50,24,26,0.48
2025-02,2025-02-01T00:00:00Z,50,50,23,27,0.46
2025-03,2025-03-01T00:00:00Z,50,50,23,27,0.46
2025-04,2025-04-01T00:00:00Z,50,50,25,25,0.5
2025-05,2025-05-01T00:00:00Z,50,50,23,27,0.46
2025-06,2025-06-01T00:00:00Z,50,50,24,26,0.48
2025-07,2025-07-01T00:00:00Z,50,50,25,25,0.5
2025-08,2025-08-01T00:00:00Z,50,50,26,24,0.52
2025-09,2025-09-01T00:00:00Z,50,50,24,26,0.48
2025-10,2025-10-01T00:00:00Z,50,50,24,26,0.48
2025-11,2025-11-01T00:00:00Z,50,50,27,23,0.54
2025-12,2025-12-01T00:00:00Z,50,50,26,24,0.52
2026-01,2026-01-01T00:00:00Z,50,50,25,25,0.5
2026-02,2026-02-01T00:00:00Z,50,50,26,24,0.52
2026-03,2026-03-01T00:00:00Z,50,50,27,23,0.54
2026-04,2026-04-01T00:00:00Z,50,50,26,24,0.52
2026-05,2026-05-01T00:00:00Z,50,50,24,26,0.48
2026-06,2026-06-01T00:00:00Z,50,50,33,17,0.66
