symbol,horizon,selected_rows,missing_rows,missing_rate
AIGENSYNUSDT,1,289,1,0.00346
ALLOUSDT,1,289,1,0.00346
BILLUSDT,1,289,1,0.00346
BUSDT,1,289,1,0.00346
EDENUSDT,1,289,1,0.00346
FIDAUSDT,1,289,1,0.00346
LABUSDT,1,289,1,0.00346
NILUSDT,1,289,1,0.00346
PLAYUSDT,1,289,1,0.00346
BSBUSDT,1,1033,1,0.000968
CHIPUSDT,1,1033,1,0.000968
SKYAIUSDT,1,1033,1,0.000968
UBUSDT,1,1033,1,0.000968
DASHUSDT,1,1705,1,0.000587
BEATUSDT,1,2449,1,0.000408
VVVUSDT,1,2497,1,0.0004
BIOUSDT,1,3169,1,0.000316
DOGSUSDT,1,3217,1,0.000311
SAGAUSDT,1,3217,1,0.000311
INJUSDT,1,3961,1,0.000252
TONUSDT,1,4680,1,0.000214
ASTERUSDT,1,5377,1,0.000186
PAXGUSDT,1,5377,1,0.000186
XLMUSDT,1,5377,1,0.000186
ZECUSDT,1,5377,1,0.000186
PENGUUSDT,1,8257,1,0.000121
HYPEUSDT,1,8329,1,0.00012
ONDOUSDT,1,9048,1,0.000111
TRUMPUSDT,1,10513,1,9.5e-05
TAOUSDT,1,11185,1,8.9e-05
UNIUSDT,1,12648,1,7.9e-05
BCHUSDT,1,14904,1,6.7e-05
AAVEUSDT,1,15601,1,6.4e-05
FILUSDT,1,15624,1,6.4e-05
DOTUSDT,1,16344,1,6.1e-05
LTCUSDT,1,17064,1,5.9e-05
SUIUSDT,1,17064,1,5.9e-05
WLDUSDT,1,17064,1,5.9e-05
NEARUSDT,1,17136,1,5.8e-05
1000PEPEUSDT,1,17808,1,5.6e-05
ADAUSDT,1,17808,1,5.6e-05
AVAXUSDT,1,17808,1,5.6e-05
BNBUSDT,1,17808,1,5.6e-05
BTCUSDT,1,17808,1,5.6e-05
DOGEUSDT,1,17808,1,5.6e-05
ENAUSDT,1,17808,1,5.6e-05
ETHUSDT,1,17808,1,5.6e-05
LINKUSDT,1,17808,1,5.6e-05
SOLUSDT,1,17808,1,5.6e-05
XRPUSDT,1,17808,1,5.6e-05
0GUSDT,1,1488,0,0.0
1000BONKUSDT,1,11615,0,0.0
1000FLOKIUSDT,1,5135,0,0.0
1000LUNCUSDT,1,744,0,0.0
1000RATSUSDT,1,2952,0,0.0
1000SATSUSDT,1,5135,0,0.0
1000SHIBUSDT,1,10943,0,0.0
1MBABYDOGEUSDT,1,2208,0,0.0
2ZUSDT,1,720,0,0.0
4USDT,1,720,0,0.0
ACHUSDT,1,744,0,0.0
ACTUSDT,1,3648,0,0.0
AERGOUSDT,1,744,0,0.0
AEVOUSDT,1,1463,0,0.0
AGLDUSDT,1,672,0,0.0
AIOTUSDT,1,744,0,0.0
AIXBTUSDT,1,672,0,0.0
ALCHUSDT,1,1464,0,0.0
ALGOUSDT,1,744,0,0.0
ALPINEUSDT,1,744,0,0.0
ANIMEUSDT,1,744,0,0.0
APEUSDT,1,2208,0,0.0
API3USDT,1,1440,0,0.0
APTUSDT,1,5136,0,0.0
ARBUSDT,1,8831,0,0.0
ARCUSDT,1,2208,0,0.0
ARIAUSDT,1,744,0,0.0
ARKUSDT,1,720,0,0.0
ARUSDT,1,719,0,0.0
ATUSDT,1,744,0,0.0
AUCTIONUSDT,1,720,0,0.0
AVNTUSDT,1,1464,0,0.0
AXSUSDT,1,1416,0,0.0
AZTECUSDT,1,744,0,0.0
BABYUSDT,1,744,0,0.0
BANANAS31USDT,1,2208,0,0.0
BARDUSDT,1,1464,0,0.0
BASEDUSDT,1,744,0,0.0
BASUSDT,1,720,0,0.0
BBUSDT,1,1463,0,0.0
BERAUSDT,1,2880,0,0.0
BIGTIMEUSDT,1,1464,0,0.0
BIRBUSDT,1,744,0,0.0
BLESSUSDT,1,720,0,0.0
BOMEUSDT,1,5135,0,0.0
BREVUSDT,1,672,0,0.0
BROCCOLI714USDT,1,672,0,0.0
BRUSDT,1,720,0,0.0
BULLAUSDT,1,1488,0,0.0
CAKEUSDT,1,2184,0,0.0
CATIUSDT,1,1464,0,0.0
CFXUSDT,1,744,0,0.0
CGPTUSDT,1,672,0,0.0
