factor_id,month,selected_rows,missing_rows,missing_rate
bb_zscore_20h,2024-06,35950,950,0.026426
bb_zscore_20h,2024-07,37200,0,0.0
bb_zscore_20h,2024-08,37200,0,0.0
bb_zscore_20h,2024-09,36000,0,0.0
bb_zscore_20h,2024-10,37200,0,0.0
bb_zscore_20h,2024-11,36000,0,0.0
bb_zscore_20h,2024-12,37200,0,0.0
bb_zscore_20h,2025-01,37200,0,0.0
bb_zscore_20h,2025-02,33600,0,0.0
bb_zscore_20h,2025-03,37200,0,0.0
bb_zscore_20h,2025-04,36000,0,0.0
bb_zscore_20h,2025-05,37200,0,0.0
bb_zscore_20h,2025-06,36000,0,0.0
bb_zscore_20h,2025-07,37200,0,0.0
bb_zscore_20h,2025-08,37200,0,0.0
bb_zscore_20h,2025-09,36000,0,0.0
bb_zscore_20h,2025-10,37200,0,0.0
bb_zscore_20h,2025-11,36000,0,0.0
bb_zscore_20h,2025-12,37200,0,0.0
bb_zscore_20h,2026-01,37200,0,0.0
bb_zscore_20h,2026-02,33600,0,0.0
bb_zscore_20h,2026-03,37200,0,0.0
bb_zscore_20h,2026-04,36000,0,0.0
bb_zscore_20h,2026-05,37200,0,0.0
bb_zscore_20h,2026-06,14450,0,0.0
mom_20h,2024-06,35950,1000,0.027816
mom_20h,2024-07,37200,0,0.0
mom_20h,2024-08,37200,0,0.0
mom_20h,2024-09,36000,0,0.0
mom_20h,2024-10,37200,0,0.0
mom_20h,2024-11,36000,0,0.0
mom_20h,2024-12,37200,0,0.0
mom_20h,2025-01,37200,0,0.0
mom_20h,2025-02,33600,0,0.0
mom_20h,2025-03,37200,0,0.0
mom_20h,2025-04,36000,0,0.0
mom_20h,2025-05,37200,0,0.0
mom_20h,2025-06,36000,0,0.0
mom_20h,2025-07,37200,0,0.0
mom_20h,2025-08,37200,0,0.0
mom_20h,2025-09,36000,0,0.0
mom_20h,2025-10,37200,0,0.0
mom_20h,2025-11,36000,0,0.0
mom_20h,2025-12,37200,0,0.0
mom_20h,2026-01,37200,0,0.0
mom_20h,2026-02,33600,0,0.0
mom_20h,2026-03,37200,0,0.0
mom_20h,2026-04,36000,0,0.0
mom_20h,2026-05,37200,0,0.0
mom_20h,2026-06,14450,0,0.0
q158_high_low_range,2024-06,35950,0,0.0
q158_high_low_range,2024-07,37200,0,0.0
q158_high_low_range,2024-08,37200,0,0.0
q158_high_low_range,2024-09,36000,0,0.0
q158_high_low_range,2024-10,37200,0,0.0
q158_high_low_range,2024-11,36000,0,0.0
q158_high_low_range,2024-12,37200,0,0.0
q158_high_low_range,2025-01,37200,0,0.0
q158_high_low_range,2025-02,33600,0,0.0
q158_high_low_range,2025-03,37200,0,0.0
q158_high_low_range,2025-04,36000,0,0.0
q158_high_low_range,2025-05,37200,0,0.0
q158_high_low_range,2025-06,36000,0,0.0
q158_high_low_range,2025-07,37200,0,0.0
q158_high_low_range,2025-08,37200,0,0.0
q158_high_low_range,2025-09,36000,0,0.0
q158_high_low_range,2025-10,37200,0,0.0
q158_high_low_range,2025-11,36000,0,0.0
q158_high_low_range,2025-12,37200,0,0.0
q158_high_low_range,2026-01,37200,0,0.0
q158_high_low_range,2026-02,33600,0,0.0
q158_high_low_range,2026-03,37200,0,0.0
q158_high_low_range,2026-04,36000,0,0.0
q158_high_low_range,2026-05,37200,0,0.0
q158_high_low_range,2026-06,14450,0,0.0
reversal_5h,2024-06,35950,250,0.006954
reversal_5h,2024-07,37200,0,0.0
reversal_5h,2024-08,37200,0,0.0
reversal_5h,2024-09,36000,0,0.0
reversal_5h,2024-10,37200,0,0.0
reversal_5h,2024-11,36000,0,0.0
reversal_5h,2024-12,37200,0,0.0
reversal_5h,2025-01,37200,0,0.0
reversal_5h,2025-02,33600,0,0.0
reversal_5h,2025-03,37200,0,0.0
reversal_5h,2025-04,36000,0,0.0
reversal_5h,2025-05,37200,0,0.0
reversal_5h,2025-06,36000,0,0.0
reversal_5h,2025-07,37200,0,0.0
reversal_5h,2025-08,37200,0,0.0
reversal_5h,2025-09,36000,0,0.0
reversal_5h,2025-10,37200,0,0.0
reversal_5h,2025-11,36000,0,0.0
reversal_5h,2025-12,37200,0,0.0
reversal_5h,2026-01,37200,0,0.0
reversal_5h,2026-02,33600,0,0.0
reversal_5h,2026-03,37200,0,0.0
reversal_5h,2026-04,36000,0,0.0
reversal_5h,2026-05,37200,0,0.0
reversal_5h,2026-06,14450,0,0.0
rsi_14h,2024-06,35950,700,0.019471
rsi_14h,2024-07,37200,0,0.0
rsi_14h,2024-08,37200,0,0.0
rsi_14h,2024-09,36000,0,0.0
rsi_14h,2024-10,37200,0,0.0
rsi_14h,2024-11,36000,0,0.0
rsi_14h,2024-12,37200,0,0.0
