factor_id,label,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,delta_RankIC,static_RankICIR,dynamic_RankICIR,static_IC_mean,dynamic_IC_mean,static_direction_adjusted_spread,dynamic_direction_adjusted_spread,delta_direction_adjusted_spread,static_turnover,dynamic_turnover,static_coverage,dynamic_coverage,static_n_timestamps,dynamic_n_timestamps,empirical_static_rankic_sign,empirical_dynamic_rankic_sign,direction_matches_expected,stability_tag,direction_tag,period_alignment_note
bb_zscore_20h,ret_fwd_1h,negative,-0.025315,-0.024381388875587443,0.0009336111244125575,-0.112369,-0.12219529644330383,-0.0119,-0.007902454751788126,-3.7e-05,-5.607396960607723e-05,-1.907396960607723e-05,0.306645,0.3013311844480676,0.998916,0.9989330637915543,17513,17787,negative,negative,True,strong_robust_diagnostic_candidate,direction_consistent,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
bb_zscore_20h,ret_fwd_24h,negative,-0.011908,-0.017970129203138542,-0.006062129203138542,-0.053278,-0.0906970334610218,0.008548,-0.006657259952959767,-0.001881,-0.0006674305054860513,0.0012135694945139487,0.306667,0.30131818068093685,0.998916,0.9989330637915543,17490,17765,negative,negative,True,moderate_stable_diagnostic_candidate,direction_consistent,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
bb_zscore_20h,ret_fwd_4h,negative,-0.028606,-0.026689779292141676,0.0019162207078583238,-0.126909,-0.13398976904332685,-0.012034,-0.009183163665037448,-0.000125,-0.0002053835748548862,-8.038357485488619e-05,0.306655,0.30134850529587376,0.998916,0.9989330637915543,17510,17785,negative,negative,True,strong_robust_diagnostic_candidate,direction_consistent,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
bb_zscore_20h,ret_fwd_72h,negative,-0.004472,-0.00876477862028783,-0.00429277862028783,-0.020275,-0.04605297538817209,0.008951,-0.003767713444413356,-0.002947,-0.003079164708952171,-0.000132164708952171,0.306595,0.3012924457945907,0.998916,0.9989330637915543,17442,17717,negative,negative,True,unstable_or_near_zero,direction_consistent,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
mom_20h,ret_fwd_1h,positive,-0.025049,-0.01909441661536794,0.005954583384632058,-0.096067,-0.08659567410034848,-0.011828,-0.004479745682386195,2e-06,3.6075218046389554e-05,3.407521804638955e-05,0.194262,0.1842460362082537,0.998859,0.9988769092542678,17512,17786,negative,negative,False,moderate_stable_diagnostic_candidate,direction_mismatch,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
mom_20h,ret_fwd_24h,positive,-0.020934,-0.024210968306614965,-0.003276968306614964,-0.078088,-0.10856914708857512,0.011493,-0.016009447234625534,0.001792,-0.0002174154823458284,-0.0020094154823458283,0.194287,0.18419913826095213,0.998859,0.9988769092542678,17489,17764,negative,negative,False,strong_robust_diagnostic_candidate,direction_mismatch,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
mom_20h,ret_fwd_4h,positive,-0.033273,-0.026053469089005864,0.007219530910994133,-0.126288,-0.11666415950046052,-0.015449,-0.009688076984414302,0.000117,0.00013496523258523703,1.7965232585237035e-05,0.194275,0.18424303769858513,0.998859,0.9988769092542678,17509,17784,negative,negative,False,strong_robust_diagnostic_candidate,direction_mismatch,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
mom_20h,ret_fwd_72h,positive,-0.015305,-0.01520603975485741,9.896024514258889e-05,-0.056324,-0.06862610731873989,0.00588,-0.012111585283873133,0.002875,0.0026997129274602214,-0.00017528707253977854,0.194258,0.18423980134395038,0.998859,0.9988769092542678,17441,17716,negative,negative,False,moderate_stable_diagnostic_candidate,direction_mismatch,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
q158_high_low_range,ret_fwd_1h,conditional,-0.027225,-0.04125476043685074,-0.014029760436850738,-0.084141,-0.15062899964747578,-0.010964,-0.019425784753578545,,,,0.41094,0.3956854856551588,1.0,1.0,17532,17805,negative,negative,,strong_robust_diagnostic_candidate,conditional_direction_factor,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
q158_high_low_range,ret_fwd_24h,conditional,-0.05789,-0.09014391597976354,-0.03225391597976354,-0.181859,-0.3395374438340097,-0.01081,-0.04384171201474064,,,,0.411095,0.3957686861302674,1.0,1.0,17509,17783,negative,negative,,strong_robust_diagnostic_candidate,conditional_direction_factor,Static: 2024-06-13 ~ 2026-06-13; Dynamic: 2024-06-01 ~ 2026-06-13. Close but not perfectly period-aligned.
