factor_id,family,rows,coverage,missing_rate,gate
mom_5h,momentum,215061,0.998838,0.001162,PASS
mom_10h,momentum,215061,0.997675,0.002325,PASS
mom_40h,momentum,215061,0.9907,0.0093,PASS
rev_3h,reversal,215061,0.999303,0.000697,PASS
rev_10h,reversal,215061,0.997675,0.002325,PASS
rev_24h,reversal,215061,0.99442,0.00558,PASS
vol_5h,volatility,215061,0.998838,0.001162,PASS
vol_40h,volatility,215061,0.9907,0.0093,PASS
vol_ratio_5_20,volatility,215061,0.99535,0.00465,PASS
range_1h,range_position,215061,1.0,0.0,PASS
range_4h,range_position,215061,0.999303,0.000697,PASS
range_24h,range_position,215061,0.994653,0.005347,PASS
price_pos_24h,price_position,215061,0.994653,0.005347,PASS
price_pos_72h,price_position,215061,0.983493,0.016507,PASS
vol_zscore_20h,volume_liquidity,215061,0.995583,0.004417,PASS
vol_zscore_48h,volume_liquidity,215061,0.989073,0.010927,PASS
qvol_zscore_20h,quote_volume_liquidity,215061,0.995583,0.004417,PASS
qvol_zscore_48h,quote_volume_liquidity,215061,0.989073,0.010927,PASS
ma_gap_5_20,trend_ma,215061,0.995583,0.004417,PASS
ma_gap_10_40,trend_ma,215061,0.990933,0.009067,PASS
breakout_dist_20h,breakout,215061,0.995583,0.004417,PASS
breakout_dist_48h,breakout,215061,0.989073,0.010927,PASS
candle_body,intraday_candle,215061,1.0,0.0,PASS
candle_wick_upper,intraday_candle,215061,1.0,0.0,PASS
candle_wick_lower,intraday_candle,215061,1.0,0.0,PASS
xs_rank_ret_1h,cross_sectional_normalized,215061,0.999768,0.000232,PASS
xs_rank_vol,cross_sectional_normalized,215061,0.995583,0.004417,PASS
