factor_id,family,expected_direction,static_RankIC_mean,dynamic_RankIC_mean,delta_RankIC,rankic_same_sign,static_IC_mean,dynamic_IC_mean,delta_IC,static_direction_adjusted_spread,dynamic_direction_adjusted_spread,delta_direction_adjusted_spread,static_turnover,dynamic_turnover,delta_turnover,static_coverage,dynamic_coverage,delta_coverage,stability_bucket
mom_5h,momentum,positive,-0.0237835826208074,-0.0282437972147541,0.00446021,True,0.007611481453787,-0.0096758818051719,0.01728736,0.0002090049138129,2.385994314969714e-05,0.00018514,0.343788803874591,0.3521612961251184,-0.00837249,0.9988425925925926,0.9997192273135668,-0.00087663,STABLE_NEGATIVE
mom_10h,momentum,positive,-0.0188347542914169,-0.0233806620530677,0.00454591,True,0.0079151037037134,-0.0069363074120706,0.01485141,0.000346291046423,-4.435533090308347e-05,0.00039065,0.2492133498400908,0.2551191846539115,-0.00590583,0.9976851851851852,0.999438454627134,-0.00175327,STABLE_NEGATIVE
mom_40h,momentum,positive,-0.0006707424132456,-0.0122768424460376,0.0116061,True,0.0150284641356897,-0.0021774575553184,0.01720592,0.0006468062897196,3.8311981123610327e-05,0.00060849,0.130424393537998,0.1331430368073394,-0.00271864,0.9907407407407408,0.9977538185085356,-0.00701308,DYNAMIC_ONLY
rev_3h,reversal,negative,0.0253248660016775,0.0300372217233594,-0.00471236,True,-2.692821739544003e-05,0.013788867881768,-0.0138158,0.0003631753274336,-2.2153246700797306e-05,0.00038533,0.4327410840736449,0.4431919600430525,-0.01045088,0.9993055555555556,0.9998315363881402,-0.00052598,STABLE_POSITIVE
rev_10h,reversal,negative,0.0188347542914169,0.0233806620530677,-0.00454591,True,-0.0079151037037134,0.0069363074120706,-0.01485141,0.0004104369833538,-4.0716393228245695e-05,0.00045115,0.2490753636645001,0.2529892655482676,-0.0039139,0.9976851851851852,0.999438454627134,-0.00175327,STABLE_POSITIVE
rev_24h,reversal,negative,0.0139122675985543,0.0189861554117753,-0.00507389,True,-0.0042445348147686,0.0057261925557247,-0.00997073,0.0003656972169671,-2.6194461941369237e-05,0.00039189,0.1637103451844951,0.1663241343817207,-0.00261379,0.9944444444444444,0.9986522911051212,-0.00420785,STABLE_POSITIVE
vol_5h,volatility,negative,-0.0165921199276039,-0.0381793366672759,0.02158722,True,0.0033897282488095,-0.0174568952266799,0.02084662,-0.0006684306650815,0.0001323014346392,-0.00080073,0.2188448360254527,0.2315705223687921,-0.01272569,0.9988425925925926,0.9997192273135668,-0.00087663,STABLE_NEGATIVE
vol_40h,volatility,negative,-0.0167526530019578,-0.0420860358029523,0.02533338,True,0.0038574650873866,-0.0170450402833904,0.02090251,-0.0007260532730368,9.971601046624482e-05,-0.00082577,0.03123603968625,0.0356127980241455,-0.00437676,0.9907407407407408,0.9977538185085356,-0.00701308,STABLE_NEGATIVE
vol_ratio_5_20,volatility,conditional,-0.0039283188372882,-0.0064046170528635,0.0024763,True,-0.0002909416665318,-0.0053464316925436,0.00505549,,,,0.3380189752339589,0.3436575356624833,-0.00563856,0.9953703703703703,0.9988769092542678,-0.00350654,WEAK_BOTH
range_1h,range_position,conditional,-0.0160947517975154,-0.0412547604368507,0.02516001,True,0.0065109748119915,-0.0194257847535785,0.02593676,,,,0.3710604189182235,0.3956854856551588,-0.02462507,1.0,1.0,0.0,STABLE_NEGATIVE
range_4h,range_position,conditional,-0.0161097112231219,-0.0405979536397422,0.02448824,True,0.0056427139077268,-0.0174832080261312,0.02312592,,,,0.2026097592378009,0.223524352098188,-0.02091459,0.9993055555555556,0.9998315363881402,-0.00052598,STABLE_NEGATIVE
range_24h,range_position,conditional,-0.0139527872065644,-0.037090732780936,0.02313795,True,0.0056459807930409,-0.0149111254887096,0.02055711,,,,0.0607566938300349,0.0702043774641199,-0.00944768,0.994675925925926,0.998708445642408,-0.00403252,STABLE_NEGATIVE
price_pos_24h,price_position,conditional,-0.015548051123665,-0.0153370615498985,-0.00021099,True,0.0032182209454446,-0.0020695538643602,0.00528777,,,,0.2783495020049154,0.2851517480376502,-0.00680225,0.994675925925926,0.998708445642408,-0.00403252,STABLE_NEGATIVE
price_pos_72h,price_position,conditional,-0.0038974721676992,-0.0092881575801829,0.00539069,True,0.0095722648677576,0.0002461514174426,0.00932611,,,,0.1726499751458545,0.1804230634509743,-0.00777309,0.9835648148148148,0.9960130278526504,-0.01244821,WEAK_BOTH
vol_zscore_20h,volume_liquidity,positive,0.0029009828919804,-0.0047526297032684,0.00765361,False,0.0068458952481555,-0.0060485552325535,0.01289445,0.0003060161602221,4.613075153269485e-05,0.00025989,0.5695097050993772,0.5690857526748908,0.00042395,0.995601851851852,0.9989330637915544,-0.00333121,SIGN_FLIP
vol_zscore_48h,volume_liquidity,positive,0.0019289680607826,-0.0054329347012402,0.0073619,False,0.008214881372478,-0.0069516209159158,0.0151665,0.0003634136863462,1.6028014963314153e-05,0.00034739,0.5196246000156092,0.5197566634302937,-0.00013206,0.9891203703703704,0.9973607367475292,-0.00824037,SIGN_FLIP
qvol_zscore_20h,quote_volume_liquidity,positive,0.0027859766777329,-0.0054254093388208,0.00821139,False,0.0075390901981316,-0.0061243893642571,0.01366348,0.0002821159007702,3.4852594333629794e-05,0.00024726,0.5675596391925771,0.5655003966692278,0.00205924,0.995601851851852,0.9989330637915544,-0.00333121,SIGN_FLIP
qvol_zscore_48h,quote_volume_liquidity,positive,0.0020938767052475,-0.0060150420478096,0.00810892,False,0.0089798249037673,-0.006703413096462,0.01568324,0.000369854727108,3.492160802686516e-05,0.00033493,0.5170048648508025,0.5146780036413462,0.00232686,0.9891203703703704,0.9973607367475292,-0.00824037,SIGN_FLIP
