family,n_factors,n_tier1,n_tier2,n_tier3,n_tier4,mean_abs_static_RankIC_1h,mean_abs_dynamic_RankIC_1h,mean_max_turnover_1h,n_high_or_extreme_turnover,n_sign_flip_1h,dominant_diagnostic_tier,family_notes
breakout,2,0,2,0,0,0.011692,0.01341,0.2606,0,0,TIER_2_PROMISING_BUT_NEEDS_REVIEW,
cross_sectional_normalized,2,1,1,0,0,0.020751,0.025751,0.3808,1,0,TIER_1_STABLE_DIAGNOSTIC,
intraday_candle,3,0,2,1,0,0.015397,0.010221,0.7865,3,0,TIER_2_PROMISING_BUT_NEEDS_REVIEW,
momentum,3,0,3,0,0,0.01443,0.0213,0.2468,0,0,TIER_2_PROMISING_BUT_NEEDS_REVIEW,
price_position,2,1,0,1,0,0.009723,0.012313,0.2328,0,0,TIER_1_STABLE_DIAGNOSTIC,
quote_volume_liquidity,2,0,0,0,2,0.00244,0.00572,0.5423,2,2,TIER_4_UNSTABLE_OR_SIGN_FLIP,
range_position,3,3,0,0,0,0.015386,0.039648,0.2298,0,0,TIER_1_STABLE_DIAGNOSTIC,
reversal,3,0,3,0,0,0.019357,0.024135,0.2875,0,0,TIER_2_PROMISING_BUT_NEEDS_REVIEW,
trend_ma,2,0,1,0,1,0.003893,0.010402,0.0904,0,1,TIER_2_PROMISING_BUT_NEEDS_REVIEW,
volatility,3,2,0,1,0,0.012424,0.02889,0.2036,0,0,TIER_1_STABLE_DIAGNOSTIC,
volume_liquidity,2,0,0,0,2,0.002415,0.005093,0.5446,2,2,TIER_4_UNSTABLE_OR_SIGN_FLIP,
