factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
mom_5h,mom_10h,momentum,momentum,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.711755,0.637341,0.637341,552163,LOW_REDUNDANCY
mom_5h,mom_40h,momentum,momentum,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.365933,0.291887,0.291887,550833,LOW_REDUNDANCY
mom_5h,rev_3h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.761947,-0.69326,0.69326,552405,LOW_REDUNDANCY
mom_5h,rev_10h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.711755,-0.637341,0.637341,552163,LOW_REDUNDANCY
mom_5h,rev_24h,momentum,reversal,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.469211,-0.386815,0.386815,551580,LOW_REDUNDANCY
mom_5h,vol_5h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.219615,0.01142,0.01142,552405,LOW_REDUNDANCY
mom_5h,vol_40h,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.086028,-0.01415,0.01415,550833,LOW_REDUNDANCY
mom_5h,vol_ratio_5_20,momentum,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.048527,0.033669,0.033669,550201,LOW_REDUNDANCY
mom_5h,range_1h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.082054,-0.013363,0.013363,552405,LOW_REDUNDANCY
mom_5h,range_4h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.023183,-0.031707,0.031707,552405,LOW_REDUNDANCY
mom_5h,range_24h,momentum,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.020271,-0.050502,0.050502,551607,LOW_REDUNDANCY
mom_5h,price_pos_24h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.469479,0.627316,0.627316,551607,LOW_REDUNDANCY
mom_5h,price_pos_72h,momentum,price_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.342863,0.416128,0.416128,549479,LOW_REDUNDANCY
mom_5h,vol_zscore_20h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.05183,0.032816,0.032816,550234,LOW_REDUNDANCY
mom_5h,vol_zscore_48h,momentum,volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.066266,0.035343,0.035343,549081,LOW_REDUNDANCY
mom_5h,qvol_zscore_20h,momentum,quote_volume_liquidity,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_4_UNSTABLE_OR_SIGN_FLIP,0.081702,0.05903,0.05903,550234,LOW_REDUNDANCY
